,gain,loss
119,30.0,7.0
120,44.0,32.0
121,7.0,59.0
122,24.0,44.0
123,17.0,7.0
124,59.0,32.0
125,107.0,13.0
126,44.0,24.0
127,83.0,80.0
128,54.0,18.0
129,104.0,15.0
130,31.0,26.0
131,59.0,21.0
132,68.0,32.0
133,107.0,32.0
134,86.0,32.0
135,94.0,13.0
136,59.0,32.0
137,107.0,16.0
138,18.0,7.0
139,10.0,18.0
140,101.0,7.0
141,18.0,12.0
142,101.0,18.0
143,33.0,24.0
144,18.0,7.0
145,44.0,7.0
146,44.0,10.0
147,32.0,44.0
148,107.0,80.0
149,107.0,107.0
150,11.0,32.0
151,24.0,59.0
152,107.0,44.0
153,98.0,59.0
154,24.0,44.0
155,80.0,14.0
156,48.0,107.0
157,107.0,9.0
158,24.0,13.0
159,24.0,59.0
160,107.0,7.0
161,18.0,44.0
162,13.0,9.0
163,32.0,7.0
164,107.0,10.0
165,107.0,7.0
166,20.0,44.0
167,68.0,9.0
168,107.0,44.0
169,89.0,34.0
170,7.0,80.0
171,10.0,107.0
172,24.0,11.0
173,19.0,8.0
174,63.0,10.0
175,10.0,9.0
176,107.0,11.0
177,7.0,24.0
178,107.0,7.0
179,44.0,10.0
180,32.0,38.0
181,24.0,14.0
182,107.0,7.0
183,92.0,30.0
184,107.0,10.0
185,98.0,107.0
186,24.0,59.0
187,66.0,12.0
188,24.0,21.0
189,107.0,32.0
190,13.0,15.0
191,77.0,107.0
192,13.0,13.0
193,18.0,10.0
194,42.0,13.0
195,88.0,7.0
196,97.0,59.0
197,7.0,7.0
198,24.0,15.0
199,80.0,24.0
200,16.0,7.0
201,104.0,107.0
202,13.0,13.0
203,10.0,32.0
204,80.0,18.0
205,13.0,7.0
206,30.0,13.0
207,18.0,32.0
208,44.0,8.0
209,107.0,13.0
210,55.0,7.0
211,88.0,68.0
212,18.0,9.0
213,18.0,18.0
214,31.0,35.0
215,20.0,8.0
216,89.0,44.0
217,86.0,13.0
218,18.0,13.0
219,18.0,18.0
220,7.0,7.0
221,18.0,107.0
222,36.0,59.0
223,107.0,44.0
224,59.0,59.0
225,13.0,80.0
226,18.0,32.0
227,15.0,18.0
228,44.0,10.0
229,18.0,10.0
230,10.0,10.0
231,101.0,29.0
232,18.0,10.0
233,44.0,43.0
234,13.0,10.0
235,107.0,26.0
236,24.0,44.0
237,7.0,7.0
238,24.0,16.0
239,59.0,8.0
240,45.0,10.0
241,83.0,32.0
242,107.0,10.0
243,7.0,24.0
244,24.0,18.0
245,59.0,18.0
246,32.0,7.0
247,44.0,13.0
248,49.0,31.0
249,107.0,10.0
250,7.0,80.0
251,7.0,107.0
252,13.0,7.0
253,10.0,10.0
254,9.0,24.0
255,31.0,10.0
256,7.0,8.0
257,88.0,10.0
258,44.0,59.0
259,7.0,30.0
260,107.0,7.0
261,36.0,18.0
262,10.0,27.0
263,107.0,18.0
264,92.0,80.0
265,10.0,7.0
266,107.0,24.0
267,11.0,43.0
268,107.0,32.0
269,32.0,7.0
270,24.0,32.0
271,107.0,44.0
272,72.0,18.0
273,107.0,18.0
274,107.0,10.0
275,44.0,44.0
276,107.0,7.0
277,101.0,59.0
278,18.0,35.0
279,83.0,7.0
280,49.0,24.0
281,59.0,10.0
282,37.0,34.0
283,80.0,80.0
284,24.0,13.0
285,77.0,10.0
286,66.0,13.0
287,41.0,32.0
288,32.0,13.0
289,10.0,49.0
290,24.0,10.0
291,24.0,24.0
292,44.0,7.0
293,42.0,58.0
294,10.0,22.0
295,95.0,18.0
296,107.0,11.0
297,7.0,27.0
298,18.0,59.0
299,44.0,9.0
300,17.0,107.0
301,107.0,10.0
302,24.0,26.0
303,24.0,10.0
304,31.0,15.0
305,36.0,34.0
306,12.0,32.0
307,24.0,8.0
308,50.0,7.0
309,80.0,107.0
310,13.0,13.0
311,44.0,44.0
312,89.0,9.0
313,55.0,32.0
314,107.0,7.0
315,80.0,13.0
316,32.0,18.0
317,24.0,32.0
318,86.0,8.0
319,7.0,14.0
320,13.0,35.0
321,21.0,7.0
322,80.0,7.0
323,10.0,80.0
324,80.0,10.0
325,107.0,59.0
326,104.0,10.0
327,61.0,15.0
328,18.0,18.0
329,7.0,21.0
330,9.0,24.0
331,14.0,23.0
332,18.0,10.0
333,42.0,15.0
334,59.0,13.0
335,24.0,10.0
336,44.0,18.0
337,44.0,18.0
338,44.0,32.0
339,97.0,13.0
340,13.0,10.0
341,18.0,30.0
342,55.0,13.0
343,44.0,80.0
344,80.0,107.0
345,48.0,18.0
346,17.0,50.0
347,107.0,8.0
348,80.0,9.0
349,7.0,18.0
350,13.0,80.0
351,49.0,7.0
352,45.0,8.0
353,7.0,18.0
354,80.0,24.0
355,24.0,107.0
356,32.0,13.0
357,32.0,11.0
358,104.0,7.0
359,18.0,7.0
360,44.0,19.0
361,89.0,80.0
362,7.0,80.0
363,32.0,13.0
364,20.0,44.0
365,80.0,7.0
366,60.0,10.0
367,63.0,44.0
368,44.0,80.0
369,89.0,43.0
370,30.0,50.0
371,10.0,18.0
372,98.0,107.0
373,10.0,80.0
374,107.0,9.0
375,24.0,59.0
376,24.0,32.0
377,19.0,32.0
378,24.0,66.0
379,59.0,35.0
380,34.0,91.0
381,107.0,13.0
382,44.0,24.0
383,107.0,107.0
384,101.0,21.0
385,24.0,32.0
386,30.0,107.0
387,10.0,107.0
388,80.0,59.0
389,10.0,7.0
390,13.0,32.0
391,107.0,13.0
392,80.0,59.0
393,107.0,11.0
394,13.0,10.0
395,107.0,13.0
396,13.0,107.0
397,40.0,80.0
398,55.0,32.0
399,104.0,7.0
400,92.0,66.0
401,18.0,32.0
402,13.0,24.0
403,13.0,80.0
404,59.0,7.0
405,54.0,7.0
406,32.0,14.0
407,7.0,7.0
408,13.0,13.0
409,94.0,107.0
410,36.0,47.0
411,107.0,44.0
412,13.0,29.0
413,31.0,44.0
414,80.0,80.0
415,13.0,12.0
416,59.0,13.0
417,95.0,43.0
418,7.0,49.0
419,24.0,7.0
420,88.0,107.0
421,11.0,11.0
422,44.0,26.0
423,107.0,107.0
424,24.0,18.0
425,18.0,31.0
426,24.0,7.0
427,24.0,13.0
428,13.0,13.0
429,107.0,32.0
430,59.0,9.0
431,32.0,18.0
432,10.0,44.0
433,37.0,13.0
434,32.0,7.0
435,7.0,56.0
436,32.0,12.0
437,10.0,10.0
438,7.0,59.0
439,61.0,18.0
440,98.0,26.0
441,59.0,44.0
442,44.0,58.0
443,44.0,13.0
444,88.0,66.0
445,18.0,107.0
446,13.0,24.0
447,23.0,23.0
448,15.0,49.0
449,14.0,10.0
450,61.0,10.0
451,21.0,17.0
452,18.0,18.0
453,59.0,32.0
454,80.0,21.0
455,36.0,21.0
456,24.0,7.0
457,80.0,15.0
458,18.0,107.0
459,101.0,26.0
460,32.0,9.0
461,30.0,8.0
462,80.0,7.0
463,7.0,22.0
464,18.0,18.0
465,18.0,10.0
466,59.0,24.0
467,42.0,8.0
468,7.0,32.0
469,101.0,10.0
470,95.0,35.0
471,60.0,18.0
472,59.0,8.0
473,107.0,44.0
474,95.0,10.0
475,18.0,80.0
476,23.0,66.0
477,18.0,7.0
478,107.0,24.0
479,13.0,30.0
480,32.0,9.0
481,107.0,7.0
482,30.0,66.0
483,107.0,15.0
484,32.0,7.0
485,7.0,7.0
486,59.0,15.0
487,9.0,11.0
488,32.0,44.0
489,7.0,9.0
490,44.0,10.0
491,88.0,24.0
492,86.0,50.0
493,80.0,18.0
494,107.0,59.0
495,24.0,80.0
496,7.0,13.0
497,107.0,9.0
498,24.0,12.0
499,82.0,7.0
500,10.0,13.0
501,13.0,42.0
502,13.0,18.0
503,107.0,26.0
504,26.0,10.0
505,18.0,10.0
506,68.0,107.0
507,101.0,9.0
508,73.0,8.0
509,13.0,44.0
510,98.0,31.0
511,36.0,44.0
512,24.0,7.0
513,13.0,24.0
514,107.0,8.0
515,20.0,80.0
516,32.0,18.0
517,18.0,34.0
518,59.0,7.0
519,54.0,10.0
520,101.0,32.0
521,32.0,44.0
522,24.0,10.0
523,55.0,107.0
524,72.0,29.0
525,16.0,44.0
526,7.0,44.0
527,19.0,77.0
528,37.0,38.0
529,32.0,9.0
530,18.0,42.0
531,107.0,80.0
532,24.0,10.0
533,7.0,13.0
534,32.0,107.0
535,44.0,10.0
536,107.0,9.0
537,60.0,59.0
538,34.0,7.0
539,13.0,59.0
540,59.0,32.0
541,107.0,58.0
542,107.0,18.0
543,107.0,10.0
544,107.0,9.0
545,23.0,80.0
546,10.0,13.0
547,97.0,10.0
548,55.0,9.0
549,7.0,107.0
550,32.0,24.0
551,10.0,14.0
552,10.0,24.0
553,24.0,7.0
554,54.0,10.0
555,30.0,7.0
556,107.0,10.0
557,80.0,18.0
558,44.0,7.0
559,68.0,13.0
560,32.0,11.0
561,50.0,31.0
562,14.0,24.0
563,11.0,12.0
564,107.0,7.0
565,37.0,18.0
566,7.0,7.0
567,41.0,44.0
568,44.0,32.0
569,7.0,24.0
570,59.0,16.0
571,44.0,44.0
572,50.0,8.0
573,95.0,24.0
574,12.0,13.0
575,24.0,7.0
576,28.0,16.0
577,59.0,18.0
578,59.0,18.0
579,37.0,13.0
580,107.0,10.0
581,64.0,8.0
582,10.0,59.0
583,37.0,10.0
584,21.0,10.0
585,89.0,7.0
586,59.0,27.0
587,27.0,18.0
588,107.0,26.0
589,107.0,44.0
590,40.0,18.0
591,37.0,8.0
592,37.0,80.0
593,80.0,8.0
594,101.0,9.0
595,80.0,42.0
596,88.0,17.0
597,13.0,10.0
598,18.0,11.0
599,20.0,44.0
600,59.0,18.0
601,50.0,13.0
602,18.0,18.0
603,7.0,7.0
604,107.0,18.0
605,72.0,32.0
606,59.0,80.0
607,24.0,44.0
608,80.0,38.0
609,107.0,80.0
610,13.0,10.0
611,19.0,23.0
612,10.0,18.0
613,80.0,59.0
614,14.0,32.0
615,80.0,10.0
616,24.0,44.0
617,107.0,13.0
618,24.0,18.0
619,59.0,12.0
620,10.0,59.0
621,26.0,7.0
622,10.0,7.0
623,34.0,80.0
624,32.0,13.0
625,36.0,7.0
626,13.0,24.0
627,49.0,80.0
628,7.0,10.0
629,16.0,80.0
630,32.0,15.0
631,24.0,107.0
632,107.0,13.0
633,77.0,7.0
634,32.0,30.0
635,44.0,10.0
636,80.0,32.0
637,18.0,80.0
638,24.0,10.0
639,18.0,7.0
640,59.0,18.0
641,107.0,18.0
642,12.0,10.0
643,24.0,12.0
644,10.0,13.0
645,9.0,44.0
646,7.0,7.0
647,31.0,59.0
648,24.0,14.0
649,107.0,24.0
650,44.0,13.0
651,101.0,19.0
652,54.0,32.0
653,32.0,24.0
654,16.0,59.0
655,24.0,80.0
656,72.0,18.0
657,32.0,18.0
658,107.0,10.0
659,80.0,32.0
660,10.0,13.0
661,44.0,26.0
662,13.0,7.0
663,40.0,7.0
664,61.0,32.0
665,24.0,107.0
666,107.0,7.0
667,107.0,27.0
668,10.0,10.0
669,80.0,11.0
670,98.0,10.0
671,20.0,8.0
672,44.0,18.0
673,13.0,15.0
674,86.0,10.0
675,7.0,32.0
676,59.0,10.0
677,7.0,44.0
678,13.0,10.0
679,88.0,13.0
680,37.0,19.0
681,13.0,16.0
682,68.0,15.0
683,82.0,19.0
684,7.0,7.0
685,32.0,10.0
686,107.0,10.0
687,107.0,24.0
688,28.0,7.0
689,7.0,10.0
690,24.0,59.0
691,30.0,26.0
692,24.0,32.0
693,10.0,10.0
694,89.0,18.0
695,73.0,35.0
696,13.0,36.0
697,7.0,18.0
698,13.0,68.0
699,92.0,10.0
700,34.0,107.0
701,49.0,10.0
702,61.0,24.0
703,80.0,24.0
704,10.0,38.0
705,7.0,107.0
706,107.0,18.0
707,33.0,59.0
708,59.0,34.0
709,7.0,7.0
710,24.0,32.0
711,44.0,10.0
712,13.0,8.0
713,68.0,80.0
714,66.0,44.0
715,73.0,7.0
716,10.0,32.0
717,18.0,10.0
718,7.0,8.0
719,18.0,9.0
720,7.0,13.0
721,77.0,80.0
722,104.0,18.0
723,19.0,50.0
724,13.0,44.0
725,18.0,18.0
726,10.0,18.0
727,98.0,107.0
728,59.0,22.0
729,36.0,10.0
730,107.0,44.0
731,20.0,7.0
732,44.0,7.0
733,19.0,18.0
734,24.0,11.0
735,107.0,7.0
736,24.0,13.0
737,59.0,32.0
738,18.0,10.0
739,107.0,7.0
740,18.0,10.0
741,10.0,7.0
742,107.0,7.0
743,80.0,10.0
744,28.0,32.0
745,34.0,47.0
746,107.0,44.0
747,107.0,18.0
748,44.0,13.0
749,59.0,18.0
750,82.0,80.0
751,24.0,18.0
752,80.0,50.0
753,80.0,107.0
754,7.0,24.0
755,7.0,18.0
756,107.0,36.0
757,10.0,9.0
758,44.0,9.0
759,55.0,56.0
760,13.0,13.0
761,94.0,24.0
762,24.0,44.0
763,40.0,7.0
764,24.0,32.0
765,20.0,91.0
766,7.0,13.0
767,63.0,7.0
768,34.0,7.0
769,107.0,13.0
770,107.0,7.0
771,80.0,107.0
772,107.0,50.0
773,7.0,59.0
774,10.0,13.0
775,15.0,10.0
776,44.0,15.0
777,18.0,80.0
778,80.0,44.0
779,13.0,107.0
780,13.0,44.0
781,24.0,18.0
782,73.0,9.0
783,83.0,107.0
784,44.0,32.0
785,73.0,7.0
786,11.0,13.0
787,18.0,9.0
788,59.0,32.0
789,18.0,24.0
790,80.0,10.0
791,98.0,32.0
792,18.0,44.0
793,72.0,107.0
794,24.0,13.0
795,107.0,13.0
796,19.0,10.0
797,33.0,24.0
798,44.0,18.0
799,10.0,10.0
800,27.0,8.0
801,89.0,18.0
802,7.0,8.0
803,42.0,7.0
804,24.0,35.0
805,80.0,80.0
806,83.0,44.0
807,7.0,32.0
808,107.0,7.0
809,18.0,24.0
810,80.0,7.0
811,59.0,13.0
812,13.0,24.0
813,7.0,10.0
814,80.0,11.0
815,24.0,18.0
816,59.0,8.0
817,32.0,9.0
818,80.0,59.0
819,59.0,7.0
820,95.0,10.0
821,104.0,107.0
822,24.0,107.0
823,73.0,42.0
824,107.0,13.0
825,107.0,107.0
826,98.0,16.0
827,72.0,10.0
828,7.0,15.0
829,18.0,24.0
830,88.0,7.0
831,7.0,7.0
832,107.0,29.0
833,101.0,22.0
834,24.0,107.0
835,80.0,50.0
836,107.0,10.0
837,30.0,43.0
838,23.0,18.0
839,59.0,59.0
840,18.0,9.0
841,44.0,7.0
842,80.0,18.0
843,26.0,107.0
844,107.0,13.0
845,13.0,13.0
846,15.0,10.0
847,80.0,13.0
848,21.0,56.0
849,107.0,15.0
850,44.0,80.0
851,45.0,18.0
852,24.0,32.0
853,59.0,17.0
854,80.0,7.0
855,59.0,13.0
856,48.0,42.0
857,107.0,50.0
858,13.0,10.0
859,59.0,12.0
860,24.0,9.0
861,80.0,10.0
862,44.0,7.0
863,107.0,107.0
864,59.0,50.0
865,32.0,13.0
866,32.0,38.0
867,44.0,32.0
868,24.0,7.0
869,107.0,59.0
870,10.0,32.0
871,7.0,13.0
872,88.0,18.0
873,7.0,34.0
874,80.0,59.0
875,107.0,29.0
876,18.0,77.0
877,83.0,22.0
878,7.0,80.0
879,44.0,13.0
880,59.0,7.0
881,55.0,18.0
882,19.0,32.0
883,13.0,7.0
884,23.0,80.0
885,21.0,80.0
886,7.0,107.0
887,18.0,7.0
888,107.0,24.0
889,19.0,10.0
890,10.0,13.0
891,7.0,10.0
892,107.0,32.0
893,18.0,7.0
894,44.0,7.0
895,50.0,7.0
896,44.0,9.0
897,32.0,9.0
898,59.0,13.0
899,107.0,9.0
900,28.0,32.0
901,10.0,14.0
902,83.0,38.0
903,32.0,59.0
904,107.0,32.0
905,34.0,13.0
906,7.0,7.0
907,18.0,22.0
908,59.0,10.0
909,73.0,10.0
910,107.0,24.0
911,44.0,13.0
912,50.0,32.0
913,16.0,32.0
914,107.0,8.0
915,89.0,22.0
916,80.0,21.0
917,94.0,7.0
918,59.0,80.0
919,49.0,24.0
920,18.0,15.0
921,40.0,24.0
922,18.0,7.0
923,18.0,7.0
924,44.0,10.0
925,59.0,24.0
926,101.0,18.0
927,24.0,107.0
928,7.0,13.0
929,40.0,91.0
930,59.0,32.0
931,44.0,59.0
932,45.0,15.0
933,107.0,11.0
934,13.0,10.0
935,24.0,10.0
936,30.0,32.0
937,24.0,59.0
938,24.0,7.0
939,107.0,11.0
940,28.0,32.0
941,44.0,8.0
942,36.0,77.0
943,13.0,80.0
944,18.0,7.0
945,80.0,80.0
946,34.0,59.0
947,89.0,24.0
948,18.0,10.0
949,107.0,26.0
950,21.0,24.0
951,20.0,9.0
952,72.0,10.0
953,13.0,7.0
954,107.0,15.0
955,107.0,17.0
956,107.0,10.0
957,83.0,13.0
958,44.0,10.0
959,7.0,7.0
960,34.0,80.0
961,92.0,59.0
962,37.0,32.0
963,80.0,32.0
964,44.0,80.0
965,13.0,34.0
966,66.0,11.0
967,44.0,32.0
968,59.0,80.0
969,101.0,7.0
970,80.0,20.0
971,59.0,32.0
972,7.0,8.0
973,59.0,35.0
974,13.0,31.0
975,80.0,44.0
976,107.0,59.0
977,33.0,9.0
978,49.0,8.0
979,80.0,24.0
980,32.0,59.0
981,107.0,7.0
982,86.0,107.0
983,45.0,47.0
984,59.0,10.0
985,59.0,44.0
986,13.0,10.0
987,36.0,43.0
988,73.0,13.0
989,107.0,14.0
990,101.0,24.0
991,59.0,8.0
992,66.0,24.0
993,107.0,9.0
994,10.0,7.0
995,42.0,59.0
996,18.0,24.0
997,13.0,80.0
998,80.0,13.0
999,7.0,107.0
