term	stimulation	payoff	nu	lo	hi
n1_evidence_sd	vertex	88.17647058823529	5.103133681941541	4.574313520511847	5.626488535549058
n1_evidence_sd	vertex	89.05882352941177	5.124252984681512	4.594432550258972	5.648813437660539
n1_evidence_sd	vertex	89.94117647058823	5.145351953755065	4.612991544763741	5.671857865068957
n1_evidence_sd	vertex	90.82352941176471	5.166440176673966	4.6318776674425814	5.693134840613737
n1_evidence_sd	vertex	91.70588235294117	5.187527247504144	4.6521824799818035	5.716102137497526
n1_evidence_sd	vertex	92.58823529411764	5.208622766568686	4.671707851239053	5.739741201116918
n1_evidence_sd	vertex	93.47058823529412	5.229736340164873	4.690134845436551	5.762764392866818
n1_evidence_sd	vertex	94.35294117647058	5.250877580295084	4.7093658855527405	5.786058272273595
n1_evidence_sd	vertex	95.23529411764706	5.272056104408977	4.731728347606324	5.80965028405695
n1_evidence_sd	vertex	96.11764705882352	5.293281535157505	4.751806952212517	5.834003919299444
n1_evidence_sd	vertex	97.0	5.314563500156509	4.770682324651454	5.857691660320615
n1_evidence_sd	vertex	97.88235294117646	5.335911631760104	4.790177030276471	5.882662794849052
n1_evidence_sd	vertex	98.76470588235294	5.357335566842641	4.81156865682001	5.906501468282585
n1_evidence_sd	vertex	99.6470588235294	5.3788449465882975	4.82966906236373	5.929071948799214
n1_evidence_sd	vertex	100.52941176470588	5.400449416287865	4.848863524865531	5.955638575672043
n1_evidence_sd	vertex	101.41176470588235	5.422158625142996	4.867995936370389	5.981779400644816
n1_evidence_sd	vertex	102.29411764705883	5.443982226075402	4.886638899790326	6.00828565116827
n1_evidence_sd	vertex	103.17647058823529	5.465929875542658	4.90694999856801	6.035034342588045
n1_evidence_sd	vertex	104.05882352941177	5.488011233359116	4.924006092545196	6.062255162783785
n1_evidence_sd	vertex	104.94117647058823	5.510235962521395	4.9406723145303895	6.0913612110010416
n1_evidence_sd	vertex	105.8235294117647	5.532613729038971	4.960387310517504	6.118460536917929
n1_evidence_sd	vertex	106.70588235294117	5.5551542017686995	4.978082781627795	6.147604064677376
n1_evidence_sd	vertex	107.58823529411764	5.577867052254132	4.997869181189331	6.179533742131421
n1_evidence_sd	vertex	108.47058823529412	5.600761954567877	5.015927009801669	6.211749264559205
n1_evidence_sd	vertex	109.35294117647058	5.623848585158927	5.031432806682828	6.245007529187351
n1_evidence_sd	vertex	110.23529411764706	5.647136622702893	5.049283985880211	6.278277594563997
n1_evidence_sd	vertex	111.11764705882352	5.670635747956343	5.063725386563568	6.309085615180841
n1_evidence_sd	vertex	112.0	5.69435564361487	5.0802845596396855	6.339786424752874
n1_evidence_sd	ips - vertex	7.0	0.2010388050077475	0.015021452204354678	0.4245217373346846
n1_evidence_sd	ips - vertex	7.882352941176471	0.1805615764164871	0.02333726022964996	0.3696468796553751
n1_evidence_sd	ips - vertex	8.764705882352942	0.1593109617417746	0.028699853311920192	0.31705966388257895
n1_evidence_sd	ips - vertex	9.647058823529411	0.13876768039136994	0.030890925666273765	0.27046198073191
