subject	term	payoff	d_nu	lo	hi	p_pos
29	memory	7.0	-1.0584922451674006	-3.5459366943144612	0.6069886434277636	0.128
30	memory	7.0	-1.1061603655150685	-3.548123098225808	0.5702768129457605	0.1158
31	memory	7.0	-1.3589995898887675	-3.952271567106012	0.34593326364816485	0.06865
34	memory	7.0	-1.110917119524163	-3.4837714427844237	0.5264781547394672	0.1079
35	memory	7.0	-0.2518526439150542	-1.502277907681568	0.3991922923511215	0.2047
36	memory	7.0	-0.9786412495049257	-3.3806416050739294	0.6422283315125555	0.1403
37	memory	7.0	-0.7912243444363012	-2.931201870943119	0.7781328059502428	0.17615
45	memory	7.0	-0.7485808312945673	-2.808930487085106	0.49347943133447913	0.14345
46	memory	7.0	-0.721731935278227	-2.7260174880505255	0.5257575814265782	0.14515
47	memory	7.0	-1.6826982864524944	-4.3991967448014	0.540167814274861	0.07375
50	memory	7.0	-0.5559498192560518	-2.80409169389652	1.0496850331302814	0.28895
53	memory	7.0	-0.8326547885090378	-3.000252292415423	0.6571346000981712	0.1532
56	memory	7.0	-1.2792302920589438	-3.5687851904259196	0.172126544353903	0.0401
59	memory	7.0	-0.44329422720426276	-2.6572260384587283	1.1937743401030494	0.3325
62	memory	7.0	-0.8634635229457849	-3.295443041991729	0.6994663843415121	0.1666
63	memory	7.0	-0.9076538900330119	-2.9392164789229573	0.25782774239266343	0.0661
67	memory	7.0	-1.3062155725084141	-3.4131395183995314	0.2958608947852463	0.0609
69	memory	7.0	-1.4145721983593984	-3.874481816277765	0.12260008098651136	0.03865
72	memory	7.0	-0.5204882757701307	-2.7159915666835666	1.040377553757758	0.2849
74	memory	7.0	-1.382639944710095	-3.76780342920824	0.5758232064308508	0.08015
1	memory	10.0	-0.7284681245775623	-2.235211206085216	0.35249019086151945	0.11385
2	memory	10.0	-0.18128098035919854	-1.0290573451560907	0.6811911407766348	0.3033
3	memory	10.0	-0.6408255740633751	-1.7999404273352912	0.2426147381977469	0.0814
4	memory	10.0	-0.5617833282259554	-1.8877886435194176	0.42560604663528606	0.1531
5	memory	10.0	-0.45183810817960923	-1.6571002995753306	0.5061107597611156	0.19915
6	memory	10.0	-0.7086720695636519	-2.0352995710211124	0.4139708257236809	0.11155
7	memory	10.0	-0.20730701011632008	-1.0729075529189207	0.5139902032519564	0.29935
9	memory	10.0	-0.2822838440566442	-1.5631961504655363	0.7765828058131387	0.32085
10	memory	10.0	-0.9948265830877723	-2.5269930659545095	0.0861883024428967	0.0388
11	memory	10.0	-0.2362596705688709	-1.1050758838856398	0.4857427083628383	0.27775
18	memory	10.0	-0.08398010017395292	-0.9839408830905306	0.7001733352975672	0.43345
19	memory	10.0	-0.7845384417215339	-2.1498105672165737	0.33315017261703544	0.09165
21	memory	10.0	-0.4875538631603508	-1.6285496144480982	0.35039290145702956	0.1385
25	memory	10.0	-0.007527583459826218	-0.787684615909793	0.8082859017154094	0.4794
26	memory	10.0	-0.4467105986345415	-1.4949865116537235	0.3846209173038668	0.16135
29	memory	10.0	-0.34484697027898054	-1.5222141019400206	0.557242522886355	0.25555
30	memory	10.0	-0.6170830293462257	-1.895742127539202	0.33188621257410017	0.11495
31	memory	10.0	-0.7257865971108485	-2.132023595171884	0.31784516663978307	0.0997
34	memory	10.0	-0.7002942027227831	-2.1164398027109526	0.4384642915529495	0.1269
35	memory	10.0	-0.21938241381413087	-1.0987829350770824	0.4040453877117516	0.2698
36	memory	10.0	-0.3569279674347407	-1.596756110054853	0.5782563381144477	0.26685
37	memory	10.0	-0.44317107162498676	-1.6524700466263786	0.5533463498620489	0.203
45	memory	10.0	-0.45011873132611363	-1.7463566568608389	0.4531637523369875	0.20325
46	memory	10.0	-0.5053977337083783	-1.6535050134381932	0.331340545209167	0.13565
47	memory	10.0	-0.7896721174338477	-2.2057384893976564	0.4122202985647137	0.10575
50	memory	10.0	-0.12925390318096389	-1.4827499259179011	0.9318041088745437	0.442
53	memory	10.0	-0.7323463487331628	-2.1793261126377956	0.36318836066656796	0.10595
56	memory	10.0	-0.5910560731777721	-1.7463129582470605	0.3165554853358725	0.09755
59	memory	10.0	-0.22291405825828864	-1.5217299050202846	0.8089200333717022	0.36775
62	memory	10.0	-0.17577074311160687	-1.2793974895242624	0.6606341348817366	0.3752
63	memory	10.0	-0.6559025211295081	-1.8372419954173749	0.2541414339674965	0.0845
67	memory	10.0	-0.7392023678307331	-2.103887436584408	0.29319480102327994	0.09975
69	memory	10.0	-0.8746834777391074	-2.196217860822272	0.047937090175442926	0.03375
72	memory	10.0	-0.17966309425013735	-1.361753805990741	0.8666659727118016	0.3806
74	memory	10.0	-0.6004172848722714	-2.017534249115719	0.5038008591048281	0.1649
1	memory	14.0	-0.5905296557204599	-2.3094319739128957	0.5150361307220447	0.20385
2	memory	14.0	0.09195469737346787	-0.8770343373744542	0.8587301406687888	0.60185
3	memory	14.0	-0.04462948892085521	-1.0379744001001465	0.7912523300565454	0.4807
4	memory	14.0	-0.28281368300034654	-1.5479025361602772	0.629285868034086	0.3203
5	memory	14.0	-0.17923923393573732	-1.4720437416903163	0.7592098207455037	0.4142
6	memory	14.0	-0.4142589040785133	-1.63548172830422	0.5156883343946221	0.2265
7	memory	14.0	0.10681352732279199	-0.48413392313838066	0.6726694777726309	0.65565
9	memory	14.0	-0.06328319197939859	-1.3087303783175614	0.8914397840268219	0.48575
10	memory	14.0	-0.620450717817881	-2.270195470966193	0.39077655135788186	0.1627
11	memory	14.0	-0.010048483269130075	-0.7817266012174249	0.65567807404273	0.5079
18	memory	14.0	0.10283515091369352	-0.6250997150033171	0.727961137282534	0.6469
19	memory	14.0	-0.3332328753861859	-1.6159325945577292	0.6625261335677032	0.27855
21	memory	14.0	-0.3968275682587757	-1.451643264537989	0.3737528276940765	0.19245
25	memory	14.0	0.2604631524279139	-0.3782225523708521	0.904466448973674	0.76405
26	memory	14.0	0.08349547003371169	-0.6621861881663799	0.762890933307799	0.6066
29	memory	14.0	0.08884246701889792	-0.6742438209445706	0.7537656220386905	0.6227
30	memory	14.0	-0.2918336796192737	-1.3585353538454195	0.4743763492147261	0.2665
31	memory	14.0	-0.26918956987899645	-1.4664998227023804	0.5837732544700457	0.31485
34	memory	14.0	-0.301904766848026	-1.570927800954058	0.6381688357526553	0.3105
35	memory	14.0	-0.1078266890236805	-1.237049414351672	0.6712187334490736	0.46485
36	memory	14.0	0.02340319277599892	-0.9802508470946972	0.8753498957706195	0.54725
37	memory	14.0	-0.17298865638262678	-1.2011180370792987	0.6416867803648978	0.37095
45	memory	14.0	-0.15837860546797577	-1.3253953474913092	0.6511924720868978	0.4124
46	memory	14.0	-0.319791314379547	-1.479257477025422	0.4326369754196933	0.25835
47	memory	14.0	-0.22207136858839022	-1.277029645615245	0.5897504582134476	0.32655
50	memory	14.0	0.1627491164097999	-1.0840567621491994	1.2077919518819669	0.6448
53	memory	14.0	-0.6396375234034467	-2.199578997984511	0.3690301141812272	0.1458
56	memory	14.0	-0.11228401405837858	-1.053887332542785	0.6212398877050598	0.4137
59	memory	14.0	-0.047435545647025755	-1.1656895676589953	0.8099200098136643	0.5018
62	memory	14.0	0.22290124139220346	-0.5267666348940303	0.9329579845719496	0.7485
63	memory	14.0	-0.28203117663115046	-1.4711790584339186	0.620837884483602	0.3079
67	memory	14.0	-0.3716983956816955	-1.7883551428697733	0.5789240855678338	0.28355
69	memory	14.0	-0.453458881956295	-1.6801147476675147	0.4140818057963847	0.18845
72	memory	14.0	0.07188184111480046	-0.9101336733278204	0.9376781350918089	0.58125
74	memory	14.0	-0.16049047984943984	-1.45710949070299	0.7661379483868289	0.42035
1	memory	20.0	-0.4941604088230676	-1.941725161406221	0.4330624378687914	0.1967
2	memory	20.0	0.12989420761417125	-0.7213481750423975	0.7211020265764011	0.68435
3	memory	20.0	0.19135441058526792	-0.6048247433655961	0.8652865741639223	0.72835
4	memory	20.0	-0.19594831181698483	-1.2706283203033302	0.5849148807714862	0.3595
