stimulation_condition	risky_first	bin	median	lo	hi	model	agg	ratio
vertex	True	1	0.4256085078640326	0.3571969562174537	0.4887757439054546	power2_full	by_stim	1.6506585414473256
vertex	True	2	0.5302741080758322	0.4809747723540827	0.5780247051798777	power2_full	by_stim	1.9642084587509023
vertex	True	3	0.6145830871637323	0.5679428098782937	0.6597296073102525	power2_full	by_stim	2.32629424098063
vertex	True	4	0.6846268810554526	0.6490710678210678	0.7361678004535148	power2_full	by_stim	2.8132953338672264
vertex	True	5	0.6568957709147483	0.616448265649323	0.7173541422367667	power2_full	by_stim	3.586722993546796
	False	0	0.2909363059620792	0.25033466604987226	0.3394969120226852	power2_full	pooled	1.2894442090905116
	False	1	0.4611889596609891	0.42116480001341755	0.49762346761652837	power2_full	pooled	1.6506585414473256
	False	2	0.5668853817139049	0.525751410009281	0.5969854358535018	power2_full	pooled	1.9642084587509023
	False	3	0.6646423636116033	0.6303414916893797	0.6993316752459653	power2_full	pooled	2.32629424098063
	False	4	0.7402131956208045	0.7102561327561328	0.769989412761152	power2_full	pooled	2.8132953338672264
	False	5	0.7581474519632414	0.71853995621237	0.7909567741192061	power2_full	pooled	3.586722993546796
	True	0	0.2621759522071743	0.2199130281082779	0.3153552280804734	power2_full	pooled	1.2894442090905116
	True	1	0.43530364092607043	0.396203263482509	0.4767289367483654	power2_full	pooled	1.6506585414473256
	True	2	0.5341199426915615	0.49570368324609626	0.5786825102486352	power2_full	pooled	1.9642084587509023
	True	3	0.6181689516692118	0.5809037491009396	0.6576206730603192	power2_full	pooled	2.32629424098063
	True	4	0.6874900866677183	0.650007496158812	0.7212691000519947	power2_full	pooled	2.8132953338672264
	True	5	0.6671486323415619	0.6335939567032907	0.7062987169003251	power2_full	pooled	3.586722993546796
ips	False	0	0.29407131929598335	0.23192272670716121	0.3700502222674675	power2_flat_full	by_stim	1.2894442090905116
ips	False	1	0.4284346345918888	0.37841112246471487	0.4993182754045357	power2_flat_full	by_stim	1.6506585414473256
ips	False	2	0.5677004030452306	0.5149182713837887	0.6245229387470768	power2_flat_full	by_stim	1.9642084587509023
ips	False	3	0.6951601266117395	0.6404843364520784	0.7356595913047526	power2_flat_full	by_stim	2.32629424098063
ips	False	4	0.7781965058750773	0.7247255720470006	0.8196724902082044	power2_flat_full	by_stim	2.8132953338672264
ips	False	5	0.7773664765361681	0.7157549045026359	0.8237362083369343	power2_flat_full	by_stim	3.586722993546796
ips	True	0	0.2822889032833614	0.22472156469693413	0.36725510737210243	power2_flat_full	by_stim	1.2894442090905116
ips	True	1	0.4269393441807235	0.36711449470070157	0.4923744837537941	power2_flat_full	by_stim	1.6506585414473256
ips	True	2	0.5651101532567049	0.5075396825396825	0.6140462506841817	power2_flat_full	by_stim	1.9642084587509023
ips	True	3	0.6711992861660794	0.6221243336044096	0.7100433721875847	power2_flat_full	by_stim	2.32629424098063
ips	True	4	0.7362914862914862	0.692288961038961	0.7855790043290043	power2_flat_full	by_stim	2.8132953338672264
ips	True	5	0.710440307080899	0.6567760252762231	0.7661533543910766	power2_flat_full	by_stim	3.586722993546796
vertex	False	0	0.2712323232323232	0.2099141414141414	0.3290858585858586	power2_flat_full	by_stim	1.2894442090905116
vertex	False	1	0.428315649867374	0.36236368994989687	0.4837312113174182	power2_flat_full	by_stim	1.6506585414473256
vertex	False	2	0.5686190724983828	0.5152535204259342	0.6168339801960492	power2_flat_full	by_stim	1.9642084587509023
vertex	False	3	0.6883054669344992	0.6421412816574106	0.7352337626531175	power2_flat_full	by_stim	2.32629424098063
vertex	False	4	0.7765190166975882	0.7303687384044527	0.8292439703153989	power2_flat_full	by_stim	2.8132953338672264
vertex	False	5	0.7663438049145853	0.7033339094863595	0.8219085068994325	power2_flat_full	by_stim	3.586722993546796
vertex	True	0	0.25535732323232324	0.2023472964943553	0.3186149732620321	power2_flat_full	by_stim	1.2894442090905116
vertex	True	1	0.4262408081106704	0.35923926879141993	0.4848021194610284	power2_flat_full	by_stim	1.6506585414473256
vertex	True	2	0.5564583644325023	0.5102023933920485	0.6113275613275613	power2_flat_full	by_stim	1.9642084587509023
vertex	True	3	0.656843514908031	0.6097699791248178	0.7102928433573594	power2_flat_full	by_stim	2.32629424098063
vertex	True	4	0.729658189033189	0.6732426303854876	0.7769982993197279	power2_flat_full	by_stim	2.8132953338672264
