model	param	stim	subject	exponent	c	r2	sigma_at_28
logflex1	n2 (second)	vertex	63	0.6166720870383725	0.015269024048786255	0.905063762256686	0.119188194933708
logflex1	n2 (second)	vertex	67	0.8226659685034796	0.011495952692467079	0.9917979042056254	0.1782676877264474
logflex1	n2 (second)	vertex	69	0.5234841930316867	0.02054879731521235	0.9416045986733429	0.11758468571208679
logflex1	n2 (second)	vertex	72	0.7767569290767016	0.009804003696863772	0.9617302337265609	0.13046484260254274
logflex1	n2 (second)	vertex	74	0.1876972918448087	0.09384697732893935	0.22819781720458743	0.17540740862074683
logflex1	n1 (first)	ips	1	-0.08101822373519066	0.31074261313077073	0.5123547840866676	0.23722182372369194
logflex1	n1 (first)	ips	2	-0.09169670167709969	0.3414454556625664	0.849997728626086	0.2515484923509035
logflex1	n1 (first)	ips	3	-0.043052459761541505	0.25616365408282676	0.2380068269931389	0.221928867397781
logflex1	n1 (first)	ips	4	0.054797321006968325	0.2309186502183862	0.4949568645585738	0.27717840635960106
logflex1	n1 (first)	ips	5	-0.05996231954357287	0.3023801843075428	0.4459381540979559	0.2476158126471416
logflex1	n1 (first)	ips	6	0.04456145383773996	0.21144003747662807	0.15439024773357202	0.2452870911167237
logflex1	n1 (first)	ips	7	-0.039081783414179345	0.2932786309853485	0.2622054088995327	0.257467789041419
logflex1	n1 (first)	ips	9	0.09044047343746146	0.1669084859238909	0.44884810538866227	0.22561089845853802
logflex1	n1 (first)	ips	10	-0.044774047637287685	0.3024648322505582	0.4243344248624087	0.26054321246351586
logflex1	n1 (first)	ips	11	0.024853102441678206	0.2099447465536515	0.0858165214137111	0.22807168889156004
logflex1	n1 (first)	ips	18	-0.038476548773866664	0.2578830551861347	0.19448215911660482	0.2268512413763031
logflex1	n1 (first)	ips	19	0.030785022672199756	0.2241803316519685	0.12724605210482565	0.24839811746476592
logflex1	n1 (first)	ips	21	-0.06019458669899971	0.31408033501631694	0.326846894095688	0.25699795403243114
logflex1	n1 (first)	ips	25	-0.03328143366841723	0.2569741922098707	0.18378971779235742	0.2299990358737182
logflex1	n1 (first)	ips	26	-0.04611953579379772	0.28420365678830267	0.5916286841776517	0.24371788743799658
logflex1	n1 (first)	ips	29	-0.09530316925903609	0.34434956535553224	0.7735395903517095	0.2506575511014761
logflex1	n1 (first)	ips	30	-0.055703597121517415	0.30479618302704065	0.4481292744112607	0.2531614742533274
logflex1	n1 (first)	ips	31	-0.0792567625917299	0.33255237377944447	0.6585734454408483	0.2553659516903223
logflex1	n1 (first)	ips	34	-0.0025285097534107743	0.25727396930417723	0.001781082596472694	0.2551154107399486
logflex1	n1 (first)	ips	35	-0.07282683744912673	0.2866460808457687	0.4349569342781683	0.22488167405561632
logflex1	n1 (first)	ips	36	-0.03829109194326726	0.28675121264734266	0.3562412941697122	0.2524015409057946
logflex1	n1 (first)	ips	37	-0.022162365213381448	0.2691333612789416	0.08328476855442657	0.2499741444380752
logflex1	n1 (first)	ips	45	-0.11187891864951066	0.3640382566982062	0.787964784402239	0.250749774017636
logflex1	n1 (first)	ips	46	-0.07661810931303524	0.32889119876265427	0.6129885767098909	0.25478493160161675
logflex1	n1 (first)	ips	47	-0.06508987429916854	0.3009440253694904	0.49555982745525806	0.24226484111373459
logflex1	n1 (first)	ips	50	0.03974245217586495	0.21651282823655624	0.20213219520459003	0.24717084480431484
logflex1	n1 (first)	ips	53	0.019278339725814837	0.2613665596574763	0.05413165300778777	0.27870760896004254
logflex1	n1 (first)	ips	56	-0.060972093082428847	0.29314474966752746	0.431523484091367	0.23924665035554216
logflex1	n1 (first)	ips	59	-0.039026871158631044	0.2875604215161511	0.3515757734374907	0.25249399944505674
logflex1	n1 (first)	ips	62	-0.06007501445756941	0.2736332983875568	0.3838675493459155	0.22399117390109946
logflex1	n1 (first)	ips	63	-0.004516084097195981	0.2589994695586767	0.00352947507812551	0.2551310916245945
logflex1	n1 (first)	ips	67	-0.05890374188150815	0.2813875887547132	0.406756137812777	0.23123944312394906
logflex1	n1 (first)	ips	69	0.01610862790726416	0.25682550225259143	0.04127032486905713	0.2709878855973276
logflex1	n1 (first)	ips	72	-0.034813360276235494	0.2577881101804833	0.18493726659479637	0.22955272300608157
logflex1	n1 (first)	ips	74	-0.0732189535532649	0.3150052684279777	0.7154525027493991	0.24680753851308598
logflex1	n2 (second)	ips	1	0.21479997182355232	0.07760156497917374	0.9143764222199328	0.1587522846458487
logflex1	n2 (second)	ips	2	0.08775670129446313	0.1694381741750881	0.8939898682934448	0.22699122991599696
logflex1	n2 (second)	ips	3	0.33037341964623	0.04768802714345237	0.9661225756604286	0.14338770167259085
logflex1	n2 (second)	ips	4	0.19983490830959091	0.08095311885964758	0.739257526257302	0.15755285517230208
logflex1	n2 (second)	ips	5	0.17597339656987263	0.0830653998545303	0.9472806476517582	0.1493074485772701
logflex1	n2 (second)	ips	6	0.1430152871258563	0.09381852571597722	0.4580747798180127	0.15109647250889507
logflex1	n2 (second)	ips	7	0.12276532780178398	0.15710021112106126	0.7770769211134532	0.23650351446036133
logflex1	n2 (second)	ips	9	0.11302437250821212	0.09191065263940265	0.5444501541813855	0.13394607077352924
logflex1	n2 (second)	ips	10	0.26175834197937836	0.06701634847582598	0.9557336001183075	0.1603195361229472
logflex1	n2 (second)	ips	11	0.21508969659960034	0.08352392607511483	0.8389271875126592	0.17103290890702288
logflex1	n2 (second)	ips	18	0.2298059733310216	0.08505975573982992	0.8929182968322196	0.18293200364234055
logflex1	n2 (second)	ips	19	0.2680090094195683	0.07076582059273305	0.9602753298026884	0.17285221037356538
logflex1	n2 (second)	ips	21	0.11866265026848938	0.13785267802103268	0.20797309645767825	0.20470988522086786
logflex1	n2 (second)	ips	25	0.2990837337835883	0.05942124133954489	0.9597700604135997	0.16097674722631533
logflex1	n2 (second)	ips	26	0.14877588889467783	0.09251367868402263	0.4675277706372306	0.1518826524353163
logflex1	n2 (second)	ips	29	0.2620831181382799	0.07772892744163859	0.8916728520477691	0.18614799566245552
logflex1	n2 (second)	ips	30	0.193295150370063	0.09955134073918877	0.8084269755105995	0.1895726769031332
logflex1	n2 (second)	ips	31	0.18622676453290485	0.08161646976020016	0.858773573281574	0.1518019546851677
logflex1	n2 (second)	ips	34	0.30464593664366507	0.051933169591755514	0.8584442275918168	0.14332291852634713
logflex1	n2 (second)	ips	35	-0.028546256738163515	0.19421493288806527	0.1946899199744111	0.1765922639692504
logflex1	n2 (second)	ips	36	0.17304447322833708	0.08733630317264424	0.9139652112411231	0.15545958502475896
logflex1	n2 (second)	ips	37	0.23880516338291638	0.06761563658025303	0.8816667202325076	0.14984282466067683
logflex1	n2 (second)	ips	45	0.21916145482719876	0.08785525572860564	0.8174922401651368	0.18235975780697333
logflex1	n2 (second)	ips	46	0.13407245761650624	0.1259541350477288	0.6100657469438826	0.1968958051771855
logflex1	n2 (second)	ips	47	0.18455856845687277	0.09278641033447854	0.972440742069079	0.17162074698316596
logflex1	n2 (second)	ips	50	0.2469232732734783	0.072194992587566	0.9387949965728637	0.16437814463689568
logflex1	n2 (second)	ips	53	0.2071185484281499	0.08370999331878433	0.9501971050777054	0.16692084634463428
logflex1	n2 (second)	ips	56	0.0073609261956572875	0.16932684084863714	0.006228420079224639	0.17353146340133457
logflex1	n2 (second)	ips	59	0.3157244677361623	0.0579130863712133	0.9434564447267272	0.16583641840058172
logflex1	n2 (second)	ips	62	0.1591130986584515	0.1141982508877651	0.797795912231112	0.19405339746647998
logflex1	n2 (second)	ips	63	0.21330572464518044	0.07237572538145835	0.6480343629533447	0.14732621180755362
logflex1	n2 (second)	ips	67	0.3343102796478293	0.04960289274674578	0.9645048795691064	0.15111473385963978
logflex1	n2 (second)	ips	69	0.2610603251317352	0.06305794727395649	0.8519508778719506	0.15049961024745173
logflex1	n2 (second)	ips	72	0.2917197277573556	0.05817968680616856	0.9263190054924776	0.1537927723901944
logflex1	n2 (second)	ips	74	0.2461081167018327	0.08248640853404648	0.8639972321370547	0.18730084317805254
logflex2	n1 (first)	vertex	1	-0.4216818986200529	0.7151176699390098	0.6077486801831538	0.17544345163068134
logflex2	n1 (first)	vertex	2	-0.3258535967667813	0.7123937733220091	0.5904477430510603	0.24052402633343825
logflex2	n1 (first)	vertex	3	-0.3956676332830602	0.4949515156025244	0.9895036426954738	0.13242472057122448
logflex2	n1 (first)	vertex	4	0.09834074795632235	0.19094942390837227	0.7561003184482852	0.26499211758053476
logflex2	n1 (first)	vertex	5	-0.22323032023762943	0.4897151919623008	0.7039087118544729	0.23275232405865814
logflex2	n1 (first)	vertex	6	0.0511395344578009	0.21748397869785252	0.2964255362400613	0.25788985470693243
logflex2	n1 (first)	vertex	7	-0.054299216095658215	0.31780909913814587	0.38712192693533476	0.2652080978086907
logflex2	n1 (first)	vertex	9	0.25418499130203814	0.11210129774677295	0.8418199085227016	0.2614908470404475
logflex2	n1 (first)	vertex	10	-0.15032009843002903	0.44166671454633705	0.8413895206766929	0.2676441362170308
logflex2	n1 (first)	vertex	11	0.1310781930199034	0.14127778383523457	0.24404838018238817	0.21865767879699663
logflex2	n1 (first)	vertex	18	0.3563303007566319	0.07629972573603457	0.7921363522687517	0.2501435064643692
logflex2	n1 (first)	vertex	19	0.01976249723900345	0.23370626833380395	0.1216964918170177	0.24961450449286962
logflex2	n1 (first)	vertex	21	-0.10643825836408112	0.36947135696693	0.2566635224066387	0.25914796044943383
logflex2	n1 (first)	vertex	25	0.24253313126944392	0.08881693293035964	0.8939217601049705	0.19928726207518044
logflex2	n1 (first)	vertex	26	0.019631205200892676	0.18385348238771854	0.01467078443292058	0.19628238056077144
logflex2	n1 (first)	vertex	29	0.005304725983531153	0.3029563455640643	0.005495026177909312	0.3083591431736604
logflex2	n1 (first)	vertex	30	0.04733687112723744	0.22217202615347825	0.5120569190696391	0.2601317178500456
logflex2	n1 (first)	vertex	31	-0.23075828382172855	0.4656837594336362	0.8832580964116552	0.21584768174377558
logflex2	n1 (first)	vertex	34	-0.10542271070999629	0.291976346068906	0.4503522481992899	0.20548699767313733
logflex2	n1 (first)	vertex	35	-0.38255834206858563	0.5773050166849681	0.8113278183229956	0.16135519564964476
logflex2	n1 (first)	vertex	36	0.12406644807677757	0.1730184024768892	0.6487384986725329	0.2615989849414396
logflex2	n1 (first)	vertex	37	-0.05974024389810411	0.25832234566382234	0.20087079617315684	0.21169392822821648
logflex2	n1 (first)	vertex	45	-0.2857804591289787	0.41510149477571107	0.8339359276049749	0.1601713406355987
logflex2	n1 (first)	vertex	46	-0.1696924869299138	0.419696998013767	0.7676245290358108	0.2384317122024029
logflex2	n1 (first)	vertex	47	-0.21772327874593478	0.5144079982023616	0.9020128542078871	0.24901626858174802
logflex2	n1 (first)	vertex	50	0.06466059974113521	0.13935662926353234	0.14977358519221362	0.1728628780246955
logflex2	n1 (first)	vertex	53	0.14408539826583622	0.16990284299943378	0.8354644756231322	0.27460913953347504
logflex2	n1 (first)	vertex	56	0.05797380406584536	0.17241306376570162	0.031429468169012376	0.2091546023449151
logflex2	n1 (first)	vertex	59	0.25514115739738114	0.10358037945808764	0.8517951270957491	0.24238574381712114
logflex2	n1 (first)	vertex	62	-0.10702913831962806	0.23243871567003566	0.775444443597108	0.16271230223031186
logflex2	n1 (first)	vertex	63	-0.13495004039223465	0.29151383957638405	0.5361491890328245	0.1859367102853638
logflex2	n1 (first)	vertex	67	0.07404945640752605	0.23995379916471318	0.8737093947572065	0.30710642045352854
logflex2	n1 (first)	vertex	69	-0.003828879970325407	0.29475638428718925	0.010557866133176774	0.29101959104506175
logflex2	n1 (first)	vertex	72	0.09235321397636422	0.12512812239238005	0.41769563575677615	0.170217662827577
logflex2	n1 (first)	vertex	74	-0.39138814638667757	0.9667314610435587	0.7113075098406859	0.26236467022837817
logflex2	n2 (second)	vertex	1	-0.03478288776309677	0.2110609117741504	0.05170172281904639	0.18796261331889258
logflex2	n2 (second)	vertex	2	0.017781566506762582	0.2417146905953086	0.008829302669642547	0.256469534136699
logflex2	n2 (second)	vertex	3	0.025466284511571576	0.12122565856020204	0.3561009000192302	0.13196181806075666
logflex2	n2 (second)	vertex	4	0.15855783487781747	0.13030002869809976	0.7394321929497639	0.22100533397955913
logflex2	n2 (second)	vertex	5	0.06658695041032395	0.15305295404417898	0.2271628829081861	0.19107486275527621
logflex2	n2 (second)	vertex	6	0.1228207536833581	0.14440444126916777	0.6579778783240919	0.21743106376088966
logflex2	n2 (second)	vertex	7	0.1440453577935245	0.16051090345941946	0.5602961624900865	0.2593946028802103
logflex2	n2 (second)	vertex	9	0.3211243223168121	0.07510573069338874	0.8085538425154833	0.21897307531949578
logflex2	n2 (second)	vertex	10	0.23766673265540372	0.10708097717119751	0.9012965156214766	0.23640336096281275
logflex2	n2 (second)	vertex	11	0.2485204721791888	0.08232795467496365	0.6353814368501951	0.18844981843693273
logflex2	n2 (second)	vertex	18	0.39038259410993176	0.06323063038929877	0.6965894672310802	0.23220566884344188
logflex2	n2 (second)	vertex	19	0.1396552848969456	0.12879984037959988	0.7440847693192436	0.2051249990100287
logflex2	n2 (second)	vertex	21	0.22636231860431222	0.11780049246228011	0.8681077674016207	0.25045468117636305
logflex2	n2 (second)	vertex	25	0.29624803877012856	0.07254988619384817	0.9255904112889335	0.1946948500998811
logflex2	n2 (second)	vertex	26	0.15323967362411597	0.10942260470289242	0.6695013043965257	0.1823345934103658
logflex2	n2 (second)	vertex	29	0.17553896410350528	0.14871901539497331	0.7998203556363377	0.2669310674598284
logflex2	n2 (second)	vertex	30	0.11936111319045827	0.165783291978544	0.5227544915476882	0.2467602222940428
logflex2	n2 (second)	vertex	31	0.02510125182663345	0.1862301366054507	0.10907922506331214	0.20247687996616143
logflex2	n2 (second)	vertex	34	-0.02026523364052609	0.20122518123183816	0.013602136571285617	0.1880855067721707
logflex2	n2 (second)	vertex	35	-0.2384343083733232	0.308676850025642	0.7228707835462046	0.1394607304017216
logflex2	n2 (second)	vertex	36	0.28207835291315164	0.0897606376854367	0.983639638938531	0.22977241197686232
logflex2	n2 (second)	vertex	37	0.15270644642644013	0.12090513833114086	0.5763513845135997	0.2011106726853685
logflex2	n2 (second)	vertex	45	-0.0484169424516446	0.18502584126991764	0.1297550405749497	0.15745825001520977
logflex2	n2 (second)	vertex	46	0.0202535317673301	0.20304375631465335	0.022278110771866255	0.2172199455240134
logflex2	n2 (second)	vertex	47	0.01059248064103821	0.21368393489607415	0.009682679218864898	0.22136087654762948
logflex2	n2 (second)	vertex	50	0.3016958432712739	0.061820959469064615	0.8781625546936943	0.16894187259209667
logflex2	n2 (second)	vertex	53	0.3079145390250374	0.08776089766111911	0.8991548044472737	0.24485109743112302
logflex2	n2 (second)	vertex	56	0.04094793439578604	0.15105633517846695	0.08398211522299226	0.1731398656049942
logflex2	n2 (second)	vertex	59	0.45348145368998755	0.051501944591328654	0.9734332819426864	0.23339038211697352
logflex2	n2 (second)	vertex	62	0.11777629263890464	0.11110057851893691	0.7931310902239133	0.16449671449747613
logflex2	n2 (second)	vertex	63	0.17655880186923786	0.09979731646969738	0.6725138945339577	0.179732804710434
logflex2	n2 (second)	vertex	67	0.23819724141636972	0.1143429926898796	0.8998907640858624	0.2528824006894509
logflex2	n2 (second)	vertex	69	0.34825466930490456	0.07757077851770489	0.9335874918007347	0.24755841404989254
logflex2	n2 (second)	vertex	72	0.24346791280259963	0.07184984857559923	0.7096204946160287	0.1617195047116997
logflex2	n2 (second)	vertex	74	-0.1114331494853383	0.3473163242783339	0.11872151427896527	0.2395873141145773
logflex2	memory	vertex	1	-0.31806563624420936	1.8698625991594013	0.6942937292057898	0.6479156273311765
logflex2	memory	vertex	2	-0.29327991556325356	1.7082891631723962	0.9215191300699532	0.6428934493767335
logflex2	memory	vertex	3	-0.3237625813109392	2.0043437710453	0.985214943893026	0.6814540719396427
logflex2	memory	vertex	4	0.02370996276577227	0.7705518734741879	0.12483959069697037	0.8338999422077035
logflex2	memory	vertex	5	-0.22750485564819414	1.704831174408533	0.9336682720956546	0.7988144258619366
logflex2	memory	vertex	6	-0.04551720723825711	0.9158351127008224	0.48971665823555366	0.7869491998726986
logflex2	memory	vertex	7	-0.14765767696706478	1.1520362695133932	0.8829142241491953	0.7043396854718967
logflex2	memory	vertex	9	-0.028087304751208887	0.7992539239533825	0.382829264182204	0.727843500977038
logflex2	memory	vertex	10	-0.2918993537544613	1.9898692233137092	0.9865480493254823	0.7523155539386749
logflex2	memory	vertex	11	-0.08432824275968219	1.0072834823821224	0.685940873339214	0.7605283689607848
logflex2	memory	vertex	18	-0.020195550899002906	0.7741593650686118	0.07443973190868125	0.7237760668603374
logflex2	memory	vertex	19	-0.048951951752967286	0.909441481861919	0.32258048686707064	0.7725623677594126
logflex2	memory	vertex	21	-0.25969353523679467	1.637581283490877	0.8941953766528494	0.6892634996222438
logflex2	memory	vertex	25	-0.02539650906968445	0.7641328672668527	0.1796657421993254	0.7021277180461203
logflex2	memory	vertex	26	-0.14030348555219374	1.1337250632908413	0.9714453741269011	0.7103402630341359
logflex2	memory	vertex	29	-0.07301319462643348	0.9391052901440184	0.8968112953514835	0.7362963642993331
logflex2	memory	vertex	30	-0.05836964124043371	0.9086951064309867	0.6064226290076864	0.7480800864177273
logflex2	memory	vertex	31	-0.17830809069670878	1.3340845694119314	0.9693528967117708	0.7364501847543995
logflex2	memory	vertex	34	-0.128697316080609	1.124772039379597	0.9135284754168264	0.7325194440756739
logflex2	memory	vertex	35	-0.1042670540638557	1.0967814651240613	0.7047699702127658	0.7748706260141281
logflex2	memory	vertex	36	-0.1002044807260773	1.0684653442146985	0.7243346191395081	0.7651537680120841
logflex2	memory	vertex	37	-0.20376064076989406	1.4202314307655486	0.9019571842717835	0.7202533251092839
logflex2	memory	vertex	45	-0.1968685067661016	1.337584745818167	0.968552331271923	0.6940990765833658
logflex2	memory	vertex	46	-0.1684378805388077	1.2860588485720703	0.9463004937973499	0.7336765027220423
logflex2	memory	vertex	47	-0.1802750944994567	1.3578436171275663	0.8975132092635061	0.7446688789322666
logflex2	memory	vertex	50	-0.2178618317431633	1.4244473147106702	0.9490365257543059	0.689232727549666
logflex2	memory	vertex	53	-0.03903602557530931	0.9222624018860482	0.6803599332409931	0.8097728395449629
logflex2	memory	vertex	56	-0.004026193367618455	0.8040678981306804	0.0008736846596145709	0.7933524833052242
logflex2	memory	vertex	59	-0.14697993860964628	1.1510136565475726	0.9963524922820756	0.705305511968151
logflex2	memory	vertex	62	-0.1747946579559801	1.2250824593008502	0.9768431175690043	0.6842421577955469
logflex2	memory	vertex	63	-0.34427247290851676	2.0998350239882995	0.8922887797236405	0.6667584081724928
logflex2	memory	vertex	67	-0.11121917506854406	1.1246744654430716	0.6332733976484053	0.7763813826464354
logflex2	memory	vertex	69	-0.2500676690082141	1.8086559043026866	0.9700099975693722	0.7860832002590344
logflex2	memory	vertex	72	-0.08523351443110988	0.9325862954890168	0.8142949340589798	0.7020089744845806
logflex2	memory	vertex	74	-0.24925010742375028	1.6564720226300698	0.9838978788045113	0.7219046020445428
logflex2	perceptual	vertex	1	-0.03478288776309677	0.2110609117741504	0.05170172281904639	0.18796261331889258
logflex2	perceptual	vertex	2	0.017781566506762582	0.2417146905953086	0.008829302669642547	0.256469534136699
logflex2	perceptual	vertex	3	0.025466284511571576	0.12122565856020204	0.3561009000192302	0.13196181806075666
logflex2	perceptual	vertex	4	0.15855783487781747	0.13030002869809976	0.7394321929497639	0.22100533397955913
logflex2	perceptual	vertex	5	0.06658695041032395	0.15305295404417898	0.2271628829081861	0.19107486275527621
logflex2	perceptual	vertex	6	0.1228207536833581	0.14440444126916777	0.6579778783240919	0.21743106376088966
logflex2	perceptual	vertex	7	0.1440453577935245	0.16051090345941946	0.5602961624900865	0.2593946028802103
logflex2	perceptual	vertex	9	0.3211243223168121	0.07510573069338874	0.8085538425154833	0.21897307531949578
logflex2	perceptual	vertex	10	0.23766673265540372	0.10708097717119751	0.9012965156214766	0.23640336096281275
logflex2	perceptual	vertex	11	0.2485204721791888	0.08232795467496365	0.6353814368501951	0.18844981843693273
logflex2	perceptual	vertex	18	0.39038259410993176	0.06323063038929877	0.6965894672310802	0.23220566884344188
logflex2	perceptual	vertex	19	0.1396552848969456	0.12879984037959988	0.7440847693192436	0.2051249990100287
logflex2	perceptual	vertex	21	0.22636231860431222	0.11780049246228011	0.8681077674016207	0.25045468117636305
logflex2	perceptual	vertex	25	0.29624803877012856	0.07254988619384817	0.9255904112889335	0.1946948500998811
logflex2	perceptual	vertex	26	0.15323967362411597	0.10942260470289242	0.6695013043965257	0.1823345934103658
logflex2	perceptual	vertex	29	0.17553896410350528	0.14871901539497331	0.7998203556363377	0.2669310674598284
