term	stimulation	payoff	nu	lo	hi	sim_lo	sim_hi
perceptual	ips - vertex	25.35294117647059	0.05433647270566403	-0.17597816066120836	0.29757766381226597	-0.24484857707849098	0.35352152248981905
perceptual	ips - vertex	25.529411764705884	0.051768784019571336	-0.17795990278365278	0.29463998621545523	-0.24665227654202673	0.3501898445811694
perceptual	ips - vertex	25.705882352941178	0.04921681691244473	-0.18102167245658474	0.29130372002995386	-0.2484945193886995	0.34692815321358894
perceptual	ips - vertex	25.88235294117647	0.04668068320845077	-0.18275685952129658	0.28800363159994274	-0.25037436752812	0.3437357339450215
perceptual	ips - vertex	26.058823529411764	0.044160490763333254	-0.18547162261773376	0.28452664515291587	-0.2522908575795878	0.34061183910625437
perceptual	ips - vertex	26.23529411764706	0.04165634353015461	-0.18802706346830667	0.2811065945791291	-0.25424300258171656	0.3375556896420258
perceptual	ips - vertex	26.411764705882355	0.03916834162441927	-0.19106654938222165	0.2776049416765888	-0.256229793750996	0.3345664769998346
perceptual	ips - vertex	26.58823529411765	0.03669658138854787	-0.19358687572117106	0.27497867011182947	-0.2582502022807941	0.3316433650578898
perceptual	ips - vertex	26.764705882352942	0.03424115545569179	-0.1960326939117778	0.2728258002417549	-0.2603031811721313	0.3287854920835149
perceptual	ips - vertex	26.941176470588236	0.03180215281286744	-0.1980370863507313	0.2699118552115402	-0.2623876670876515	0.3259919727133863
perceptual	ips - vertex	27.11764705882353	0.02937965886339637	-0.200304021120203	0.2668641475314795	-0.26450258222019507	0.32326189994698784
perceptual	ips - vertex	27.294117647058826	0.026973755488638528	-0.20409188751243473	0.26469917674558796	-0.26664683616761287	0.3205943471448899
perceptual	ips - vertex	27.47058823529412	0.024584521109004637	-0.20648056205609436	0.2616822228272946	-0.2688193278056198	0.3179883700236291
perceptual	ips - vertex	27.647058823529413	0.022212030744239178	-0.20843641681926975	0.2592685406297452	-0.2710189471507938	0.3154430086392721
perceptual	ips - vertex	27.823529411764707	0.019856356072962694	-0.21129499943997002	0.25746029846463925	-0.2732445772061696	0.31295728935209505
perceptual	ips - vertex	28.0	0.017517565491467713	-0.2134603001464543	0.2548683824414087	-0.2754950957822358	0.3105302267651712
memory	ips	7.0	0.9059110800105129	0.7242288891368505	1.0764955894255492		
memory	ips	7.176470588235294	0.9313538001321869	0.7560483384157636	1.0968616515140541		
memory	ips	7.352941176470588	0.9563900963378459	0.7871873840027744	1.117566348642001		
memory	ips	7.529411764705882	0.9809868685840334	0.8172750737315062	1.1376242166667014		
memory	ips	7.705882352941177	1.0051138892553386	0.8462865304844067	1.1588231410017893		
memory	ips	7.882352941176471	1.0287437652216835	0.8736494550149853	1.1782032531557924		
memory	ips	8.058823529411764	1.0518518806536874	0.9012165702837119	1.197661697981352		
memory	ips	8.235294117647058	1.0744163240532518	0.9287629442781951	1.2169439263669872		
memory	ips	8.411764705882353	1.0964178026879612	0.9538828587473541	1.2364905495987493		
memory	ips	8.588235294117647	1.1178395473168523	0.9787980166876985	1.256349058811721		
memory	ips	8.764705882352942	1.138667209778152	1.0020092419523206	1.2760728339093288		
memory	ips	8.941176470588236	1.1588887556911827	1.024792956564554	1.2952109458344667		
memory	ips	9.117647058823529	1.178494354214629	1.0468748687820881	1.3140848883111007		
memory	ips	9.294117647058824	1.1974762665096943	1.068424465132714	1.3336950808708423		
memory	ips	9.470588235294118	1.2158287342848375	1.0884995897758363	1.351665330588942		
memory	ips	9.647058823529413	1.2335478695512223	1.1057839148189046	1.3702296429433258		
memory	ips	9.823529411764707	1.2506315464968971	1.1226300631590447	1.3892483302205523		
memory	ips	10.0	1.2670792961925064	1.1387257558397808	1.4076174035155888		
memory	ips	10.176470588235293	1.2828922046725137	1.1540316427444488	1.4244160962950112		
memory	ips	10.352941176470589	1.2980728147898264	1.1689915786628071	1.4412872784303785		
memory	ips	10.529411764705882	1.3126250321193127	1.1834142836809758	1.4572806118139483		
memory	ips	10.705882352941178	1.3265540350828158	1.1955133335182986	1.4730373348137316		
memory	ips	10.882352941176471	1.3398661893830506	1.208480398608702	1.4891000359899373		
memory	ips	11.058823529411764	1.3525689667655583	1.2201304844397827	1.5040349505976165		
memory	ips	11.235294117647058	1.3646708680724082	1.2310506657406104	1.5172014074661573		
memory	ips	11.411764705882353	1.3761813505083405	1.2422600785808389	1.530691719089605		
memory	ips	11.588235294117649	1.3871107590071785	1.2524013173401252	1.5430563730565492		
memory	ips	11.764705882352942	1.3974702615618628	1.261483496381289	1.5542891963617582		
memory	ips	11.941176470588236	1.407271788364168	1.270622310782188	1.5656471516176194		
memory	ips	12.117647058823529	1.4165279745888695	1.2784988316683603	1.575437157341384		
memory	ips	12.294117647058824	1.4252521066508534	1.2869231135088899	1.5854900310177948		
memory	ips	12.470588235294118	1.4334580717605931	1.2942029247521463	1.593986155299351		
memory	ips	12.647058823529413	1.4411603106047168	1.3007817498058398	1.603102084576852		
memory	ips	12.823529411764707	1.4483737729807096	1.306601531927469	1.6112145442733141		
memory	ips	13.0	1.4551138762204778	1.3122204873252126	1.6186991412768263		
