label	elpd	rhat	converged	bauer	group_sd	safe_n	dir
lfx2-cr3-sm-tp-null	-4265.2	1.01	True	dd6feab	HalfCauchy	BUGGY (safe_n = risky_n)	cogmodels.lfxgrid
lfx2-gw-m2-dp-null-p2	-4265.5	1.53	False	34e64a6	HalfCauchy	fixed	cogmodels.lfxgrid
lfx2-bs3-m2-dp-null-p2-fp	-4265.6	1.53	False	34e64a6	HalfCauchy	fixed	cogmodels.lfxgrid
lfx2-bs2-fm-tp-null	-4265.9	1.53	False	dd6feab	HalfCauchy	BUGGY (safe_n = risky_n)	cogmodels.lfxgrid
lfx2-bs3-m3-dp-null	-4267.0	1.87	False	dd6feab	HalfCauchy	BUGGY (safe_n = risky_n)	cogmodels.lfxgrid
lfx2-pl-m2-dp-null-p2	-4267.5	1.53	False	34e64a6	HalfCauchy	fixed	cogmodels.lfxgrid
lfx2-bs3-m3-dp-null-f1	-4267.8	2.12	False	dd6feab	HalfCauchy	BUGGY (safe_n = risky_n)	cogmodels.lfxgrid
lfx2-pl-m2-dp-null-p2-i	-4268.1	1.74	False	34e64a6	HalfCauchy	fixed	cogmodels.lfxgrid
flexible2_noisefix_null.head	-4271.4	1.02	False	e05f73a (0.3.0)	HalfNormal	BUGGY (safe_n = risky_n)	cogmodels.overnight
lfx2-bs2-fm-dp-null	-4271.6	1.74	False	dd6feab	HalfCauchy	BUGGY (safe_n = risky_n)	cogmodels.lfxgrid
lfx2-cr3-m3-dp-null	-4271.6	1.74	False	dd6feab	HalfCauchy	BUGGY (safe_n = risky_n)	cogmodels.lfxgrid
flexible1_noisefix_null.head	-4271.8	1.0	True	e05f73a (0.3.0)	HalfNormal	BUGGY (safe_n = risky_n)	cogmodels.overnight
lfx2-cr3-fm-dp-null	-4273.8	1.55	False	dd6feab	HalfCauchy	BUGGY (safe_n = risky_n)	cogmodels.lfxgrid
lfx2-cr3-fm-tp-null	-4274.9	1.53	False	dd6feab	HalfCauchy	BUGGY (safe_n = risky_n)	cogmodels.lfxgrid
power1_null	-4287.8	1.05	False	e05f73a (0.3.0)	HalfNormal	BUGGY (safe_n = risky_n)	cogmodels.power
power2_null	-4293.1	1.0	True	e05f73a (0.3.0)	HalfNormal	BUGGY (safe_n = risky_n)	cogmodels.power
lfx2-bs3-m3-dp-null-sp-hn	-4302.8	1.53	False	dd6feab	HalfCauchy	BUGGY (safe_n = risky_n)	cogmodels.lfxgrid
lfx2-bs2-m3-dp-bm-op	-4724.8	1.0	True	dd6feab	HalfCauchy	BUGGY (safe_n = risky_n)	cogmodels.lfxgrid
lfx2-bs3-m2-dp-bm-op	-4732.5	1.0	True	dd6feab	HalfCauchy	BUGGY (safe_n = risky_n)	cogmodels.lfxgrid
lfx2-bs3-m3-dp-bm-op	-4732.5	1.0	True	dd6feab	HalfCauchy	BUGGY (safe_n = risky_n)	cogmodels.lfxgrid
lfx2-bs3-m2-dp-b-op	-4733.5	1.0	True	dd6feab	HalfCauchy	BUGGY (safe_n = risky_n)	cogmodels.lfxgrid
lfx2-bs3-m3-dp-bm-op-hn	-4756.8	1.0	True	dd6feab	HalfCauchy	BUGGY (safe_n = risky_n)	cogmodels.lfxgrid
lfx2-bs3-m2-dp-null-op	-4786.9	1.0	True	dd6feab	HalfCauchy	BUGGY (safe_n = risky_n)	cogmodels.lfxgrid
lfx2-bs3-m3-dp-null-op-hn	-4806.3	1.0	True	dd6feab	HalfCauchy	BUGGY (safe_n = risky_n)	cogmodels.lfxgrid
power2_flat	-4934.6	1.0	True	e05f73a (0.3.0)	HalfNormal	BUGGY (safe_n = risky_n)	cogmodels.power
power2_flat_exp	-4935.0	1.0	True	e05f73a (0.3.0)	HalfNormal	BUGGY (safe_n = risky_n)	cogmodels.power
power2_flat_full	-4935.4	1.0	True	e05f73a (0.3.0)	HalfNormal	BUGGY (safe_n = risky_n)	cogmodels.power
power1_flat_exp	-4968.0	1.0	True	e05f73a (0.3.0)	HalfNormal	BUGGY (safe_n = risky_n)	cogmodels.power
power1_flat_full	-4978.8	1.0	True	e05f73a (0.3.0)	HalfNormal	BUGGY (safe_n = risky_n)	cogmodels.power
power1_flat	-4979.2	1.01	True	e05f73a (0.3.0)	HalfNormal	BUGGY (safe_n = risky_n)	cogmodels.power
power2_flat_null	-4998.5	1.03	False	e05f73a (0.3.0)	HalfNormal	BUGGY (safe_n = risky_n)	cogmodels.power
power1_flat_null	-5017.7	1.0	True	e05f73a (0.3.0)	HalfNormal	BUGGY (safe_n = risky_n)	cogmodels.power
lfx2-bs3-w-dp-bm-op	-5020.5	1.0	True	dd6feab	HalfCauchy	BUGGY (safe_n = risky_n)	cogmodels.lfxgrid
