order	stake_grp	rung	label	where	variant	over_subjects	quantity	value	n_safe
Risky first	1.0	1.0	log-power-n1n2pmusd	trials	integrate/median	mean	den_ratio	1.0721214276851394	
Risky first	1.0	2.0	log-power-n1n2pmusd	trials	integrate/median	mean	den_ratio	1.0734561237279556	
Risky first	1.0	3.0	log-power-n1n2pmusd	trials	integrate/median	mean	den_ratio	1.0755951274055264	
Risky first	1.0	4.0	log-power-n1n2pmusd	trials	integrate/median	mean	den_ratio	1.0800760402498673	
Risky first	1.0	5.0	log-power-n1n2pmusd	trials	integrate/median	mean	den_ratio	1.0829933949519086	
Risky first	1.0	6.0	log-power-n1n2pmusd	trials	integrate/median	mean	den_ratio	1.0831941534486451	
Risky second	0.0	1.0	log-power-n1n2pmusd	trials	integrate/median	mean	den_ratio	1.0770555264340462	
Risky second	0.0	2.0	log-power-n1n2pmusd	trials	integrate/median	mean	den_ratio	1.0734465677810223	
Risky second	0.0	3.0	log-power-n1n2pmusd	trials	integrate/median	mean	den_ratio	1.0711338273586235	
Risky second	0.0	4.0	log-power-n1n2pmusd	trials	integrate/median	mean	den_ratio	1.0696528271385843	
Risky second	0.0	5.0	log-power-n1n2pmusd	trials	integrate/median	mean	den_ratio	1.0663981228631294	
Risky second	0.0	6.0	log-power-n1n2pmusd	trials	integrate/median	mean	den_ratio	1.057006699101863	
Risky second	1.0	1.0	log-power-n1n2pmusd	trials	integrate/median	mean	den_ratio	1.05846847172202	
Risky second	1.0	2.0	log-power-n1n2pmusd	trials	integrate/median	mean	den_ratio	1.0553945533558702	
Risky second	1.0	3.0	log-power-n1n2pmusd	trials	integrate/median	mean	den_ratio	1.0521566762621153	
Risky second	1.0	4.0	log-power-n1n2pmusd	trials	integrate/median	mean	den_ratio	1.0494848475495782	
Risky second	1.0	5.0	log-power-n1n2pmusd	trials	integrate/median	mean	den_ratio	1.0453432361449744	
Risky second	1.0	6.0	log-power-n1n2pmusd	trials	integrate/median	mean	den_ratio	1.040305486264062	
Risky first	0.0	1.0	log-power-n1n2pmusd	trials	integrate/mean	median	den_ratio	1.0686049923492549	
Risky first	0.0	2.0	log-power-n1n2pmusd	trials	integrate/mean	median	den_ratio	1.0705624623204755	
Risky first	0.0	3.0	log-power-n1n2pmusd	trials	integrate/mean	median	den_ratio	1.073248490245222	
Risky first	0.0	4.0	log-power-n1n2pmusd	trials	integrate/mean	median	den_ratio	1.074489295230607	
Risky first	0.0	5.0	log-power-n1n2pmusd	trials	integrate/mean	median	den_ratio	1.0769624757483078	
Risky first	0.0	6.0	log-power-n1n2pmusd	trials	integrate/mean	median	den_ratio	1.074715538222373	
Risky first	1.0	1.0	log-power-n1n2pmusd	trials	integrate/mean	median	den_ratio	1.0713030712711302	
Risky first	1.0	2.0	log-power-n1n2pmusd	trials	integrate/mean	median	den_ratio	1.073989393292143	
Risky first	1.0	3.0	log-power-n1n2pmusd	trials	integrate/mean	median	den_ratio	1.0762430379911547	
Risky first	1.0	4.0	log-power-n1n2pmusd	trials	integrate/mean	median	den_ratio	1.0790102112481639	
Risky first	1.0	5.0	log-power-n1n2pmusd	trials	integrate/mean	median	den_ratio	1.081281020100224	
Risky first	1.0	6.0	log-power-n1n2pmusd	trials	integrate/mean	median	den_ratio	1.0838991096188015	
