label	subject	order	stake2	stimulation_condition	parameter	median	lo	hi
log-power-n1n2	6	Risky first	0	vertex	rnp	1.4207952787450295	1.1870019706713373	1.902788080476637
log-power-n1n2	7	Risky first	0	vertex	rnp	0.8301424908199222	0.6686492104580438	0.9476183334645579
log-power-n1n2	9	Risky first	0	vertex	rnp	1.7823362944086736	1.4794445529122362	2.4980402729317888
log-power-n1n2	10	Risky first	0	vertex	rnp	0.52472297240246	0.06638056287256965	0.7672303166127185
log-power-n1n2	11	Risky first	0	vertex	rnp	0.7812282235194506	0.6510989351475213	0.8781324447562353
log-power-n1n2	18	Risky first	0	vertex	rnp	0.8109270992115969	0.7384245257452057	0.8777974573917218
log-power-n1n2	19	Risky first	0	vertex	rnp	1.2893969676709562	0.6619401561153814	1.6777886411235707
log-power-n1n2	21	Risky first	0	vertex	rnp	1.0483853835983687	0.8751073862644119	1.3487791096556412
log-power-n1n2	25	Risky first	0	vertex	rnp	0.8577126991229529	0.7810591283350657	0.9211507669327248
log-power-n1n2	26	Risky first	0	vertex	rnp	0.8796221095704401	0.7970056755913996	0.9563550474996749
log-power-n1n2	29	Risky first	0	vertex	rnp	1.4188553846763479	1.1579557643788538	1.9428458579383578
log-power-n1n2	30	Risky first	0	vertex	rnp	1.0474390205241644	0.8211158826134604	1.261234450629136
log-power-n1n2	31	Risky first	0	vertex	rnp	0.935120511952703	0.7287162178974785	1.0571520889877362
log-power-n1n2	34	Risky first	0	vertex	rnp	1.1685403233310334	0.9857339748221305	1.358760430655201
log-power-n1n2	35	Risky first	0	vertex	rnp	2.039741712417934	1.783586050450026	2.423213681644713
log-power-n1n2	36	Risky first	0	vertex	rnp	1.00199576861532	0.8611294446657047	1.1146884860045243
log-power-n1n2	37	Risky first	0	vertex	rnp	0.9507584203331376	0.8426816336296742	1.0713558150778701
log-power-n1n2	45	Risky first	0	vertex	rnp	1.3267510536756182	1.1570881051382331	1.494577903743738
log-power-n1n2	46	Risky first	0	vertex	rnp	1.1515843411815	1.0047545350048526	1.3153623754552652
