curve	payoff	median	lo	hi	p_gt0
n2 (second)	7.515760138376831	0.06666048872141915	0.04602349060709029	0.09238739362973922	1.0
n2 (second)	8.069521493944878	0.06387907703107319	0.04369212766946902	0.08848998840948889	1.0
n2 (second)	8.664083997137995	0.061003976117704084	0.04120663964477084	0.08474175196018775	1.0
n2 (second)	9.302453877319765	0.05802475308684754	0.038595069592061194	0.08103390550497702	1.0
n2 (second)	9.987858862892699	0.055116846951310375	0.035926131349239956	0.07711687891883268	1.0
n2 (second)	10.723764501351813	0.05189113919405546	0.03329721461471977	0.07325227018167642	1.0
n2 (second)	11.513891681800072	0.04845650907817576	0.03040065186426919	0.06950259305392227	1.0
n2 (second)	12.362235448523078	0.04500437221481188	0.027507551223885113	0.06556054459184404	1.0
n2 (second)	13.2730852007484	0.04141184108555232	0.024100008746253804	0.061154373249624736	1.0
n2 (second)	14.251046380723466	0.03786332273249142	0.020700227596552902	0.057040527656453656	1.0
n2 (second)	15.30106375977155	0.03415252335277221	0.017032675944029872	0.053042236144885076	1.0
n2 (second)	16.42844644006477	0.030207257826208686	0.01285609319604759	0.04871149501845615	0.9995
n2 (second)	17.638894698528226	0.02608362092292886	0.008578368399987555	0.044340458879490875	0.999
n2 (second)	18.93852880860355	0.02172943392297888	0.0043891947530817705	0.04017366608544921	0.9945
n2 (second)	20.33391998560055	0.017189210573472728	-0.0007026708711140134	0.03628565792306438	0.97
n2 (second)	21.83212361210294	0.012593448758492134	-0.005977300535630135	0.031973587831590676	0.901
n2 (second)	23.440714911422702	0.007684076274149087	-0.011805872636898421	0.027983448441024312	0.762
n2 (second)	25.16782724947516	0.002916841613198649	-0.01827250967143987	0.02383575877587677	0.584
n2 (second)	27.02219325873709	-0.0023379718623121517	-0.025440383511449227	0.0200383882227844	0.4415
n2 (second)	29.013188992218765	-0.007455112621381427	-0.0322598776524425	0.016302160256369262	0.302
n2 (second)	31.15088133070163	-0.01291998236721136	-0.04017166734586878	0.012510714833192469	0.196
n2 (second)	33.44607888294205	-0.018702348603957517	-0.048727477694938195	0.008767844870205108	0.12
n2 (second)	35.91038663620328	-0.024252191582326783	-0.05691778282357294	0.004896195984005984	0.0625
n2 (second)	38.55626463343955	-0.030154834886018007	-0.06690566729529808	0.0011909665661237903	0.0315
n2 (second)	41.39709097381619	-0.03614003444036319	-0.07662279216315016	-0.002919406322386367	0.0125
n2 (second)	44.44722945510958	-0.04230618405345858	-0.08803126554544186	-0.0069895504052351985	0.0065
n2 (second)	47.722102200000165	-0.04913887704114253	-0.09981333263090224	-0.010479631824743102	0.0035
n2 (second)	51.23826763347236	-0.05589245786878534	-0.11171940910831618	-0.014475857397825129	0.0005
n2 (second)	55.01350420559077	-0.06278138093193752	-0.12473131559293221	-0.0189127675930861	0.0
n2 (second)	59.066900282972185	-0.06996091696135154	-0.1376284612050988	-0.022891443106468796	0.0
n2 (second)	63.41895066346308	-0.07718068117924347	-0.1518069970158613	-0.027232765908750994	0.0
n2 (second)	68.09166020202038	-0.08492992427192309	-0.16846828063252856	-0.03162918311358687	0.0
n2 (second)	73.10865507174927	-0.09294162358225143	-0.1841620418559077	-0.035715556579595485	0.0
n2 (second)	78.49530222265635	-0.10108770966397186	-0.19989495236867863	-0.039647990520999855	0.0
n2 (second)	84.27883764212612	-0.10968859032295405	-0.21718573538245797	-0.04414109100545059	0.0
n2 (second)	90.48850406563214	-0.11832610339897293	-0.23600870559001416	-0.048702959147966886	0.0
n2 (second)	97.15569883397542	-0.12779667668102224	-0.2556170168722002	-0.053335042262552354	0.0
n2 (second)	104.31413264464813	-0.13713576741778893	-0.2770699848610204	-0.058284795547943864	0.0
n2 (second)	112.0	-0.1462699445925275	-0.2994303157175553	-0.06313622311453063	0.0
