curve	payoff	median	lo	hi	p_gt0
n2 (second)	15.30106375977155	0.0076563931545904525	-0.012645135494560611	0.02991759599630753	0.7665
n2 (second)	16.42844644006477	0.006843261622979732	-0.01292453745529597	0.027885446337054844	0.753
n2 (second)	17.638894698528226	0.005804576539478625	-0.013030212938814791	0.025654064888500205	0.7365
n2 (second)	18.93852880860355	0.004893096469572991	-0.013301537490507668	0.024689284823612448	0.709
n2 (second)	20.33391998560055	0.003953004773634736	-0.01380191539472626	0.02330217138062788	0.676
n2 (second)	21.83212361210294	0.003061829374248994	-0.014834291691590425	0.021836528271464168	0.632
n2 (second)	23.440714911422702	0.0021001490935460055	-0.01592887540844726	0.02058104644191075	0.593
n2 (second)	25.16782724947516	0.0009601939077079514	-0.017443326716546897	0.019773192581227592	0.5435
n2 (second)	27.02219325873709	-0.00022292887938682508	-0.019125607391803363	0.01805595035200556	0.4885
n2 (second)	29.013188992218765	-0.0016504786337516494	-0.020672336945987427	0.0165490826015655	0.4345
n2 (second)	31.15088133070163	-0.002987751564405993	-0.02200298515529878	0.015070692535140106	0.373
n2 (second)	33.44607888294205	-0.004352308751949986	-0.023263390901634994	0.01357226428477284	0.3095
n2 (second)	35.91038663620328	-0.005645969021150717	-0.02468822323362974	0.012177988273268684	0.258
n2 (second)	38.55626463343955	-0.007232995672494694	-0.02668008621659635	0.010421010504663247	0.2085
n2 (second)	41.39709097381619	-0.009013582282612849	-0.029029471631983064	0.008561706004276961	0.1675
n2 (second)	44.44722945510958	-0.010584019424484923	-0.031990500565537774	0.007679030376199022	0.124
n2 (second)	47.722102200000165	-0.01229439204317976	-0.034652758708367926	0.006349386311223388	0.0985
n2 (second)	51.23826763347236	-0.014122976991204954	-0.03737777134502009	0.005143262658127002	0.0765
n2 (second)	55.01350420559077	-0.016222646076809434	-0.04007796837659385	0.0036949264277605014	0.057
n2 (second)	59.066900282972185	-0.01823456715407283	-0.04325630899964438	0.0026882957226598402	0.0425
n2 (second)	63.41895066346308	-0.020267267548837672	-0.04587979291589608	0.0012415158415469574	0.0325
n2 (second)	68.09166020202038	-0.02242132139991851	-0.049457290169082256	0.00021771602481928724	0.026
n2 (second)	73.10865507174927	-0.02485685483365644	-0.05436205328335498	-0.001144685002926736	0.018
n2 (second)	78.49530222265635	-0.027797412863165505	-0.061068513953827154	-0.0016673718098663014	0.0165
n2 (second)	84.27883764212612	-0.0310713438226701	-0.07139972280281852	-0.0021068003204990655	0.0195
n2 (second)	90.48850406563214	-0.03465841759269778	-0.08418925758579492	-0.0012287597392453332	0.0195
n2 (second)	97.15569883397542	-0.039583257049807696	-0.10219986848088687	0.0011047126661064852	0.0285
n2 (second)	104.31413264464813	-0.045776407305645694	-0.12794566196702933	0.002142774951739249	0.033
n2 (second)	112.0	-0.05388251644847385	-0.16016044843350197	0.005430886267884066	0.0405
memory	7.0	0.023055106196572826	-0.17800106864324822	0.19705190601418254	0.5995
memory	7.515760138376831	0.02224402087442337	-0.17102362485075984	0.18858161157236245	0.598
memory	8.069521493944878	0.02154610983817512	-0.1645635151536918	0.1807234713341743	0.598
memory	8.664083997137995	0.02039037127016094	-0.15767021540746926	0.17267821368140918	0.6005
memory	9.302453877319765	0.019490422682057064	-0.15098004453013267	0.164833756053948	0.6015
memory	9.987858862892699	0.01890636535333909	-0.1452772639165978	0.1564478615291108	0.5995
memory	10.723764501351813	0.01827958598625913	-0.13862857460245068	0.1496041402304674	0.6
memory	11.513891681800072	0.017596079412745002	-0.13110267481646	0.14229650545941375	0.601
memory	12.362235448523078	0.01660552024845499	-0.1257958402830881	0.13431806137957855	0.603
memory	13.2730852007484	0.015133112555214039	-0.11982488691050447	0.12653399966802625	0.602
memory	14.251046380723466	0.01371153805637721	-0.1125838000337326	0.12029440537367436	0.6045
memory	15.30106375977155	0.012598202060189745	-0.10645593509378083	0.11383189000823038	0.6035
memory	16.42844644006477	0.011709901462546142	-0.10149148505067891	0.10721303462342074	0.6025
memory	17.638894698528226	0.011275243269463402	-0.09506478714312908	0.10165900108621162	0.6
memory	18.93852880860355	0.010796757425984394	-0.08879253838928552	0.0960773516550204	0.599
memory	20.33391998560055	0.009742907350626495	-0.08218024009270743	0.09028046256271917	0.591
memory	21.83212361210294	0.008689499581506784	-0.07683861769802508	0.0835597554227539	0.5875
memory	23.440714911422702	0.007888354565820306	-0.07135071784710267	0.0768435978056411	0.5825
