curve	payoff	median	lo	hi	p_gt0
n1 (first)	31.15088133070163	-0.004017426950262543	-0.028910780723756736	0.016490886693622614	0.3465
n1 (first)	33.44607888294205	-0.005744952412612312	-0.03131768840605751	0.01499560334465061	0.2925
n1 (first)	35.91038663620328	-0.0075538549965900705	-0.03365476647350742	0.013561242037827947	0.2385
n1 (first)	38.55626463343955	-0.009309655186907503	-0.03649643842583323	0.012050672264847398	0.1945
n1 (first)	41.39709097381619	-0.011119446233339464	-0.03944226994064896	0.01051117612110033	0.165
n1 (first)	44.44722945510958	-0.012929961884440167	-0.042966488906357764	0.009684763021285014	0.1355
n1 (first)	47.722102200000165	-0.01471238644255245	-0.04563954030804065	0.008526492952115822	0.1115
n1 (first)	51.23826763347236	-0.01661524780606862	-0.04837472312977975	0.007490916053390996	0.0915
n1 (first)	55.01350420559077	-0.018639151029804037	-0.051899510559424517	0.006038935037697735	0.076
n1 (first)	59.066900282972185	-0.020742887511174285	-0.05550143264688159	0.0048461511076228194	0.063
n1 (first)	63.41895066346308	-0.022917911991462377	-0.059571726590947366	0.004276730139512015	0.051
n1 (first)	68.09166020202038	-0.025046456571093972	-0.06442584189394256	0.0033692600683841605	0.042
n1 (first)	73.10865507174927	-0.027243635113634465	-0.06844536157676014	0.002950937098178331	0.0365
n1 (first)	78.49530222265635	-0.029620391505396255	-0.07238749926769858	0.0020012970740563175	0.031
n1 (first)	84.27883764212612	-0.03205058084178937	-0.07666101435473223	0.0010940361585183897	0.0275
n1 (first)	90.48850406563214	-0.034517712260727626	-0.08074062978393566	-0.00031380205767993723	0.0245
n1 (first)	97.15569883397542	-0.0370353418050833	-0.08558723374195643	-0.0017789475166008156	0.0215
n1 (first)	104.31413264464813	-0.039737026219169726	-0.09063327799028215	-0.002997380604231905	0.0195
n1 (first)	112.0	-0.042339762283076676	-0.09585519065930173	-0.0035906923630724783	0.0175
n2 (second)	7.0	0.0	0.0	0.0	0.0
n2 (second)	7.515760138376831	0.0	0.0	0.0	0.0
n2 (second)	8.069521493944878	0.0	0.0	0.0	0.0
n2 (second)	8.664083997137995	0.0	0.0	0.0	0.0
n2 (second)	9.302453877319765	0.0	0.0	0.0	0.0
n2 (second)	9.987858862892699	0.0	0.0	0.0	0.0
n2 (second)	10.723764501351813	0.0	0.0	0.0	0.0
n2 (second)	11.513891681800072	0.0	0.0	0.0	0.0
n2 (second)	12.362235448523078	0.0	0.0	0.0	0.0
n2 (second)	13.2730852007484	0.0	0.0	0.0	0.0
n2 (second)	14.251046380723466	0.0	0.0	0.0	0.0
n2 (second)	15.30106375977155	0.0	0.0	0.0	0.0
n2 (second)	16.42844644006477	0.0	0.0	0.0	0.0
n2 (second)	17.638894698528226	0.0	0.0	0.0	0.0
n2 (second)	18.93852880860355	0.0	0.0	0.0	0.0
n2 (second)	20.33391998560055	0.0	0.0	0.0	0.0
n2 (second)	21.83212361210294	0.0	0.0	0.0	0.0
n2 (second)	23.440714911422702	0.0	0.0	0.0	0.0
n2 (second)	25.16782724947516	0.0	0.0	0.0	0.0
n2 (second)	27.02219325873709	0.0	0.0	0.0	0.0
n2 (second)	29.013188992218765	0.0	0.0	0.0	0.0
n2 (second)	31.15088133070163	0.0	0.0	0.0	0.0
n2 (second)	33.44607888294205	0.0	0.0	0.0	0.0
n2 (second)	35.91038663620328	0.0	0.0	0.0	0.0
n2 (second)	38.55626463343955	0.0	0.0	0.0	0.0
n2 (second)	41.39709097381619	0.0	0.0	0.0	0.0
n2 (second)	44.44722945510958	0.0	0.0	0.0	0.0
n2 (second)	47.722102200000165	0.0	0.0	0.0	0.0
n2 (second)	51.23826763347236	0.0	0.0	0.0	0.0
n2 (second)	55.01350420559077	0.0	0.0	0.0	0.0
n2 (second)	59.066900282972185	0.0	0.0	0.0	0.0
n2 (second)	63.41895066346308	0.0	0.0	0.0	0.0
n2 (second)	68.09166020202038	0.0	0.0	0.0	0.0
n2 (second)	73.10865507174927	0.0	0.0	0.0	0.0
n2 (second)	78.49530222265635	0.0	0.0	0.0	0.0
n2 (second)	84.27883764212612	0.0	0.0	0.0	0.0
n2 (second)	90.48850406563214	0.0	0.0	0.0	0.0
n2 (second)	97.15569883397542	0.0	0.0	0.0	0.0
n2 (second)	104.31413264464813	0.0	0.0	0.0	0.0
n2 (second)	112.0	0.0	0.0	0.0	0.0
