model	color	marker	prior_space	family	param	mean	lo	hi
DDM Weber indep	tab:green	s	log	ssm	a  (threshold)	0.629560457795015	0.5581402292001698	0.6796594254843121
DDM Weber indep	tab:green	s	log	ssm	t0  (NDT, s)	0.3182549668667457	0.3045199246745795	0.3526826993606866
RDM Weber indep	tab:orange	s	log	noise	σ_n1  (indep)	0.45709175448198425	0.35461890867875384	0.5732059357400293
RDM Weber indep	tab:orange	s	log	noise	σ_n2  (indep)	0.5211277708976767	0.4020156575141811	0.6552095128393817
RDM Weber indep	tab:orange	s	log	prior	safe prior median	39.5565494839845	22.66211693550886	60.862563232116685
RDM Weber indep	tab:orange	s	log	prior	risky prior median	72.89602095011287	49.11382620016685	102.8863161528017
RDM Weber indep	tab:orange	s	log	prior	safe prior σ †	1.6526697509605806	1.269281181269979	2.099819984907171
RDM Weber indep	tab:orange	s	log	prior	risky prior σ †	1.1686244320145598	0.9131159256017091	1.4529517354453125
RDM Weber indep	tab:orange	s	log	ssm	a  (threshold)	0.8066487145421691	0.6344789478699857	1.0073047368893002
RDM Weber indep	tab:orange	s	log	ssm	t0  (NDT, s)	0.1316029117296514	0.08738772035999946	0.18235759809396343
RDM Weber indep	tab:orange	s	log	ssm	w_0  (urgency / baseline)	0.7377731339018848	0.5809719015801472	0.9268704009027072
RDM Weber indep	tab:orange	s	log	ssm	w_d  (drift on Δ utility)	0.8764929430298368	0.6649203357598173	1.113566530811397
RDM Weber indep	tab:orange	s	log	ssm	w_s  (drift on total stake)	0.024630064062460315	0.008623766159812024	0.04629585308056026
PMC Flex	mediumblue	^	natural	noise	σ_memory (n=20)	1.2220870331054916	1.1273967901483857	1.325326238547929
PMC Flex	mediumblue	^	natural	noise	σ_perceptual (n=20)	1.398277973163508	1.0687894585091224	1.6950537343617076
PMC Flex	mediumblue	^	natural	prior	safe prior median	11.56543502385654	8.836332151709442	14.279931154188011
PMC Flex	mediumblue	^	natural	prior	risky prior median	19.60464358386795	16.098638227717483	23.54239807023372
PMC Flex	mediumblue	^	natural	prior	safe prior σ †	2.893756365518059	2.3098454798740233	3.552933604758327
PMC Flex	mediumblue	^	natural	prior	risky prior σ †	3.364434679637784	2.7074237053818364	4.087199838658245
DDM Flex	tab:green	^	natural	noise	σ_memory (n=20)	0.48808575771043394	0.39086325057612026	0.6002468970426754
DDM Flex	tab:green	^	natural	noise	σ_perceptual (n=20)	5.247427382056308	4.799173715244822	5.7301635514109455
DDM Flex	tab:green	^	natural	prior	safe prior median	39.60026601569925	35.98612683201392	43.094147827215885
DDM Flex	tab:green	^	natural	prior	risky prior median	23.114922828046364	19.239094237132303	27.603419265208885
DDM Flex	tab:green	^	natural	prior	safe prior σ †	21.94784240203158	21.083560732362997	22.851789119388354
DDM Flex	tab:green	^	natural	prior	risky prior σ †	21.35899503478672	18.019964156859437	26.999874471153973
DDM Flex	tab:green	^	natural	ssm	a  (threshold)	0.5937516693182519	0.544188649357795	0.6494521015530973
DDM Flex	tab:green	^	natural	ssm	t0  (NDT, s)	0.3423250996428708	0.30509417694794366	0.37833223806247485
RDM Flex	tab:orange	^	natural	noise	σ_memory (n=20)	0.4880513109261714	0.4525623378918351	0.5284547647327729
RDM Flex	tab:orange	^	natural	noise	σ_perceptual (n=20)	1.393920147890418	1.1893345434612688	1.6031572427231409
RDM Flex	tab:orange	^	natural	prior	safe prior median	34.3889963773442	33.81985349681373	35.51884347076377
RDM Flex	tab:orange	^	natural	prior	risky prior median	38.829095079338096	38.28233005591446	39.8676446774287
RDM Flex	tab:orange	^	natural	prior	safe prior σ †	21.923759580021805	21.52476271688331	22.333217104510194
RDM Flex	tab:orange	^	natural	prior	risky prior σ †	22.850490752814075	22.31070721302861	23.418641796342037
RDM Flex	tab:orange	^	natural	ssm	a  (threshold)	1.2297853394544405	0.6497931369406417	1.8513207908247677
RDM Flex	tab:orange	^	natural	ssm	t0  (NDT, s)	0.36871040352652495	0.21903621364467749	0.6327707336592246
RDM Flex	tab:orange	^	natural	ssm	w_0  (urgency / baseline)	1.6293518106896714	1.314543081621055	2.071075035167762
RDM Flex	tab:orange	^	natural	ssm	w_d  (drift on Δ utility)	0.3347598473641234	0.2011795186347797	0.6066663867643562
RDM Flex	tab:orange	^	natural	ssm	w_s  (drift on total stake)	-0.0006447479108399396	-0.002082051818885491	0.0004523379838039742
