subject	mask	selection	n_voxels	d_amp_mean	d_amp_median	d_amp_rel_mean	d_amp_rel_median	log_amp_ratio_median	d_baseline_median	d_baseline_mean	amp_vertex_median	pref_n_median	n_low	n_high	d_amp_low	d_amp_high	d_amp_rel_low	d_amp_rel_high	d_amp_lowminushigh	d_amp_rel_lowminushigh	d_amp_w7	d_amp_rel_w7	d_amp_w10	d_amp_rel_w10	d_amp_w14	d_amp_rel_w14	d_amp_w20	d_amp_rel_w20	d_amp_w28	d_amp_rel_w28	d_amp_wslope	d_amp_rel_wslope
59	NPC12r	cvr2pos	168	0.20919521342789288	0.22029447999999993	0.17301473981645066	0.12320258439989007	0.12335878092425723	0.0	0.0	0.7846697300000001	10.0599655	153	15	0.2393282000000001	0.13671579999999994	0.12397205736013141	0.09211185239088347	0.10261240000000016	0.031860204969247935	0.22037800476493316	0.1722330359366085	0.21078529443631236	0.175727271199328	0.2238214974157828	0.19297607966245864	0.24513979993341267	0.20357503887166972	0.26343308991444786	0.2014819594525374	-0.0430550851495147	-0.02924892351592892
62	NPC12r	cvr2pos	77	-0.24955389887188306	0.04157987999999996	0.019178566204446957	0.013720562270495399	0.013720777522272354	0.0	0.0	0.84765273	6.465251	69	8	-0.010595750000000015		-0.018244078467983958				-0.010179373820223197	0.16543194368240807	0.029181097190526358	0.21001419527476148	0.06552620237342797	0.25952250810638194	0.0847086585186874	0.2878378596784047	0.0902530438149838	0.28985272657434114	-0.100432417635207	-0.12442078289193306
63	NPC12r	cvr2pos	135	0.14068764482067114	0.09097120000000003	0.13748913047988018	0.1453016541497392	0.14555810775402298	0.0	0.0	0.5622368	6.5107007	129	6	0.11176508000000002		0.15828129760379261				0.0886333939861361	0.16338134315361075	0.09065007508782022	0.19886411368172893	0.07467433209187355	0.16304217223841005	0.03297269158448564	0.07502506025257552	-0.02806771717585364	-0.039238286406305146	0.11670111116198974	0.2026196295599159
67	NPC12r	cvr2pos	18	-0.04789389350000001	-0.03166619999999998	-0.33198144400248614	-0.058140305133261405	-0.05836238171338448	0.0	0.0	1.05885	11.6807375	11	7	-0.27527039999999997		-0.2734468975359015				-0.0454339079077787	-0.3028619276508899	-0.07855474642549086	-0.3979605021737655	-0.07252538041360002	-0.39430157089884343	-0.05699352978654548	-0.331787505234237	-0.036926456591645763	-0.2645975636471019	-0.008507451316132938	-0.038264364003787965
69	NPC12r	cvr2pos	46	-0.26132411586956517	-0.25230242999999997	-0.3260392666995146	-0.2913093144966975	-0.2933960111767422	0.0	0.0	0.776303925	7.40540865	46	0	-0.25230242999999997		-0.2913093144966975				-0.25350265811434436	-0.30840961294950636	-0.27224538625389677	-0.34856614375490325	-0.328711608131905	-0.3159084154575311	-0.3502652304306814	-0.30138584593961487	-0.35295576076870044	-0.28766395211906537	0.09945310265435608	-0.020745660830440993
72	NPC12r	cvr2pos	107	-0.04382723730300467	-0.14204719	-0.11186603233275555	-0.28843464855137096	-0.2904596622621753	0.0	0.0	0.44944265	9.231525	91	16	-0.15372860000000002	-0.061883660000000035	-0.33667795749226753	-0.1789609747782786	-0.09184493999999999	-0.15771698271398893	-0.03527760875503372	-0.060245950020897034	-0.04907933322605464	-0.09155718716473295	-0.060237087573603056	-0.12057707550606517	-0.01513466678002285	-0.029129091423737055	0.021439123342359846	0.06126423098437472	-0.056716732097393564	-0.12151018100527175
74	NPC12r	cvr2pos	53	-0.18323092399230753	-0.17129523000000002	-0.11319518816827345	-0.3151412380115083	-0.31778895610451896	0.0	0.0	0.59579074	6.4613733	48	5	-0.17561405000000002		-0.3340660132821248				-0.1047694553589468	-0.11141104899404564	-0.08908431137691282	-0.13087933700682647	-0.08243216106053876	-0.18495121337825066	-0.07210848720675014	-0.2223589878897099	-0.052881023417413006	-0.21300880419423399	-0.051888431941533794	0.10159775520018835
1	NPC12r	top100	100	-0.524818237246	-0.41129144999999995	-0.35614214838841846	-0.4080903586068505	-0.4139083053200385	0.0	0.0	1.1402359	7.0081884	98	2	-0.42454925		-0.4080903586068505				-0.4368603373505259	-0.3448710505356456	-0.1347023650549241	0.18582949603676888	0.14821042187145955	0.5706544544663865	0.14860098699571261	0.5161618803242675	0.13709322580660205	0.4536153507989659	-0.573953563157128	-0.7984864013346116
2	NPC12r	top100	100	-0.0453290502193	-0.063169395	-0.3009179851899912	-0.20826611592010533	-0.20904026110412138	0.0	0.0	0.306937785	8.580416	89	11	-0.05464350000000001	-0.16572650000000003	-0.19070203398003782	-0.6474023283908166	0.11108300000000002	0.45670029441077875	-0.051204756675231895	-0.35689683100509767	-0.08487198184823545	-0.49719806171697434	-0.09510174568142171	-0.6040796418276866	-0.1063917969125688	-0.7113758453285197	-0.09726490582017307	-0.6593087628445379	0.04606014914494117	0.3024119318394402
3	NPC12r	top100	100	-0.03889635899985301	-0.0021435550000000053	-0.02211818732563536	-0.007082832705043377	-0.007082862528921818	0.0	0.0	0.8264507000000001	16.342044	31	69	0.008523150000000035	-0.02829320000000002	0.012707173280309986	-0.013386229853810232	0.03681635000000005	0.026093403134120216	-0.014249213185047618	-0.007470641378230843	-0.01620456796565414	-0.011338809733588695	-0.019502964933261046	-0.002526013053909158	-0.00926436480834308	0.023693018775445027	-0.018538508213938234	0.012303005268242817	0.004289295028890616	-0.019773646646473658
4	NPC12r	top100	100	0.23363112629999996	0.06715493000000004	0.26530935384779875	0.12655690938152944	0.12672734365469085	0.0	0.0	0.60555007	8.3977065	92	8	0.070896525		0.15248159211910284				0.08066113613272778	0.21059937205460744	0.07665309287391409	0.2215220555028139	0.008557322947476279	0.18766059364423335	-0.028751998743062137	0.12865129680853035	-0.06322367239816808	0.07056865864650258	0.14388480853089586	0.14003071340810486
5	NPC12r	top100	100	-0.13578655067	-0.09378804000000004	-0.15186033558540074	-0.07207844984734973	-0.07210995891356889	0.0	0.0	1.2033317000000001	17.058482	43	57	-0.05123256000000001	-0.12014148999999999	-0.06444033835219207	-0.07868748660176822	0.06890892999999998	0.014247148249576153	-0.15590426330194482	-0.13483060533334693	-0.13685682435459887	-0.11144548267585519	-0.15008019245615326	-0.13058589851279187	-0.1550414120889095	-0.14486013105286832	-0.15285782398397627	-0.1494254264593158	-0.0030464393179685523	0.014594821125968882
6	NPC12r	top100	91	-0.23478028624473185	-0.12028049399999999	-0.20728533188886336	-0.10811503927382353	-0.10822053611836246	0.0	0.0	0.4746044	17.12526	42	49	-0.34422148500000005	0.020182370000000005	-0.9609168513412603	0.037627536716417824	-0.36440385500000005	-0.9985443880576781	-0.30942645067997204	-0.5448104827963007	-0.23397775119199335	-0.31569343937414734	-0.13395106992797368	-0.028490833767452022	-0.02623271560810843	0.3157154846179202	-0.056634726167932394	0.14825880567601366	-0.25279172451203963	-0.6930692884723144
7	NPC12r	top100	100	-0.3097504059023	-0.22722059499999997	-0.2502576040753988	-0.1826867633621713	-0.18320012904807578	0.0	0.0	0.864051965	9.6797025	72	28	-0.22722059499999997	-0.22673776999999995	-0.2457895309900009	-0.0890543602466869	-0.00048282500000002004	-0.156735170743314	-0.2412532343324111	-0.23209353916262548	-0.21640892627176195	-0.2548236361173311	-0.22531947995486476	-0.2894860291646322	-0.23777738343729837	-0.285981814107047	-0.23900598330173417	-0.23140533432345226	-0.002247251030676939	-0.0006882048391732287
9	NPC12r	top100	100	-0.16199706073647	0.02746308999999999	-0.16693538112506662	0.022759799576245104	0.022760786669747624	0.0	0.0	1.03169935	18.594987500000002	39	61	-0.18302096999999998	0.09114372	-0.5816904669315298	0.06752636854656408	-0.27416469	-0.6492168354780938	-0.07897167028820837	-0.13706370525019074	-0.02686583306190104	-0.05417545911168624	0.06841725447399467	0.04931700831051884	0.07451041322478913	0.06649251321518353	0.07875336389023548	0.08382069626557909	-0.15772503417844386	-0.22088440151576982
10	NPC12r	top100	100	-0.05091702069999998	-0.09844105000000003	0.013873423545310347	-0.024475014452932507	-0.02447623651882813	0.0	0.0	2.6971064499999997	13.9676795	52	48	-0.0525506	-0.16149647999999966	-0.01636604726759892	-0.0340685406080213	0.10894587999999966	0.01770249334042238	-0.04056955673705672	0.023867302152310737	-0.040184778625919945	0.02415077990783254	-0.04712478560014368	0.006672568851436053	-0.05401526166509887	-0.010831267300957164	-0.05645377104599504	-0.0161870571326021	0.01588421430893832	0.04005435928491284
11	NPC12r	top100	100	-0.07038532784421798	-0.05091471500000003	-0.1740407729896186	-0.0898041883827598	-0.08986466298921442	0.0	0.0	0.6095583250000001	9.365409	99	1	-0.04817694000000006		-0.0883579941836312				-0.0741682179047539	-0.16839493986548573	-0.06717676533137239	-0.168065700219542	-0.09340891280703367	-0.23250526660210327	-0.15793044414889512	-0.37124354085761124	-0.21561317786404832	-0.455018706130157	0.1414449599592944	0.28662376626467123
18	NPC12r	top100	100	0.24629822551930394	0.27677368	0.5585087979269052	0.4447819610738636	0.4524320988691411	0.0	0.0	0.364528405	10.9332285	78	22	0.29433641	0.09550244999999999	0.7280230433273989	0.19490744707220525	0.19883396	0.5331155962551937	0.2890540809234123	0.619919607177939	0.28050779548359017	0.6572402727436562	0.31200825819788114	0.6872162462310899	0.30036611976181543	0.5569531350845631	0.2760408202551171	0.41445269813946073	0.013013260668295168	0.2054669090384783
19	NPC12r	top100	100	0.016487330669999998	0.05177033999999997	0.004571312268020042	0.09704684155281865	0.09712329785830362	0.0	0.0	0.57765155	8.629581	96	4	0.037222024999999936		0.09092071710256666				0.07758231916746582	0.1155116207121585	0.00115454026982478	-0.028530917137594	0.06040662958550622	0.09468135720133641	0.16038692455682393	0.27540928190623903	0.23188691016410914	0.39757328788906027	-0.15430459099664334	-0.2820616671769018
21	NPC12r	top100	100	-0.0708804173151	0.0009381000000000528	-0.0034185832940371395	0.0006672762316514134	0.0006672762620161601	0.0	0.0	0.90110705	13.66311625	51	49	0.12084800000000007	-0.27118169999999986	0.08003235381700745	-0.24279317359513544	0.3920296999999999	0.3228255274121429	0.06879808986340605	0.20484748005855133	0.021455872368440345	0.059290339882995605	0.031082131007859348	0.09513999927902676	-0.06697973883741135	-0.019550551750392605	0.014415103037426187	0.049043844913302215	0.05438298682597986	0.15580363514524911
25	NPC12r	top100	100	-0.54397015814	-0.46927428000000004	-0.6323628563874256	-0.6027037362064438	-0.6220121848189413	0.0	0.0	0.9711743	8.641098	100	0	-0.46927428000000004		-0.6027037362064438				-0.5469508673743575	-0.6110146444617307	-0.5437933342694673	-0.6382034914031082	-0.553247099545081	-0.6382938442268508	-0.5758195340034535	-0.6056974040207609	-0.6063398496343356	-0.5412612822191559	0.05938898225997813	-0.06975336224257478
26	NPC12r	top100	100	0.08852336602866899	0.1137163180000001	0.21218803660091065	0.11671385874239493	0.11684663893946884	0.0	0.0	0.35280077	12.694086500000001	62	38	0.12111667799999998	0.10282845000000007	0.12258244803048934	0.08906611565435468	0.018288227999999906	0.03351633237613466	0.12004665052556632	0.09298200921955081	0.11052639346995623	0.20733887621232014	0.12513822294760743	0.2918824563015713	0.13219276130777574	0.1912455410220781	0.14776010541074744	0.15518764068688923	-0.02771345488518112	-0.062205631467338415
29	NPC12r	top100	100	-0.046181496520079995	-0.06661310000000004	0.02614588209073459	-0.07036288894726832	-0.07039194542236876	0.0	0.0	0.5469525500000001	8.30542	67	33	0.028258129999999992	-0.17796119999999993	0.04829183369558529	-0.09898696217439926	0.20621932999999992	0.14727879586998455	-0.03985744831738129	0.036243443578789926	-0.06753189065307984	-0.003504107215655067	-0.09156770070793713	-0.025058881890575233	-0.1049209750146331	-0.0419272111985211	-0.1162273736767051	-0.04756078734245048	0.07636992535932381	0.0838042309212404
30	NPC12r	top100	100	0.09892682645999998	0.1305174199999997	0.13682530391368267	0.10565332626010693	0.10575177569091282	0.0	0.0	1.19939995	14.22448	48	52	0.10590508500000001	0.20965145000000002	0.0878453225613408	0.10734975225659256	-0.10374636500000001	-0.019504429695251763	0.10843212676345809	0.12249231451369287	0.11066957724648283	0.13468791367445632	0.1141683072106173	0.16480554468630193	0.1116149081051653	0.16938918014049462	0.09775912979297728	0.09715503131749316	0.01067299697048081	0.02533728319619971
31	NPC12r	top100	100	-0.276700351527482	-0.25938272	-0.5470009881755341	-0.5649582135887088	-0.5807537215858551	0.0	0.0	0.6888757249999999	8.970818	86	14	-0.273611175	-0.20607140000000013	-0.6743444269568759	-0.11281979684832608	-0.06753977499999986	-0.5615246301085498	-0.2806803160826821	-0.5604545041409297	-0.2834367937376429	-0.5971225632842474	-0.2624260752007383	-0.5417424926318869	-0.26989789345184634	-0.5093294978092904	-0.26120339190167746	-0.4272391468569301	-0.019476924181004662	-0.13321535728399958
