label	space	form	placement	channel	parameter	subject	sigma_ips	sigma_vertex
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd20	19	0.29419537207996377	0.2577583295873939
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd20	21	0.36524808371478296	0.343057255875966
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd20	25	0.3207752836410245	0.2880848198811583
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd20	26	0.34392410366171405	0.30277100887915764
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd20	29	0.3345300732108143	0.2915544870536075
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd20	30	0.3666727400022879	0.3260739736099799
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd20	31	0.3472640353741623	0.31059106239573797
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd20	34	0.31685366058468095	0.3024717124500156
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd20	35	0.3672500412332343	0.34540818504385085
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd20	36	0.3251026290329301	0.2887258635276983
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd20	37	0.3234906113481251	0.2986290634032955
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd20	45	0.3403332463632442	0.3149669091640744
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd20	46	0.3467726208214883	0.3092013061309185
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd20	47	0.3379267793587246	0.3033917804344597
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd20	50	0.32386549419692495	0.2983414817417679
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd20	53	0.31674748302086647	0.2895115901308502
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd20	56	0.32592840298621956	0.28144656221924497
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd20	59	0.3380558443450632	0.3073054029818794
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd20	62	0.3424454155685339	0.29852129940879535
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd20	63	0.3378373202791562	0.31149032516987213
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd20	67	0.3452200075139424	0.30297305407200714
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd20	69	0.3479023305724422	0.32676992741270927
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd20	72	0.3444905515239514	0.3003536444622406
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd20	74	0.3245845102368256	0.28638817514496595
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd30	1	0.30515345989000386	0.3658795183435588
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd30	2	0.3115708099474437	0.3286476094934011
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd30	3	0.2679534825093527	0.20990986816750415
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd30	4	0.3366338343200157	0.3283330939755467
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd30	5	0.3037456971656317	0.2967014673457338
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd30	6	0.3058482072038904	0.29733520847541234
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd30	7	0.31291505239736717	0.27975554783740986
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd30	9	0.3239350087276064	0.38291524208067285
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd30	10	0.32744651148050236	0.3376248912206971
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd30	11	0.2736546555510515	0.2312540680003296
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd30	18	0.2648804513745158	0.26399944213119847
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd30	19	0.3364580924793321	0.3701280164251553
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd30	21	0.31716845909532704	0.3363188977980532
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd30	25	0.28478556438942937	0.20844228977574603
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd30	26	0.3113405107658746	0.22420655183791563
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd30	29	0.3156156221687867	0.38547667745627595
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd30	30	0.3059007635670027	0.3502617177247958
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd30	31	0.30720636110662475	0.2911906934071102
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd30	34	0.34497586038200234	0.30561471358925163
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd30	35	0.28799533870221083	0.21871223524841413
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd30	36	0.3157108759814958	0.32216776150828297
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd30	37	0.31207908111296473	0.2830700650830917
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd30	45	0.31768519911809	0.21695318358563923
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd30	46	0.30028359851469655	0.3279144597618251
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd30	47	0.29078431879334843	0.2996682913652639
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd30	50	0.3247385868419347	0.23423550018350173
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd30	53	0.36125460080135574	0.40372650922845954
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd30	56	0.2857509587972709	0.2455386345934374
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd30	59	0.31501708616956975	0.2827913628753312
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd30	62	0.2636757484953149	0.20904442378458088
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd30	63	0.3345363426852635	0.2893589447401451
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd30	67	0.2799428971719404	0.34907058738883623
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd30	69	0.33620889948506927	0.35472337921955405
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd30	72	0.2846685630500216	0.3023316489408978
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd30	74	0.32116313020032994	0.35937113497776224
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd112	1	0.21944735217494427	0.13744695793916895
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd112	2	0.3007010960580612	0.238663460335812
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd112	3	0.2839430471717498	0.2654984472804346
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd112	4	0.4506206825347252	0.5157710776469295
