which	subject	payoff	n
risky	11	27.0	8
risky	11	29.0	8
risky	11	31.0	8
risky	11	33.0	8
risky	11	34.0	8
risky	11	36.0	8
risky	11	38.0	8
risky	11	42.0	8
risky	11	44.0	8
risky	11	48.0	8
risky	11	51.0	8
risky	11	59.0	8
risky	11	68.0	8
risky	18	8.0	8
risky	18	9.0	16
risky	18	10.0	16
risky	18	11.0	8
risky	18	12.0	8
risky	18	13.0	16
risky	18	14.0	8
risky	18	15.0	6
risky	18	16.0	8
risky	18	17.0	8
risky	18	18.0	8
risky	18	19.0	8
risky	18	20.0	8
risky	18	21.0	8
risky	18	22.0	7
risky	18	25.0	8
risky	18	26.0	8
risky	18	27.0	8
risky	18	29.0	8
risky	18	30.0	6
risky	18	32.0	8
risky	18	35.0	8
risky	18	36.0	8
risky	18	38.0	8
risky	18	40.0	8
risky	18	42.0	8
risky	18	45.0	8
risky	19	17.0	8
risky	19	18.0	8
risky	19	20.0	8
risky	19	22.0	8
risky	19	24.0	8
risky	19	25.0	8
risky	19	26.0	8
risky	19	28.0	8
risky	19	29.0	8
risky	19	32.0	8
risky	19	34.0	8
risky	19	36.0	8
risky	19	37.0	8
risky	19	40.0	8
risky	19	41.0	8
risky	19	45.0	8
risky	19	48.0	8
risky	19	50.0	8
risky	19	53.0	8
risky	19	56.0	8
risky	19	59.0	8
risky	19	65.0	8
risky	19	68.0	8
risky	19	72.0	8
risky	19	75.0	8
risky	19	80.0	8
risky	19	83.0	8
risky	19	91.0	8
risky	19	101.0	8
risky	19	112.0	7
risky	21	7.0	8
risky	21	9.0	8
risky	21	10.0	8
risky	21	12.0	8
risky	21	13.0	8
risky	21	14.0	8
risky	21	16.0	8
risky	21	17.0	8
risky	21	18.0	8
risky	21	20.0	8
risky	21	21.0	8
risky	21	22.0	8
risky	21	24.0	8
risky	21	26.0	8
risky	21	28.0	16
risky	21	30.0	8
risky	21	32.0	8
risky	21	34.0	8
risky	21	36.0	8
risky	21	40.0	8
risky	21	42.0	8
risky	21	45.0	8
risky	21	48.0	8
risky	21	56.0	8
risky	21	60.0	8
risky	21	64.0	8
risky	21	80.0	8
risky	21	84.0	8
risky	21	112.0	8
risky	25	8.0	8
risky	25	9.0	8
risky	25	10.0	8
risky	25	11.0	8
risky	25	12.0	16
risky	25	13.0	16
risky	25	15.0	8
risky	25	16.0	8
risky	25	17.0	16
risky	25	19.0	15
risky	25	21.0	8
risky	25	22.0	8
risky	25	24.0	8
risky	25	25.0	8
risky	25	26.0	7
risky	25	27.0	8
risky	25	30.0	8
risky	25	32.0	8
risky	25	35.0	16
risky	25	38.0	16
risky	25	42.0	8
risky	25	45.0	8
risky	25	49.0	8
risky	25	53.0	8
risky	26	7.0	8
risky	26	8.0	8
risky	26	9.0	8
risky	26	10.0	8
risky	26	11.0	16
risky	26	13.0	8
risky	26	14.0	16
risky	26	16.0	24
risky	26	19.0	16
risky	26	20.0	8
risky	26	23.0	24
risky	26	27.0	8
risky	26	28.0	16
risky	26	32.0	8
risky	26	33.0	16
risky	26	39.0	16
risky	26	46.0	16
risky	26	54.0	8
risky	26	65.0	8
risky	29	9.0	8
risky	29	11.0	8
risky	29	12.0	8
risky	29	14.0	8
risky	29	16.0	8
risky	29	17.0	8
risky	29	18.0	8
risky	29	20.0	8
risky	29	22.0	15
risky	29	25.0	16
risky	29	28.0	16
risky	29	31.0	8
risky	29	32.0	8
risky	29	35.0	8
risky	29	36.0	8
risky	29	40.0	15
risky	29	44.0	8
risky	29	45.0	8
risky	29	50.0	8
risky	29	56.0	16
risky	29	63.0	8
risky	29	71.0	8
risky	29	80.0	8
risky	29	89.0	8
risky	29	112.0	8
risky	30	11.0	8
risky	30	13.0	8
risky	30	15.0	8
risky	30	16.0	8
risky	30	17.0	8
risky	30	18.0	8
risky	30	20.0	8
risky	30	21.0	8
risky	30	22.0	8
risky	30	23.0	8
risky	30	25.0	8
risky	30	26.0	8
risky	30	29.0	7
risky	30	30.0	8
risky	30	32.0	8
risky	30	34.0	8
risky	30	35.0	8
risky	30	37.0	8
risky	30	41.0	8
risky	30	43.0	8
risky	30	45.0	8
risky	30	47.0	8
risky	30	50.0	8
risky	30	52.0	8
risky	30	58.0	8
risky	30	61.0	8
