roi	subject	model	win_prop	n_total	n_non_noise
NF1	3	m0	0.1875	305	32
NF1	3	m1	0.21875	305	32
NF1	3	m2	0.59375	305	32
NF1	4	m0	0.1048951048951049	380	143
NF1	4	m1	0.3076923076923077	380	143
NF1	4	m2	0.5874125874125874	380	143
NF1	5	m0	0.05084745762711865	281	118
NF1	5	m1	0.16101694915254236	281	118
NF1	5	m2	0.788135593220339	281	118
NF1	6	m0	0.009216589861751152	371	217
NF1	6	m1	0.10138248847926268	371	217
NF1	6	m2	0.8894009216589862	371	217
NF1	7	m0	0.1111111111111111	295	135
NF1	7	m1	0.2740740740740741	295	135
NF1	7	m2	0.6148148148148148	295	135
NF1	9	m0	0.07272727272727272	359	110
NF1	9	m1	0.14545454545454545	359	110
NF1	9	m2	0.7818181818181819	359	110
NF1	10	m0	0.07109004739336493	367	211
NF1	10	m1	0.6018957345971564	367	211
NF1	10	m2	0.32701421800947866	367	211
NF1	11	m0	0.11794871794871795	398	195
NF1	11	m1	0.20512820512820512	398	195
NF1	11	m2	0.676923076923077	398	195
NF1	18	m0	0.11046511627906977	374	172
NF1	18	m1	0.13953488372093023	374	172
NF1	18	m2	0.75	374	172
NF1	19	m0	0.2524271844660194	350	103
NF1	19	m1	0.22330097087378642	350	103
NF1	19	m2	0.5242718446601942	350	103
NF1	21	m0	0.023529411764705882	378	85
NF1	21	m1	0.12941176470588237	378	85
NF1	21	m2	0.8470588235294118	378	85
NF1	25	m0	0.2107843137254902	394	204
NF1	25	m1	0.6225490196078431	394	204
NF1	25	m2	0.16666666666666666	394	204
NF1	26	m0	0.07142857142857142	241	28
NF1	26	m1	0.35714285714285715	241	28
NF1	26	m2	0.5714285714285714	241	28
NF1	29	m0	0.2608695652173913	359	115
NF1	29	m1	0.20869565217391303	359	115
NF1	29	m2	0.5304347826086957	359	115
NF1	30	m0	0.06956521739130435	490	115
NF1	30	m1	0.23478260869565218	490	115
NF1	30	m2	0.6956521739130435	490	115
NF1	31	m0	0.018633540372670808	325	161
NF1	31	m1	0.2236024844720497	325	161
NF1	31	m2	0.7577639751552795	325	161
NF1	34	m0	0.056818181818181816	377	88
NF1	34	m1	0.36363636363636365	377	88
NF1	34	m2	0.5795454545454546	377	88
NF1	35	m0	0.023255813953488372	402	86
NF1	35	m1	0.2558139534883721	402	86
NF1	35	m2	0.7209302325581395	402	86
NF1	36	m0	0.06557377049180328	341	122
NF1	36	m1	0.1885245901639344	341	122
NF1	36	m2	0.7459016393442623	341	122
NF1	37	m0	0.30158730158730157	383	63
NF1	37	m1	0.38095238095238093	383	63
NF1	37	m2	0.31746031746031744	383	63
NF1	45	m0	0.19879518072289157	327	166
NF1	45	m1	0.3614457831325301	327	166
NF1	45	m2	0.4397590361445783	327	166
NF1	46	m0	0.3670212765957447	390	188
NF1	46	m1	0.3882978723404255	390	188
NF1	46	m2	0.24468085106382978	390	188
NF1	47	m0	0.17142857142857143	348	35
NF1	47	m1	0.34285714285714286	348	35
NF1	47	m2	0.4857142857142857	348	35
NF1	50	m0	0.0	410	103
NF1	50	m1	0.11650485436893204	410	103
NF1	50	m2	0.883495145631068	410	103
NF1	53	m0	0.12403100775193798	399	129
NF1	53	m1	0.29457364341085274	399	129
NF1	53	m2	0.5813953488372093	399	129
NF1	56	m0	0.10588235294117647	480	85
NF1	56	m1	0.2235294117647059	480	85
NF1	56	m2	0.6705882352941176	480	85
NF1	59	m0	0.06310679611650485	269	206
NF1	59	m1	0.16019417475728157	269	206
NF1	59	m2	0.7766990291262136	269	206
NF1	62	m0	0.32571428571428573	418	175
NF1	62	m1	0.2742857142857143	418	175
NF1	62	m2	0.4	418	175
NF1	63	m0	0.4319526627218935	389	169
NF1	63	m1	0.23668639053254437	389	169
NF1	63	m2	0.33136094674556216	389	169
NF1	67	m0	0.05813953488372093	405	86
NF1	67	m1	0.22093023255813954	405	86
NF1	67	m2	0.7209302325581395	405	86
NF1	69	m0	0.08411214953271028	277	107
NF1	69	m1	0.16822429906542055	277	107
NF1	69	m2	0.7476635514018691	277	107
NF1	72	m0	0.041379310344827586	372	145
NF1	72	m1	0.27586206896551724	372	145
NF1	72	m2	0.6827586206896552	372	145
NF1	74	m0	0.07179487179487179	403	195
NF1	74	m1	0.12307692307692308	403	195
NF1	74	m2	0.8051282051282052	403	195
NTO	1	m0	0.3305785123966942	513	121
NTO	1	m1	0.2231404958677686	513	121
NTO	1	m2	0.4462809917355372	513	121
NTO	2	m0	0.15625	576	224
NTO	2	m1	0.39285714285714285	576	224
NTO	2	m2	0.45089285714285715	576	224
NTO	3	m0	0.125	390	72
NTO	3	m1	0.18055555555555555	390	72
NTO	3	m2	0.6944444444444444	390	72
NTO	4	m0	0.13744075829383887	521	211
NTO	4	m1	0.1990521327014218	521	211
NTO	4	m2	0.6635071090047393	521	211
NTO	5	m0	0.058823529411764705	392	85
NTO	5	m1	0.12941176470588237	392	85
NTO	5	m2	0.8117647058823529	392	85
NTO	6	m0	0.0044444444444444444	411	225
NTO	6	m1	0.10666666666666667	411	225
NTO	6	m2	0.8888888888888888	411	225
NTO	7	m0	0.09782608695652174	397	184
NTO	7	m1	0.33152173913043476	397	184
NTO	7	m2	0.5706521739130435	397	184
NTO	9	m0	0.1038961038961039	544	154
NTO	9	m1	0.23376623376623376	544	154
NTO	9	m2	0.6623376623376623	544	154
NTO	10	m0	0.07738095238095238	643	168
NTO	10	m1	0.3333333333333333	643	168
NTO	10	m2	0.5892857142857143	643	168
NTO	11	m0	0.13533834586466165	449	133
NTO	11	m1	0.2857142857142857	449	133
NTO	11	m2	0.5789473684210527	449	133
NTO	18	m0	0.021505376344086023	536	186
NTO	18	m1	0.3010752688172043	536	186
NTO	18	m2	0.6774193548387096	536	186
NTO	19	m0	0.08333333333333333	477	120
NTO	19	m1	0.225	477	120
NTO	19	m2	0.6916666666666667	477	120
NTO	21	m0	0.1916376306620209	604	287
NTO	21	m1	0.17770034843205576	604	287
NTO	21	m2	0.6306620209059234	604	287
NTO	25	m0	0.13973799126637554	575	229
NTO	25	m1	0.44541484716157204	575	229
NTO	25	m2	0.4148471615720524	575	229
NTO	26	m0	0.03636363636363636	557	165
NTO	26	m1	0.1393939393939394	557	165
NTO	26	m2	0.8242424242424242	557	165
NTO	29	m0	0.1	519	140
NTO	29	m1	0.42142857142857143	519	140
NTO	29	m2	0.4785714285714286	519	140
NTO	30	m0	0.1388888888888889	652	144
NTO	30	m1	0.5208333333333334	652	144
NTO	30	m2	0.3402777777777778	652	144
NTO	31	m0	0.13836477987421383	429	159
NTO	31	m1	0.23270440251572327	429	159
NTO	31	m2	0.6289308176100629	429	159
NTO	34	m0	0.08280254777070063	516	157
NTO	34	m1	0.2229299363057325	516	157
NTO	34	m2	0.6942675159235668	516	157
