order	n_safe	ratio	p_vertex	cause	leverage	effect	noise_vertex	noise_ips	ratio_vertex	ratio_ips
Risky first	18.869565217391305	1.2608695652173914	0.8774420089049979	1.008156852436644	0.20480592262037822	-0.00620448840715615	0.8227303705841533	0.8037991547526787	0.8574697103827416	0.8644639642792254
Risky first	19.782608695652172	1.2608695652173914	0.8797131278278274	1.0079073670178929	0.20173012656964037	-0.00538839581432049	0.8170345371140596	0.7970935972791463	0.8575149398413122	0.8642956251939639
Risky first	20.695652173913043	1.2608695652173914	0.8821329245063445	1.007841469502902	0.19871033132145763	-0.00498634269016951	0.811278988647915	0.7903916769177872	0.8574281571010137	0.8641516538458508
Risky first	21.608695652173914	1.2608695652173914	0.88462158992544	1.0079330731129088	0.19579210149806422	-0.00494025490665484	0.8054881805141711	0.7837170573252354	0.8572556086989349	0.8640562801191948
Risky first	22.52173913043478	1.2608695652173914	0.8870764428401433	1.008154333116886	0.1930312371579579	-0.005185381938972333	0.7996781599518225	0.7770856937834906	0.8570491699802201	0.8640378344097895
Risky first	23.434782608695652	1.2608695652173914	0.8893811909662724	1.0084759455005965	0.19049159977459487	-0.0056532215740882075	0.7938581551212511	0.7705073046083123	0.8568650416264663	0.8641277830206585
Risky first	24.34782608695652	1.2608695652173914	0.891425587771478	1.0088695971936776	0.18823437835924883	-0.006278798676563557	0.7880335738236359	0.763987708127648	0.8567568795438314	0.8643559679582973
Risky first	25.26086956521739	1.2608695652173914	0.8931957946430563	1.0093235163810486	0.1862563949934314	-0.007035258319215254	0.7822196405533519	0.757538144766505	0.856734670864857	0.8647224506028778
Risky first	26.173913043478258	1.2608695652173914	0.8947211053012127	1.0098340224977347	0.18452589634783612	-0.007914459826344755	0.7764348819177119	0.7511714689080072	0.8567881139763449	0.86521378756498
Risky first	27.08695652173913	1.2608695652173914	0.8960274044469693	1.0103975851919127	0.18301451081338194	-0.008909211138496631	0.7706949292409024	0.744898248249856	0.8569078498072409	0.8658176221772304
