label	choice_noise	prior_corr	prior_pair	space	form	placement	draws	chains	n_anchors	divergences	max_rhat_group	min_ess_group	worst_group_par	max_rhat_subject	min_ess_subject	worst_subject_par	anchor_corr_posterior	anchor_corr_pair	anchor_corr_design	ok_group
chf-spl5-n1n2	raw_evidence_sd	0.5615028008024717	chf_risky_prior_sd_mu ~ chf_safe_prior_sd_mu	chf	spl5	n1n2	3000	4	5	0	1.01	529.0	chf_n2_spl5_sd20_sd[Intercept]	1.02	332.0	chf_safe_prior_mu[25, Intercept]	0.2705669336407996	chf_n1_spl5_sd20 ~ chf_n1_spl5_sd30	0.39767980442684403	True
chf-spl5-n2	raw_evidence_sd	0.6296011746457184	chf_risky_prior_sd_mu ~ chf_safe_prior_sd_mu	chf	spl5	n2	3000	4	5	2	1.01	588.0	chf_n2_spl5_sd20_sd[Intercept]	1.02	312.0	chf_risky_prior_mu[25, Intercept]	0.3208513319303657	chf_n1_spl5_sd30 ~ chf_n1_spl5_sd112	0.39767980442684403	True
chf-spl5-null	raw_evidence_sd	0.5360210494944803	chf_risky_prior_sd_mu ~ chf_safe_prior_sd_mu	chf	spl5	null	3000	4	5	0	1.0	2533.0	chf_perc_spl5_sd20_sd[Intercept]	1.0	2860.0	chf_mem_spl5_sd112[9, Intercept]	0.1896428648718706	chf_mem_spl5_sd20 ~ chf_mem_spl5_sd30	0.39767980442684403	True
chf-spl5-nullind	raw_evidence_sd	0.61020967865768	chf_risky_prior_sd_mu ~ chf_safe_prior_sd_mu	chf	spl5	nullind	3000	4	5	3	1.0	790.0	chf_n2_spl5_sd20_sd[Intercept]	1.01	476.0	chf_safe_prior_mu[25, Intercept]	0.4280808648771109	chf_n1_spl5_sd20 ~ chf_n1_spl5_sd30	0.39767980442684403	True
chf-spl5-perc	raw_evidence_sd	0.5646216912837805	chf_risky_prior_sd_mu ~ chf_safe_prior_sd_mu	chf	spl5	perc	3000	4	5	0	1.0	2286.0	chf_risky_prior_sd_sd[Intercept]	1.0	2469.0	chf_mem_spl5_sd112[9, Intercept]	-0.18361013013743532	chf_mem_spl5_sd30 ~ chf_mem_spl5_sd112	0.39767980442684403	True
chf-spl5-percmem	raw_evidence_sd	0.5660318964940982	chf_risky_prior_sd_mu ~ chf_safe_prior_sd_mu	chf	spl5	percmem	3000	4	5	1	1.0	1984.0	chf_mem_spl5_sd112_sd[Intercept]	1.0	2279.0	chf_mem_spl5_sd112[9, Intercept]	-0.1653845718277425	chf_perc_spl5_sd20 ~ chf_perc_spl5_sd112	0.39767980442684403	True
chf-weber-mem	raw_evidence_sd	0.2584398088788694	chf_risky_prior_mu_mu ~ chf_safe_prior_mu_mu	chf	weber	mem	3000	4	1	346	1.0	1292.0	chf_safe_prior_mu_sd[Intercept]	1.0	1063.0	chf_safe_prior_sd[9, Intercept]	0.0		0.0	True
chf-weber-n1	raw_evidence_sd	0.24537527774755424	chf_risky_prior_mu_mu ~ chf_safe_prior_mu_mu	chf	weber	n1	3000	4	1	239	1.0	2146.0	chf_safe_prior_mu_mu[Intercept]	1.01	832.0	chf_safe_prior_mu[25, Intercept]	0.0		0.0	True
chf-weber-n1n2	raw_evidence_sd	0.2828864143590981	chf_risky_prior_mu_mu ~ chf_safe_prior_mu_mu	chf	weber	n1n2	3000	4	1	158	1.0	1949.0	chf_risky_prior_mu_mu[Intercept]	1.01	571.0	chf_safe_prior_mu[25, Intercept]	0.0		0.0	True
chf-weber-n2	raw_evidence_sd	0.39405569851219885	chf_risky_prior_mu_mu ~ chf_safe_prior_mu_mu	chf	weber	n2	3000	4	1	279	1.01	740.0	chf_risky_prior_mu_sd[Intercept]	1.02	200.0	chf_safe_prior_mu[25, Intercept]	0.0		0.0	True
chf-weber-null	raw_evidence_sd	0.32635289841186504	chf_risky_prior_mu_mu ~ chf_safe_prior_mu_mu	chf	weber	null	3000	4	1	246	1.0	2370.0	chf_safe_prior_mu_sd[Intercept]	1.0	2421.0	chf_risky_prior_mu[74, Intercept]	0.0		0.0	True
chf-weber-nullind	raw_evidence_sd	0.376277925387887	chf_risky_prior_mu_mu ~ chf_safe_prior_mu_mu	chf	weber	nullind	3000	4	1	242	1.01	1579.0	chf_risky_prior_mu_mu[Intercept]	1.0	1375.0	chf_risky_prior_mu[30, Intercept]	0.0		0.0	True
chf-weber-perc	raw_evidence_sd	0.40876663130343444	chf_risky_prior_mu_mu ~ chf_safe_prior_mu_mu	chf	weber	perc	3000	4	1	415	1.04	77.0	chf_perc_weber_sd_mu[stimulation_condition[T.vertex]]	1.14	18.0	chf_perc_weber_sd[67, Intercept]	0.0		0.0	False
chf-weber-percmem	raw_evidence_sd	0.4136544890625889	chf_risky_prior_mu_mu ~ chf_safe_prior_mu_mu	chf	weber	percmem	3000	4	1	983	1.08	31.0	chf_risky_prior_mu_sd[Intercept]	1.2	14.0	chf_risky_prior_sd[29, Intercept]	0.0		0.0	False
log-affine-mem.klw	consistent	0.4267532724520909	log_risky_prior_sd_mu ~ log_safe_prior_sd_mu	log	affine	mem	3000	4	2	3	1.0	2646.0	log_risky_prior_sd_sd[Intercept]	1.0	4369.0	log_mem_affine_sd112[45, Intercept]	-0.251068948346681	log_perc_affine_sd7 ~ log_perc_affine_sd112	0.5954241144782656	True
log-affine-mem.pathfinder	raw_evidence_sd	0.43290759223342457	log_risky_prior_sd_mu ~ log_safe_prior_sd_mu	log	affine	mem	3000	8	2	0	1.0	1523.0	log_mem_affine_sd112_sd[stimulation_condition[T.vertex]]	1.01	736.0	log_mem_affine_sd112[30, stimulation_condition[T.vertex]]	-0.28126642432627996	log_perc_affine_sd7 ~ log_perc_affine_sd112	0.5954241144782656	True
log-affine-mem	raw_evidence_sd	0.44947801764094863	log_risky_prior_sd_mu ~ log_safe_prior_sd_mu	log	affine	mem	3000	4	2	0	1.42	8.0	log_safe_prior_sd_sd[Intercept]	1.53	7.0	log_perc_affine_sd112[35, Intercept]	-0.37508866011557007	log_perc_affine_sd7 ~ log_perc_affine_sd112	0.5954241144782656	False
log-affine-n1.klw	consistent	0.3657343287891492	log_risky_prior_sd_mu ~ log_safe_prior_sd_mu	log	affine	n1	3000	4	2	27	1.0	1318.0	log_risky_prior_mu_mu[Intercept]	1.02	109.0	log_n2_affine_sd7[5, Intercept]	-0.23511401162761383	log_n1_affine_sd7 ~ log_n1_affine_sd112	0.5954241144782656	True
log-affine-n1.pathfinder	raw_evidence_sd	0.4707474401533795	log_risky_prior_sd_mu ~ log_safe_prior_sd_mu	log	affine	n1	3000	8	2	0	1.01	871.0	log_n1_affine_sd7_sd[Intercept]	1.02	415.0	log_risky_prior_mu[2, Intercept]	-0.28237745308847373	log_n2_affine_sd7 ~ log_n2_affine_sd112	0.5954241144782656	True
log-affine-n1	raw_evidence_sd	0.5237163883364471	log_risky_prior_sd_mu ~ log_safe_prior_sd_mu	log	affine	n1	3000	4	2	5	1.42	8.0	log_safe_prior_sd_sd[Intercept]	1.53	7.0	log_n1_affine_sd112[35, Intercept]	-0.3039861384107347	log_n1_affine_sd7 ~ log_n1_affine_sd112	0.5954241144782656	False
log-affine-n1n2.klw	consistent	0.3844776635078754	log_risky_prior_sd_mu ~ log_safe_prior_sd_mu	log	affine	n1n2	3000	4	2	6	1.12	21.0	log_n1_affine_sd7_sd[Intercept]	1.4	8.0	log_risky_prior_mu[25, Intercept]	-0.31928095382030497	log_n1_affine_sd7 ~ log_n1_affine_sd112	0.5954241144782656	False
log-affine-n1n2.pathfinder	raw_evidence_sd	0.48917209494405334	log_risky_prior_sd_mu ~ log_safe_prior_sd_mu	log	affine	n1n2	3000	8	2	0	1.15	35.0	log_n1_affine_sd7_sd[Intercept]	1.29	21.0	log_n1_affine_sd7[25, Intercept]	-0.3137142790405237	log_n2_affine_sd7 ~ log_n2_affine_sd112	0.5954241144782656	False
log-affine-n1n2	raw_evidence_sd	0.5110584743489083	log_risky_prior_sd_mu ~ log_safe_prior_sd_mu	log	affine	n1n2	3000	4	2	0	1.01	266.0	log_n1_affine_sd7_sd[Intercept]	1.04	57.0	log_risky_prior_mu[25, Intercept]	-0.34594748558293403	log_n2_affine_sd7 ~ log_n2_affine_sd112	0.5954241144782656	False
log-affine-n2.klw	consistent	0.4289188805216951	log_risky_prior_sd_mu ~ log_safe_prior_sd_mu	log	affine	n2	3000	4	2	8	1.04	90.0	log_n1_affine_sd7_sd[Intercept]	1.15	18.0	log_risky_prior_mu[25, Intercept]	-0.22580397017262424	log_n1_affine_sd7 ~ log_n1_affine_sd112	0.5954241144782656	False
log-affine-n2.pathfinder	raw_evidence_sd	0.5349456151801923	log_risky_prior_sd_mu ~ log_safe_prior_sd_mu	log	affine	n2	3000	8	2	0	1.1	49.0	log_risky_prior_mu_sd[Intercept]	1.38	17.0	log_risky_prior_mu[25, Intercept]	-0.2624652662166481	log_n2_affine_sd7 ~ log_n2_affine_sd112	0.5954241144782656	False
log-affine-n2	raw_evidence_sd	0.6029390880613298	log_risky_prior_sd_mu ~ log_safe_prior_sd_mu	log	affine	n2	3000	4	2	2	1.46	8.0	log_risky_prior_sd_sd[Intercept]	1.57	7.0	log_n1_affine_sd112[35, Intercept]	-0.33446129373503525	log_n2_affine_sd7 ~ log_n2_affine_sd112	0.5954241144782656	False
log-affine-null.klw	consistent	0.5863181906904071	log_risky_prior_sd_mu ~ log_safe_prior_sd_mu	log	affine	null	3000	4	2	55	1.0	1949.0	log_risky_prior_sd_sd[Intercept]	1.0	3336.0	log_risky_prior_sd[9, Intercept]	-0.25770857433915584	log_perc_affine_sd7 ~ log_perc_affine_sd112	0.5954241144782656	True
log-affine-null	raw_evidence_sd	0.5489592986456073	log_risky_prior_sd_mu ~ log_safe_prior_sd_mu	log	affine	null	3000	4	2	0	1.0	1931.0	log_mem_affine_sd112_sd[Intercept]	1.0	3097.0	log_mem_affine_sd112[4, Intercept]	-0.33751761948389775	log_perc_affine_sd7 ~ log_perc_affine_sd112	0.5954241144782656	True
log-affine-nullind.klw	consistent	0.4479625240507664	log_risky_prior_sd_mu ~ log_safe_prior_sd_mu	log	affine	nullind	3000	4	2	9	1.01	894.0	log_n1_affine_sd7_sd[Intercept]	1.01	335.0	log_safe_prior_mu[25, Intercept]	-0.3240469113050821	log_n2_affine_sd7 ~ log_n2_affine_sd112	0.5954241144782656	True
log-affine-nullind	raw_evidence_sd	0.5788766749732296	log_risky_prior_sd_mu ~ log_safe_prior_sd_mu	log	affine	nullind	3000	4	2	0	1.0	1620.0	log_n2_affine_sd7_sd[Intercept]	1.01	897.0	log_safe_prior_mu[2, Intercept]	-0.4067016946897132	log_n2_affine_sd7 ~ log_n2_affine_sd112	0.5954241144782656	True
log-affine-perc.klw	consistent	0.6034530294451477	log_risky_prior_sd_mu ~ log_safe_prior_sd_mu	log	affine	perc	3000	4	2	19	1.0	1954.0	log_risky_prior_sd_sd[Intercept]	1.0	3709.0	log_risky_prior_sd[46, Intercept]	-0.20871008975921204	log_perc_affine_sd7 ~ log_perc_affine_sd112	0.5954241144782656	True
log-affine-perc.pathfinder	raw_evidence_sd	0.5777543353799517	log_risky_prior_sd_mu ~ log_safe_prior_sd_mu	log	affine	perc	3000	8	2	0	1.0	3787.0	log_perc_affine_sd112_sd[Intercept]	1.0	6411.0	log_mem_affine_sd112[4, Intercept]	-0.2781277756121417	log_perc_affine_sd7 ~ log_perc_affine_sd112	0.5954241144782656	True
log-affine-perc	raw_evidence_sd	0.5911773070215968	log_risky_prior_sd_mu ~ log_safe_prior_sd_mu	log	affine	perc	3000	4	2	1	1.52	7.0	log_safe_prior_sd_sd[Intercept]	1.73	6.0	log_perc_affine_sd112[35, Intercept]	-0.34109052052703825	log_perc_affine_sd7 ~ log_perc_affine_sd112	0.5954241144782656	False
log-affine-percmem.klw	consistent	0.606128060401844	log_risky_prior_sd_mu ~ log_safe_prior_sd_mu	log	affine	percmem	3000	4	2	2	1.0	2112.0	log_risky_prior_sd_sd[Intercept]	1.0	3735.0	log_risky_prior_sd[46, Intercept]	-0.20297296273511922	log_perc_affine_sd7 ~ log_perc_affine_sd112	0.5954241144782656	True
log-affine-percmem	raw_evidence_sd	0.5683671184616432	log_risky_prior_sd_mu ~ log_safe_prior_sd_mu	log	affine	percmem	3000	4	2	0	1.0	3047.0	log_mem_affine_sd112_sd[Intercept]	1.0	4685.0	log_mem_affine_sd112[4, Intercept]	-0.2834493871582594	log_perc_affine_sd7 ~ log_perc_affine_sd112	0.5954241144782656	True
log-genweber-mem.klw	consistent	0.38857296922987355	log_risky_prior_sd_mu ~ log_safe_prior_sd_mu	log	genweber	mem	3000	4	2	9	1.0	4248.0	log_risky_prior_sd_sd[Intercept]	1.0	6510.0	log_mem_genweber_sd7[47, stimulation_condition[T.vertex]]	-0.2044712198153231	log_perc_genweber_sd7 ~ log_perc_genweber_sd112	0.48036379840962457	True
log-genweber-mem	raw_evidence_sd	0.4130107926317097	log_risky_prior_sd_mu ~ log_safe_prior_sd_mu	log	genweber	mem	3000	4	2	0	1.0	2849.0	log_mem_genweber_sd112_sd[stimulation_condition[T.vertex]]	1.0	1046.0	log_mem_genweber_sd112[30, stimulation_condition[T.vertex]]	-0.2279347924337015	log_perc_genweber_sd7 ~ log_perc_genweber_sd112	0.48036379840962457	True
log-genweber-n1.klw	consistent	0.36524537692798537	log_risky_prior_mu_mu ~ log_safe_prior_mu_mu	log	genweber	n1	3000	4	2	20	1.06	40.0	log_n2_genweber_sd112_sd[Intercept]	1.39	8.0	log_n2_genweber_sd112[34, Intercept]	-0.1501302812766976	log_n2_genweber_sd7 ~ log_n2_genweber_sd112	0.48036379840962457	False
log-genweber-n1	raw_evidence_sd	0.42892503717923186	log_risky_prior_sd_mu ~ log_safe_prior_sd_mu	log	genweber	n1	3000	4	2	0	1.01	642.0	log_n2_genweber_sd7_sd[Intercept]	1.01	407.0	log_risky_prior_mu[5, Intercept]	-0.19506733897458495	log_n2_genweber_sd7 ~ log_n2_genweber_sd112	0.48036379840962457	True
log-genweber-n1n2.klw	consistent	0.42760892607253564	log_risky_prior_mu_mu ~ log_safe_prior_mu_mu	log	genweber	n1n2	3000	4	2	33	1.14	18.0	log_n2_genweber_sd112_sd[Intercept]	1.53	7.0	log_n2_genweber_sd112[34, Intercept]	-0.2214512788459083	log_n1_genweber_sd7 ~ log_n1_genweber_sd112	0.48036379840962457	False
log-genweber-n1n2	raw_evidence_sd	0.5092320402332218	log_risky_prior_sd_mu ~ log_safe_prior_sd_mu	log	genweber	n1n2	3000	4	2	2	1.03	297.0	log_n1_genweber_sd7_sd[Intercept]	1.05	104.0	log_n1_genweber_sd7[2, Intercept]	-0.3039187291578911	log_n2_genweber_sd7 ~ log_n2_genweber_sd112	0.48036379840962457	False
log-genweber-n2.klw	consistent	0.34434591210162285	log_risky_prior_sd_mu ~ log_safe_prior_sd_mu	log	genweber	n2	3000	4	2	6	1.04	72.0	log_risky_prior_mu_sd[Intercept]	1.13	21.0	log_risky_prior_mu[25, Intercept]	-0.1494847972389444	log_n2_genweber_sd7 ~ log_n2_genweber_sd112	0.48036379840962457	False
log-genweber-n2	raw_evidence_sd	0.49493426604587637	log_risky_prior_sd_mu ~ log_safe_prior_sd_mu	log	genweber	n2	3000	4	2	1	1.01	273.0	log_risky_prior_mu_sd[Intercept]	1.02	117.0	log_risky_prior_mu[25, Intercept]	-0.188664343409078	log_n2_genweber_sd7 ~ log_n2_genweber_sd112	0.48036379840962457	False
log-genweber-null.klw	consistent	0.5320645197018268	log_risky_prior_sd_mu ~ log_safe_prior_sd_mu	log	genweber	null	3000	4	2	9	1.0	2728.0	log_risky_prior_sd_sd[Intercept]	1.0	4406.0	log_risky_prior_sd[9, Intercept]	-0.19658833839560894	log_perc_genweber_sd7 ~ log_perc_genweber_sd112	0.48036379840962457	True
log-genweber-null	raw_evidence_sd	0.5523135501037276	log_risky_prior_sd_mu ~ log_safe_prior_sd_mu	log	genweber	null	3000	4	2	0	1.0	2410.0	log_mem_genweber_sd7_sd[Intercept]	1.0	3944.0	log_mem_genweber_sd7[5, Intercept]	-0.278378731604752	log_perc_genweber_sd7 ~ log_perc_genweber_sd112	0.48036379840962457	True
log-genweber-nullind.klw	consistent	0.5335675439746207	log_risky_prior_mu_mu ~ log_safe_prior_mu_mu	log	genweber	nullind	3000	4	2	30	1.1	27.0	log_risky_prior_mu_mu[Intercept]	1.31	10.0	log_risky_prior_mu[69, Intercept]	-0.19321255028926676	log_n2_genweber_sd7 ~ log_n2_genweber_sd112	0.48036379840962457	False
log-genweber-nullind	raw_evidence_sd	0.5835621838380347	log_risky_prior_sd_mu ~ log_safe_prior_sd_mu	log	genweber	nullind	3000	4	2	1	1.07	33.0	log_n1_genweber_sd7_mu[Intercept]	1.53	7.0	log_n2_genweber_sd7[69, Intercept]	-0.2878255044763729	log_n2_genweber_sd7 ~ log_n2_genweber_sd112	0.48036379840962457	False
log-genweber-perc.klw	consistent	0.5447132209887878	log_risky_prior_sd_mu ~ log_safe_prior_sd_mu	log	genweber	perc	3000	4	2	21	1.0	1367.0	log_perc_genweber_sd112_sd[Intercept]	1.0	1263.0	log_perc_genweber_sd112[30, Intercept]	-0.21892815262362567	log_perc_genweber_sd7 ~ log_perc_genweber_sd112	0.48036379840962457	True
log-genweber-perc	raw_evidence_sd	0.5781574618677431	log_risky_prior_sd_mu ~ log_safe_prior_sd_mu	log	genweber	perc	3000	4	2	0	1.0	4043.0	log_mem_genweber_sd7_sd[Intercept]	1.0	6125.0	log_safe_prior_sd[29, Intercept]	-0.2780302640843746	log_perc_genweber_sd7 ~ log_perc_genweber_sd112	0.48036379840962457	True
log-genweber-percmem.klw	consistent	0.543599379593053	log_risky_prior_sd_mu ~ log_safe_prior_sd_mu	log	genweber	percmem	3000	4	2	11	1.0	885.0	log_perc_genweber_sd112_sd[Intercept]	1.0	587.0	log_perc_genweber_sd112[30, Intercept]	-0.22067845283623289	log_perc_genweber_sd7 ~ log_perc_genweber_sd112	0.48036379840962457	True
log-genweber-percmem	raw_evidence_sd	0.5846365060230747	log_risky_prior_sd_mu ~ log_safe_prior_sd_mu	log	genweber	percmem	3000	4	2	0	1.0	3684.0	log_mem_genweber_sd7_sd[Intercept]	1.0	5486.0	log_safe_prior_sd[29, Intercept]	-0.29072957687327733	log_perc_genweber_sd7 ~ log_perc_genweber_sd112	0.48036379840962457	True
log-power-mem.klw	consistent	0.4286771159988042	log_risky_prior_sd_mu ~ log_safe_prior_sd_mu	log	power	mem	3000	4	2	6	1.0	2643.0	log_risky_prior_sd_sd[Intercept]	1.0	5385.0	log_risky_prior_sd[46, Intercept]	-0.21827049788450753	log_perc_power_sd7 ~ log_perc_power_sd112	0.5954241144782656	True
log-power-mem	raw_evidence_sd	0.4493315790295421	log_risky_prior_sd_mu ~ log_safe_prior_sd_mu	log	power	mem	3000	4	2	0	1.0	3543.0	log_mem_power_sd112_sd[Intercept]	1.0	3970.0	log_risky_prior_sd[9, Intercept]	-0.2944979553587528	log_perc_power_sd7 ~ log_perc_power_sd112	0.5954241144782656	True
log-power-n1.klw	consistent	0.35571442149696003	log_risky_prior_sd_mu ~ log_safe_prior_sd_mu	log	power	n1	3000	4	2	35	1.02	574.0	log_risky_prior_mu_mu[Intercept]	1.11	24.0	log_risky_prior_mu[5, Intercept]	-0.27085080125043476	log_n2_power_sd7 ~ log_n2_power_sd112	0.5954241144782656	False
log-power-n1	raw_evidence_sd	0.4934217706494601	log_risky_prior_sd_mu ~ log_safe_prior_sd_mu	log	power	n1	3000	4	2	0	1.01	1204.0	log_n2_power_sd7_sd[Intercept]	1.01	255.0	log_n2_power_sd7[5, Intercept]	-0.3308547501213511	log_n2_power_sd7 ~ log_n2_power_sd112	0.5954241144782656	True
log-power-n1n2.klw	consistent	0.6469548276016294	log_risky_prior_mu_mu ~ log_safe_prior_mu_mu	log	power	n1n2	3000	4	2	13	1.38	9.0	log_n2_power_sd112_sd[Intercept]	1.41	8.0	log_n2_power_sd112[53, Intercept]	-0.2469844933204976	log_n1_power_sd7 ~ log_n1_power_sd112	0.5954241144782656	False
log-power-n1n2	raw_evidence_sd	0.4974487484193248	log_risky_prior_sd_mu ~ log_safe_prior_sd_mu	log	power	n1n2	3000	4	2	0	1.0	1727.0	log_n2_power_sd7_sd[Intercept]	1.01	476.0	log_risky_prior_mu[5, Intercept]	-0.3494569314670944	log_n2_power_sd7 ~ log_n2_power_sd112	0.5954241144782656	True
log-power-n1n2pmu.klw	consistent	0.40027718964407405	log_risky_prior_sd_mu ~ log_safe_prior_sd_mu	log	power	n1n2pmu	3000	4	2	4	1.18	15.0	log_n1_power_sd7_sd[Intercept]	1.41	8.0	log_risky_prior_mu[25, Intercept]	-0.4173634693243484	log_n1_power_sd7 ~ log_n1_power_sd112	0.5954241144782656	False
log-power-n1n2pmu	raw_evidence_sd	0.5612625061388317	log_risky_prior_sd_mu ~ log_safe_prior_sd_mu	log	power	n1n2pmu	3000	4	2	14	1.52	7.0	log_risky_prior_sd_sd[Intercept]	2.02	5.0	log_safe_prior_mu[25, Intercept]	-0.4961385781685034	log_n2_power_sd7 ~ log_n2_power_sd112	0.5954241144782656	False
log-power-n1n2psd.klw	consistent	0.444145563636904	log_risky_prior_sd_mu ~ log_safe_prior_sd_mu	log	power	n1n2psd	3000	4	2	10	1.2	14.0	log_n1_power_sd7_sd[Intercept]	1.46	8.0	log_n1_power_sd7[25, Intercept]	-0.29618782160188806	log_n1_power_sd7 ~ log_n1_power_sd112	0.5954241144782656	False
log-power-n1n2psd	raw_evidence_sd	0.5437358952915854	log_risky_prior_sd_mu ~ log_safe_prior_sd_mu	log	power	n1n2psd	3000	4	2	0	1.0	1190.0	log_n2_power_sd7_sd[Intercept]	1.0	583.0	log_risky_prior_mu[2, Intercept]	-0.3226978173431126	log_n2_power_sd7 ~ log_n2_power_sd112	0.5954241144782656	True
log-power-n2.klw	consistent	0.5656222429928925	log_risky_prior_mu_mu ~ log_safe_prior_mu_mu	log	power	n2	3000	4	2	6	1.3	10.0	log_n2_power_sd112_sd[Intercept]	1.43	8.0	log_n2_power_sd112[53, Intercept]	-0.18094261130470446	log_n1_power_sd7 ~ log_n1_power_sd112	0.5954241144782656	False
log-power-n2	raw_evidence_sd	0.5474497806738013	log_risky_prior_sd_mu ~ log_safe_prior_sd_mu	log	power	n2	3000	4	2	0	1.1	27.0	log_risky_prior_mu_sd[Intercept]	1.32	10.0	log_n1_power_sd7[25, Intercept]	-0.2619649406292207	log_n2_power_sd7 ~ log_n2_power_sd112	0.5954241144782656	False
log-power-null.klw	consistent	0.559024016588513	log_risky_prior_sd_mu ~ log_safe_prior_sd_mu	log	power	null	3000	4	2	64	1.0	2422.0	log_risky_prior_sd_sd[Intercept]	1.0	4077.0	log_risky_prior_sd[9, Intercept]	-0.22508080375115117	log_perc_power_sd7 ~ log_perc_power_sd112	0.5954241144782656	True
log-power-null.pathfinder	raw_evidence_sd	0.5702562815286577	log_risky_prior_sd_mu ~ log_safe_prior_sd_mu	log	power	null	3000	8	2	0	1.0	5722.0	log_mem_power_sd112_sd[Intercept]	1.0	10826.0	log_risky_prior_sd[9, Intercept]	-0.2920130460079296	log_perc_power_sd7 ~ log_perc_power_sd112	0.5954241144782656	True
log-power-null	raw_evidence_sd	0.6410890770387058	log_risky_prior_sd_mu ~ log_safe_prior_sd_mu	log	power	null	3000	4	2	1	1.47	8.0	log_perc_power_sd112_sd[Intercept]	1.53	7.0	log_perc_power_sd112[35, Intercept]	-0.2841433049006288	log_perc_power_sd7 ~ log_perc_power_sd112	0.5954241144782656	False
