model	var	subject	mean	lo	hi	p_gt0
flexible1_noisefix	n1_evidence_sd_spline1	21	0.6770857246100872	0.009677835013166883	1.4069428225585279	0.9767
flexible1_noisefix	n1_evidence_sd_spline1	25	0.5340283631401634	-0.22533177981457678	1.1993017718520549	0.9336
flexible1_noisefix	n1_evidence_sd_spline1	26	0.5805568359580208	-0.1297051771551708	1.239877231589453	0.9535
flexible1_noisefix	n1_evidence_sd_spline1	29	0.7148853141581636	0.1105087423501325	1.4468216734942274	0.9877
flexible1_noisefix	n1_evidence_sd_spline1	30	0.5587600446148517	-0.13770990291980245	1.2034148587457165	0.95
flexible1_noisefix	n1_evidence_sd_spline1	31	0.653500459218146	0.005842046060844062	1.3452831961030935	0.97565
flexible1_noisefix	n1_evidence_sd_spline1	34	0.7091899508912735	0.0464223411366439	1.5052099136667951	0.98055
flexible1_noisefix	n1_evidence_sd_spline1	35	0.5797527427053429	-0.21726471983256393	1.308075044412713	0.94105
flexible1_noisefix	n1_evidence_sd_spline1	36	0.4966277461579115	-0.2886235625867869	1.1623747175313361	0.91415
flexible1_noisefix	n1_evidence_sd_spline1	37	0.4101509906604514	-0.4726068091093732	1.0763018614563138	0.8613
flexible1_noisefix	n1_evidence_sd_spline1	45	0.4765706853338221	-0.42840645471329813	1.1916416437593413	0.889
flexible1_noisefix	n1_evidence_sd_spline1	46	0.7262719140277071	0.0649909868075642	1.5417198293304486	0.9837
flexible1_noisefix	n1_evidence_sd_spline1	47	0.30176770162781474	-0.6612878530407662	0.9955772059409603	0.7805
flexible1_noisefix	n1_evidence_sd_spline1	50	0.3399119536170259	-0.7947576935260544	1.0946876565687544	0.79575
flexible1_noisefix	n1_evidence_sd_spline1	53	0.6896147140352845	0.015268323530858496	1.4592802777936889	0.9773
flexible1_noisefix	n1_evidence_sd_spline1	56	0.6192432025566079	-0.08390834791909987	1.309758343957594	0.96315
flexible1_noisefix	n1_evidence_sd_spline1	59	0.545859530274387	-0.2920849432048231	1.2977987943954246	0.92145
flexible1_noisefix	n1_evidence_sd_spline1	62	0.6635828915476839	0.05090924504016239	1.3480813208554439	0.982
flexible1_noisefix	n1_evidence_sd_spline1	63	0.6336835051845544	-0.06780212336780499	1.359191158825011	0.9654
flexible1_noisefix	n1_evidence_sd_spline1	67	0.7783663908455337	0.17576713754349846	1.5770482887420114	0.9927
flexible1_noisefix	n1_evidence_sd_spline1	69	0.8119767739372562	0.22945342666250815	1.6105323808107594	0.99675
flexible1_noisefix	n1_evidence_sd_spline1	72	0.5139707745187813	-0.2709506237912458	1.1875366845124327	0.92205
flexible1_noisefix	n1_evidence_sd_spline1	74	0.642786913525571	-0.10743952442829739	1.4649480146402507	0.95945
flexible1_noisefix	n1_evidence_sd_spline2	1	0.35165028159456924	-0.09802886500862133	0.7974321983772533	0.9397
flexible1_noisefix	n1_evidence_sd_spline2	2	0.4471291536842713	0.035253630503789705	0.8725448941419083	0.9826
flexible1_noisefix	n1_evidence_sd_spline2	3	0.3534604501826556	-0.08490420820141414	0.8018839880754115	0.9449
flexible1_noisefix	n1_evidence_sd_spline2	4	0.27243562147895617	-0.18996722132252186	0.7312155196398747	0.8798
flexible1_noisefix	n1_evidence_sd_spline2	5	0.6585351860323997	0.2405498287052056	1.1247982355222106	0.99845
flexible1_noisefix	n1_evidence_sd_spline2	6	0.28074195775149785	-0.18983079570722222	0.7422710349925437	0.88595
flexible1_noisefix	n1_evidence_sd_spline2	7	0.21027821278976339	-0.20301853184975197	0.6202272045270657	0.84365
flexible1_noisefix	n1_evidence_sd_spline2	9	0.9647779882395502	0.4723430463404189	1.4910545848264893	1.0
flexible1_noisefix	n1_evidence_sd_spline2	10	0.1493890218104247	-0.2770717165277101	0.5595499157187317	0.7623
