trace	ok	max_rhat	min_ess_bulk	divergences	chains	draws	n_par	worst_par	family	constrained	bauer_commit	size_gb
log-spl5-n1.klw	True	1.01	855.0	15.0	4.0	3000.0	28.0	log_n1_spl5_sd20_mu[stimulation_condition[T.vertex]]	-	-	93c2e9ae968b2ac5c12859a63bee731d3e3a71a1	0.6697697043418884
log-spl5-n1n2.klw	True	1.0	2784.0	12.0	4.0	3000.0	28.0	log_n1_spl5_sd112_mu[Intercept]	-	-	93c2e9ae968b2ac5c12859a63bee731d3e3a71a1	0.7008437151089311
log-spl5-n1n2.mapjitter.klw	True	1.0	2822.0	0.0	8.0	3000.0	28.0	log_n1_spl5_sd112_mu[Intercept]	-	-	93c2e9ae968b2ac5c12859a63bee731d3e3a71a1	1.400153873488307
log-spl5-n2.klw	True	1.0	1256.0	17.0	4.0	3000.0	28.0	log_n1_spl5_sd112_mu[Intercept]	-	-	93c2e9ae968b2ac5c12859a63bee731d3e3a71a1	0.6695489911362529
log-spl5-null.klw	True	1.0	1423.0	2.0	4.0	3000.0	28.0	log_mem_spl5_sd112_mu[Intercept]	-	-	93c2e9ae968b2ac5c12859a63bee731d3e3a71a1	0.549559268169105
log-spl5-nullind.klw	True	1.01	1768.0	1.0	4.0	3000.0	28.0	log_safe_prior_mu_mu[Intercept]	-	-	93c2e9ae968b2ac5c12859a63bee731d3e3a71a1	0.5495981741696596
log-spl5-perc.klw	True	1.0	2459.0	0.0	4.0	3000.0	28.0	log_mem_spl5_sd112_mu[Intercept]	-	-	93c2e9ae968b2ac5c12859a63bee731d3e3a71a1	0.6696773888543248
log-spl5-percmem.klw	True	1.0	2326.0	5.0	4.0	3000.0	28.0	log_mem_spl5_sd112_mu[Intercept]	-	-	93c2e9ae968b2ac5c12859a63bee731d3e3a71a1	0.7008938249200583
log-weber-mem.klw	True	1.01	1175.0	328.0	4.0	3000.0	12.0	log_risky_prior_sd_mu[Intercept]	-	-	93c2e9ae968b2ac5c12859a63bee731d3e3a71a1	0.5861199032515287
log-weber-n1.klw	True	1.0	3152.0	131.0	4.0	3000.0	12.0	log_n1_weber_sd_mu[Intercept]	-	-	93c2e9ae968b2ac5c12859a63bee731d3e3a71a1	0.5924372943118215
