subject	n_voxels	null_mean	m0_mean	m0_beats_null	m0_gt0	m1_mean	m1_beats_null	m1_gt0	m2_mean	m2_beats_null	m2_gt0
50	535	-0.015944457	-0.04011262	0.1233644859813084	0.04299065420560748	-0.03717739	0.22803738317757008	0.12897196261682242	-0.03906752	0.33271028037383177	0.2411214953271028
53	350	-0.014570678	-0.028546121	0.3	0.16285714285714287	-0.025937287	0.32857142857142857	0.20857142857142857	-0.017858954	0.38571428571428573	0.2742857142857143
56	305	-0.014214152	-0.030748827	0.18032786885245902	0.02622950819672131	-0.028892048	0.25245901639344265	0.10819672131147541	-0.030729726	0.2819672131147541	0.17704918032786884
59	349	-0.023620114	-0.0025231482	0.6790830945558739	0.4699140401146132	0.06132726	0.7936962750716332	0.6962750716332379	0.048751436	0.6991404011461319	0.6103151862464183
62	540	-0.0131498445	-0.021696104	0.3611111111111111	0.18333333333333332	-0.013569826	0.43333333333333335	0.29259259259259257	-0.014752707	0.4537037037037037	0.37222222222222223
63	470	-0.017810594	-0.0060224473	0.6319148936170212	0.3574468085106383	-0.0025322463	0.7148936170212766	0.39574468085106385	-0.006568773	0.5957446808510638	0.42127659574468085
67	285	-0.01799972	-0.039315674	0.11929824561403508	0.021052631578947368	-0.037356745	0.18596491228070175	0.09473684210526316	-0.056021713	0.2	0.11228070175438597
69	423	-0.018577201	-0.015157876	0.46335697399527187	0.29550827423167847	0.0009263165	0.5697399527186762	0.41371158392434987	-0.005067392	0.5130023640661938	0.3900709219858156
72	412	-0.015569218	-0.018142343	0.3907766990291262	0.24757281553398058	0.0039728475	0.5218446601941747	0.3932038834951456	-0.000977427	0.4830097087378641	0.4029126213592233
74	391	-0.017124655	-0.022866113	0.35805626598465473	0.21227621483375958	-0.011985207	0.4884910485933504	0.3375959079283887	-0.01023231	0.5242966751918159	0.3734015345268542
