order	ratio	n_safe	cause_mean	cause_lo	cause_hi	p_cause_below1	effect_mean	effect_lo	effect_hi	p_effect_below0	n_draws
Risky first	1.2	14.0	1.0142307025164574	0.9953115338662292	1.0338943208954636	0.0625	0.016538636671404643	-0.011050243293030245	0.04538699978362446	0.1375	80
Risky first	1.2	15.399999999999999	1.0128091096909733	0.9935415358504939	1.032841083845568	0.0875	0.012641872717586225	-0.013877670617222159	0.042435122473042305	0.225	80
Risky first	1.2	16.799999999999997	1.0115389894631623	0.9913982171934369	1.030301618046508	0.125	0.009407219863191426	-0.016036851411549796	0.03980873892894605	0.275	80
Risky first	1.2	18.2	1.0104340007295138	0.9885310717907994	1.0300897007098613	0.15	0.006848923767973541	-0.01966848578127001	0.03512978450826255	0.3125	80
Risky first	1.2	19.6	1.0095896482176128	0.9853071075388222	1.0290347976687195	0.15	0.0050397498701863375	-0.023030168262006805	0.027282317011336606	0.3625	80
Risky first	1.2	21.0	1.0091352711941863	0.9885158408521584	1.0276438386085582	0.1625	0.004074843238866388	-0.027792410834426226	0.02630732613803004	0.3875	80
Risky first	1.2	22.4	1.009048507896555	0.9875221325390405	1.024531684406275	0.15	0.0038444382386960477	-0.031798710861060606	0.028595601942373025	0.35	80
Risky first	1.2	23.799999999999997	1.0092264130469695	0.9859004186335557	1.0238374488359276	0.15	0.0041213441761189335	-0.035120231730407826	0.02589510518662956	0.3375	80
Risky first	1.2	25.2	1.0095732918079385	0.9845773937932908	1.025587083533558	0.15	0.004698928223830072	-0.03576558895540622	0.027600212855943766	0.3	80
Risky first	1.2	26.599999999999998	1.0100603535423012	0.9849985911696743	1.0284700109170084	0.125	0.005520510978030917	-0.035311370743773794	0.03076979164242051	0.3	80
Risky first	1.2	28.0	1.0106764521239284	0.986375163596746	1.0317825241999203	0.1125	0.006571129143841839	-0.033869400582659685	0.033823107723774275	0.3	80
Risky first	1.4	7.0	1.0222375786633093	0.9933858085169466	1.050296151150769	0.0625	0.05238188116560851	-0.014778474723025759	0.10569176955426121	0.0375	80
Risky first	1.4	8.4	1.0179073537706738	0.9913543115763687	1.044079286611153	0.075	0.042894425482482665	-0.012633384660978068	0.09298664613062128	0.075	80
Risky first	1.4	9.8	1.0154112804178343	0.9958878993202094	1.03557276146237	0.075	0.036114130734357895	-0.004187383644700559	0.08354886359536676	0.0625	80
Risky first	1.4	11.2	1.0135118961544998	0.9977362415059516	1.0325473083990244	0.0875	0.03005699626317307	-0.005174338208526539	0.07412803232667368	0.1	80
Risky first	1.4	12.6	1.0116836554885151	0.9948093779743487	1.0303807165048082	0.0875	0.023892599845889723	-0.015040825305587759	0.06506393035255409	0.1125	80
Risky first	1.4	14.0	1.0097913066742108	0.9911619366603172	1.027232916192245	0.125	0.01766779672717839	-0.020466750128706017	0.055636384399155435	0.15	80
Risky first	1.4	15.399999999999999	1.0079128545910678	0.9885706217790887	1.0258813905200583	0.1625	0.011795385263701054	-0.022861209263274708	0.05150590419475478	0.2375	80
Risky first	1.4	16.799999999999997	1.0062686043968327	0.9870683102168089	1.0224588502836178	0.25	0.006818815880029164	-0.03218821987890352	0.044795082681963375	0.35	80
Risky first	1.4	18.2	1.0051406125602924	0.9851431548216071	1.0214133621547852	0.25	0.0032840126455623104	-0.03636792679579895	0.03552401415582193	0.4	80
Risky first	1.4	19.6	1.0045729769920073	0.9831621748460728	1.0200071357473393	0.2625	0.0012434279187187726	-0.0360872515745423	0.0336647707717545	0.4	80
Risky first	1.4	21.0	1.0044877307443163	0.9853701157903747	1.0189041507615837	0.225	0.0004857478126154476	-0.03409742380435603	0.029858939263949603	0.4375	80
Risky first	1.4	22.4	1.0047900537310916	0.9862423762634497	1.0178587934221301	0.2125	0.0007502596208841334	-0.03570488368689389	0.031558640204706605	0.45	80
Risky first	1.4	23.799999999999997	1.0053718995261556	0.9851006266801445	1.0176036781668136	0.2	0.001753284244243204	-0.038629932834472136	0.032501353984293005	0.45	80
Risky first	1.4	25.2	1.006132984703001	0.9845492020511851	1.0205554908803631	0.2	0.003245353055689941	-0.04088472937994589	0.03350154398009354	0.4125	80
Risky first	1.4	26.599999999999998	1.007041171818053	0.9862505072494703	1.0236400450781296	0.175	0.00514122237198437	-0.04251240057293174	0.03621222791906093	0.3875	80
Risky first	1.4	28.0	1.008082725836522	0.9883685680514329	1.0263084647464706	0.15	0.007400582125801164	-0.04294794492986844	0.0403270663376641	0.3875	80
Risky first	1.6	7.0	1.01403995904972	0.9867699670109943	1.0367474386893978	0.125	0.0374159569065725	-0.02770919215440601	0.09064000816026746	0.0875	80
Risky first	1.6	8.4	1.0125970541093103	0.990240908364378	1.0351032514060479	0.15	0.03505189030768818	-0.024536358957233016	0.08873945519780585	0.1	80
Risky first	1.6	9.8	1.0114379465998542	0.9935297734272616	1.0301753605112973	0.1375	0.03227540133899996	-0.012959945466635956	0.08451940894897264	0.125	80
Risky first	1.6	11.2	1.0098021626149245	0.9938026691870431	1.027966100614378	0.1625	0.027258249167496622	-0.01394719113445834	0.07854207135148139	0.15	80
Risky first	1.6	12.6	1.0076613240865135	0.9912181609946354	1.025100710571753	0.15	0.0202070723034093	-0.02382934986414146	0.06704038079283564	0.175	80
Risky first	1.6	14.0	1.0053164488211008	0.9877054487002764	1.0218227968873252	0.175	0.012448020603089726	-0.030805050046380126	0.055059371035945874	0.2125	80
Risky first	1.6	15.399999999999999	1.0032581633214304	0.9853680005802712	1.0172763912323726	0.3125	0.005654525753327153	-0.03477716113464081	0.045260411928695246	0.4	80
Risky first	1.6	16.799999999999997	1.001843314685832	0.9827457335307143	1.0153412282863212	0.35	0.000847482016581937	-0.04316480473578745	0.038714268797298994	0.4125	80
Risky first	1.6	18.2	1.0010718673121883	0.9807932144835216	1.0144293133165347	0.3625	-0.0019960345340368476	-0.04552475253087202	0.035130505145558086	0.4875	80
Risky first	1.6	19.6	1.0008840742607754	0.9820986254973137	1.0138082891848652	0.375	-0.0031061998891076872	-0.049474395223179604	0.033076235182873184	0.55	80
Risky first	1.6	21.0	1.0011971931215358	0.9837848501958519	1.0127383345331946	0.325	-0.0027628624197005344	-0.045645405341896865	0.03184366110600857	0.5375	80
Risky first	1.6	22.4	1.0019116648511133	0.9861453658920698	1.012273307971557	0.275	-0.0012624208425988256	-0.03949586483277931	0.02907999474570115	0.475	80
Risky first	1.6	23.799999999999997	1.0029147309904087	0.985545413626065	1.01441446410227	0.2875	0.0010889378688834807	-0.04116375140127509	0.036988708161814585	0.4375	80
Risky first	1.6	25.2	1.0041017946549462	0.986706460830464	1.0180361984472734	0.25	0.004013327971787931	-0.04336078492982357	0.03965696863295373	0.4125	80
Risky first	1.6	26.599999999999998	1.0054376255738298	0.987993022693569	1.020319631053096	0.225	0.007379563431161236	-0.03825964552500902	0.04280241863617632	0.35	80
Risky first	1.6	28.0	1.006906053520653	0.987477730312866	1.0223710300461297	0.1375	0.011097295393415552	-0.03443112608286036	0.0472569903159657	0.3	80
Risky first	1.8	7.0	1.0086652031436407	0.9817502280257877	1.030641232121176	0.2125	0.020134835315358382	-0.043669322013259654	0.06975168500225852	0.225	80
Risky first	1.8	8.4	1.0089161528465591	0.9849837947572254	1.0310933172891883	0.2125	0.024427258161383997	-0.040160980151697584	0.0785004716444757	0.1875	80
Risky first	1.8	9.8	1.0081394721908659	0.9887675983851436	1.026972194858342	0.225	0.024645602047886107	-0.026734084347487853	0.08274516369377767	0.2125	80
Risky first	1.8	11.2	1.006205440348743	0.9896106432092171	1.0232164094002285	0.225	0.020068590067058953	-0.02341454666562642	0.07234937867511439	0.2375	80
Risky first	1.8	12.6	1.0036343977627986	0.9879692787023027	1.018419149141808	0.2625	0.012377080106326044	-0.03305886717131213	0.05457009876273447	0.2625	80
Risky first	1.8	14.0	1.0012318964485836	0.9850027895362831	1.0149407864763706	0.425	0.004670884167968941	-0.03889821526360144	0.041365703185271635	0.3875	80
Risky first	1.8	15.399999999999999	0.9994832094509881	0.9831314612376577	1.0131444950067041	0.475	-0.0010434400952613215	-0.04572545988702646	0.03864931504407465	0.4625	80
Risky first	1.8	16.799999999999997	0.9984296539737535	0.9794002562161359	1.0119656779765986	0.55	-0.0045312923029044916	-0.047487068820563215	0.033346739681343496	0.5375	80
Risky first	1.8	18.2	0.9980421209793423	0.9776910288952895	1.0089042824294674	0.625	-0.006016225970968458	-0.04490654061146289	0.030339286691986815	0.6125	80
Risky first	1.8	19.6	0.9982562823038126	0.9797750559305182	1.0087609173768977	0.6	-0.005819968087055222	-0.045495714400985154	0.0309345271434918	0.6375	80
Risky first	1.8	21.0	0.9989844955705831	0.9834207205225022	1.0098713499673246	0.5875	-0.004252666553066741	-0.04298790055623274	0.03265516574747809	0.6125	80
Risky first	1.8	22.4	1.0001222956682583	0.9860618067553888	1.0113380783845727	0.4375	-0.0016060460891980457	-0.04100199930549871	0.03363286227327871	0.4875	80
Risky first	1.8	23.799999999999997	1.0015522194871476	0.9874076899401479	1.013557265256048	0.375	0.001822608231713933	-0.0348700758437269	0.03940835473973165	0.4375	80
Risky first	1.8	25.2	1.0031654643022963	0.9878785219474259	1.0151030323074206	0.2875	0.005753140016985949	-0.028551650524512102	0.0414947983350106	0.3625	80
Risky first	1.8	26.599999999999998	1.004923740624191	0.9879189529270263	1.0170220776516399	0.2375	0.010078020013378236	-0.02791475761235348	0.04425262084404769	0.3375	80
Risky first	1.8	28.0	1.0068083539935153	0.9888354549672695	1.020788639714931	0.2	0.014780795036509498	-0.02689803927744127	0.05314647952340714	0.2125	80
Risky first	2.0	7.0	1.0049174102703837	0.9776979125409024	1.026526276591676	0.3375	0.006596430666075982	-0.05146077546221951	0.05353504384280354	0.3875	80
Risky first	2.0	8.4	1.0059330724016124	0.9808157350545142	1.028015760794734	0.275	0.014226250008062085	-0.048962313525733485	0.06816211619691188	0.3	80
Risky first	2.0	9.8	1.0049772631841924	0.9843219218571435	1.0244135701186532	0.325	0.01576639635642815	-0.03635421794732081	0.07047022560623199	0.3125	80
Risky first	2.0	11.2	1.0026131209076972	0.985767742481808	1.0186222074548827	0.3875	0.011449885756945563	-0.03375972799023351	0.058830448311787006	0.3125	80
Risky first	2.0	12.6	0.9999877858454163	0.9837572594266233	1.0121222905030431	0.5125	0.0045422364359697445	-0.03567132096350579	0.04193471321193536	0.3625	80
Risky first	2.0	14.0	0.9979067680524253	0.9825917179449696	1.0105750429739355	0.6375	-0.0015981110871841197	-0.043184332787960106	0.03178478660865701	0.525	80
Risky first	2.0	15.399999999999999	0.9965190372996913	0.981084313515969	1.0087674514589968	0.6875	-0.005770454514670535	-0.04691564267205486	0.028347346583310486	0.5875	80
Risky first	2.0	16.799999999999997	0.9958493038621512	0.9776879459977544	1.0096034616095224	0.7625	-0.007864534087328973	-0.049885701440575574	0.025439738029561763	0.65	80
Risky first	2.0	18.2	0.9958637709789346	0.9759728424869347	1.0073273631993187	0.75	-0.008207557675769769	-0.054531541192346676	0.027196411892414174	0.6625	80
Risky first	2.0	19.6	0.9964928827019977	0.9788443929441646	1.0077193013549965	0.7125	-0.007153001224678807	-0.0540264620179376	0.030346554910387954	0.6375	80
Risky first	2.0	21.0	0.9976436908985962	0.9840111362704872	1.0097384286599635	0.7125	-0.00495065348323846	-0.04969928738561837	0.03353201375589694	0.6125	80
Risky first	2.0	22.4	0.9992066422673712	0.9875676846987986	1.0101731259626041	0.5875	-0.0017486321888856543	-0.042869296901053226	0.0358787296238242	0.525	80
Risky first	2.0	23.799999999999997	1.0010595235433217	0.9893231390544103	1.013578558706484	0.3875	0.002360060288583784	-0.034198510314095674	0.041809082404626795	0.45	80
Risky first	2.0	25.2	1.0030892845859074	0.9902114049700232	1.0171182878731237	0.2875	0.007339361360523894	-0.02553474632381424	0.0480603716378831	0.3375	80
Risky first	2.0	26.599999999999998	1.005254339818681	0.9914493163995054	1.0196455488547573	0.1875	0.013320197217674162	-0.026516768640114784	0.053564462227261085	0.25	80
Risky first	2.0	28.0	1.0075329803890842	0.9930663318254564	1.0242761113786316	0.1375	0.020378822462943223	-0.02716978537710269	0.06290149838630268	0.15	80
Risky first	2.2	7.0	1.0020358341625493	0.9745939285233394	1.0234843962869373	0.4625	-0.0021487359390636356	-0.048312397227074144	0.03976663603558103	0.525	80
Risky first	2.2	8.4	1.0031819268674285	0.9771719590728203	1.0245073471504111	0.4375	0.005775299839057807	-0.049454921603351694	0.05717976749091218	0.45	80
Risky first	2.2	9.8	1.0018167254494525	0.9800718345679286	1.0214522315550318	0.4375	0.007540823000824877	-0.04204980794421287	0.06061066496265072	0.425	80
Risky first	2.2	11.2	0.9992871479976009	0.9826517491910476	1.015073272497942	0.55	0.004240072600639401	-0.04183990164521678	0.0495194093371058	0.425	80
Risky first	2.2	12.6	0.9969670295979094	0.9800349208041463	1.009501158205922	0.6625	-0.0007768209577498977	-0.03675567274048227	0.03608459093000373	0.5125	80
Risky first	2.2	14.0	0.9952429728119819	0.978943028407778	1.008303784611735	0.725	-0.005349363133308581	-0.039710451132209446	0.031921824058915714	0.575	80
Risky first	2.2	15.399999999999999	0.9942358675519609	0.9793354833478504	1.0074645441389098	0.825	-0.00831550285129835	-0.047734639292945094	0.030128118412485045	0.6625	80
Risky first	2.2	16.799999999999997	0.9939657178231652	0.9775053330563819	1.0075272860961173	0.825	-0.009572893190053946	-0.05499470260416652	0.028884368000102262	0.725	80
Risky first	2.2	18.2	0.9943931283299735	0.9766388663463397	1.0067870723818058	0.825	-0.009384241873866817	-0.05948212177790108	0.028255297213940524	0.7	80
Risky first	2.2	19.6	0.9954427005776452	0.9790525606857303	1.0079258356420886	0.8125	-0.007885539243400092	-0.05465807621807855	0.032446315148472925	0.6875	80
Risky first	2.2	21.0	0.9970158341751538	0.9838271154520475	1.0101982484269	0.7375	-0.004984071590391116	-0.05191925661340177	0.03529444336109343	0.65	80
Risky first	2.2	22.4	0.9989976877036918	0.9884226503034955	1.0110144844692077	0.5875	-0.0004808388609624903	-0.04331904523485096	0.03994111637985435	0.525	80
Risky first	2.2	23.799999999999997	1.0012610939315774	0.989728460491284	1.0137663640722008	0.425	0.0057331930863660525	-0.03249550095272597	0.04745282779733228	0.3375	80
Risky first	2.2	25.2	1.0036883748989212	0.9915440268634768	1.0170888635011652	0.2875	0.013561389272551922	-0.024594547877908334	0.0546889007391668	0.2125	80
Risky first	2.2	26.599999999999998	1.006233866266523	0.9954036898288428	1.0212849209960821	0.1625	0.022710401539913237	-0.01578710666666694	0.0702008321895641	0.1375	80
Risky first	2.2	28.0	1.0088715575435407	0.9966411761581476	1.0273782640393887	0.1	0.032613788864613955	-0.01116661341405781	0.0818680503917294	0.0625	80
Risky first	2.4000000000000004	7.0	0.999570144602146	0.9718235414028261	1.0209511572629724	0.5	-0.0071191183236132575	-0.042959350317819736	0.030323354236397083	0.675	80
Risky first	2.4000000000000004	8.4	1.000470412651999	0.9738010565109568	1.0221912510428468	0.4875	-0.0006507384458473778	-0.04775760850950761	0.04565996484165611	0.5625	80
Risky first	2.4000000000000004	9.8	0.99876756136114	0.9761324429839273	1.0183047542220647	0.5875	0.001192046375500376	-0.044629845295844656	0.050384857101854995	0.525	80
Risky first	2.4000000000000004	11.2	0.9964631795289133	0.9791856950480372	1.0119651761886588	0.65	-0.00025079568081702586	-0.046638999529193245	0.04113159157056017	0.5125	80
Risky first	2.4000000000000004	12.6	0.9944929772454323	0.976724873261282	1.0069384776108956	0.775	-0.0035949929502224684	-0.04007372808460531	0.03203463667953884	0.5875	80
Risky first	2.4000000000000004	14.0	0.9931436835529261	0.9757215363476204	1.007944667794081	0.8625	-0.007116364403813226	-0.041971861712208305	0.03373281216336372	0.625	80
Risky first	2.4000000000000004	15.399999999999999	0.9925317088454897	0.976243161956863	1.0070484877728134	0.875	-0.00953887165714051	-0.05179370165111179	0.032378049973119785	0.6875	80
Risky first	2.4000000000000004	16.799999999999997	0.992671192117179	0.9780261931854192	1.00636967378185	0.8625	-0.010476501568023272	-0.048956452326140654	0.030675320706814127	0.725	80
Risky first	2.4000000000000004	18.2	0.9935163049728057	0.9792853012582684	1.0066766558266766	0.85	-0.009702893175804701	-0.049131117769228426	0.03173658119421231	0.725	80
Risky first	2.4000000000000004	19.6	0.9949852891877746	0.9806580811090948	1.009050785976201	0.825	-0.00685224640598092	-0.047888990818353315	0.036090993097013274	0.6875	80
Risky first	2.4000000000000004	21.0	0.9969735417503228	0.9845181810536724	1.010361316013959	0.725	-0.0016654561098646311	-0.04184397974771816	0.04017273093595549	0.5875	80
Risky first	2.4000000000000004	22.4	0.9993605531821477	0.9875982170508248	1.012212008864489	0.5625	0.005722431621085539	-0.03375173552219	0.0487887160767948	0.375	80
Risky first	2.4000000000000004	23.799999999999997	1.002013586808993	0.9913467519503352	1.017750563142152	0.4125	0.014758333480409908	-0.025193372726221512	0.05451437524876821	0.2	80
Risky first	2.4000000000000004	25.2	1.0048092649006162	0.9935893160635546	1.0224883827676141	0.2625	0.02467185138312771	-0.01507087417548887	0.06849990058810729	0.125	80
Risky first	2.4000000000000004	26.599999999999998	1.0076960392155185	0.9949079470974552	1.0250539847577633	0.1625	0.03478139471667356	-0.012524904705224722	0.07981242565468376	0.0625	80
Risky first	2.4000000000000004	28.0	1.0106408963178037	0.9964990573186998	1.033052895408038	0.1	0.04466047281926364	-0.013402061147132462	0.09418287763289973	0.0375	80
Risky first	2.6	7.0	0.9972708769265394	0.9692135731632187	1.0186844393355852	0.575	-0.009607681900839068	-0.04225513847317889	0.02316042890606895	0.725	80
Risky first	2.6	8.4	0.997775549750272	0.9706364446754544	1.0203026664028778	0.55	-0.005141006879813843	-0.04557595757367484	0.034624656221709474	0.5875	80
Risky first	2.6	9.8	0.9960602016430498	0.9730158698372423	1.016521372020566	0.675	-0.0027431161626801327	-0.04457419546022783	0.03921948834047711	0.6125	80
Risky first	2.6	11.2	0.9940957001718582	0.976060094268367	1.0099846907827594	0.75	-0.002503600354460361	-0.04589261407828634	0.03626384161209546	0.5625	80
Risky first	2.6	12.6	0.9924918586328291	0.9737674766321245	1.006277567578873	0.8375	-0.004734977787706834	-0.04479593220219217	0.03152863783926079	0.6125	80
Risky first	2.6	14.0	0.991531205995771	0.9728877061082081	1.0075912535478055	0.9	-0.007847342454342281	-0.04463480526103098	0.032203541112702974	0.6625	80
Risky first	2.6	15.399999999999999	0.9913243038198363	0.9735404497889775	1.0065754330416035	0.875	-0.010126404315705176	-0.05278737500010984	0.03253018874593624	0.6875	80
Risky first	2.6	16.799999999999997	0.9918783419122732	0.9755019550425952	1.0057749095510136	0.85	-0.010391284343744141	-0.05157036673849329	0.03033946347409017	0.7	80
Risky first	2.6	18.2	0.9931403449830482	0.9776280496120013	1.0081607705265205	0.85	-0.007769654998681852	-0.0468357989594515	0.03591844829714564	0.6625	80
Risky first	2.6	19.6	0.9950216902225666	0.9816290301114468	1.010811035280549	0.7875	-0.002067347316798457	-0.041611260316184145	0.041502229393817376	0.5625	80
Risky first	2.6	21.0	0.9974112339306853	0.984636615775165	1.012323152953389	0.7375	0.00600768414321227	-0.035192322464617246	0.04695735704455442	0.3875	80
Risky first	2.6	22.4	1.0001819572956623	0.986764954620355	1.015888484871167	0.55	0.015296849659656674	-0.02846443656896271	0.05466897231592443	0.1875	80
Risky first	2.6	23.799999999999997	1.0031941309334858	0.9911886914885818	1.0204828971495787	0.325	0.024844344019664743	-0.022203285802234473	0.07328853879139555	0.1375	80
Risky first	2.6	25.2	1.0063163855503479	0.9919314917157258	1.0249062870865169	0.2375	0.03420907895386653	-0.01582997097162804	0.0806261218443177	0.0625	80
Risky first	2.6	26.599999999999998	1.0094878054385013	0.9922891510690122	1.0309680517035287	0.1625	0.043391620881718315	-0.007357902058583108	0.09248437362487831	0.0375	80
Risky first	2.6	28.0	1.0126635590662465	0.9929034618785135	1.036963203181528	0.1	0.05251276408803722	-0.004866487660569311	0.10318225228780516	0.0375	80
Risky first	2.8	7.0	0.9950175145724032	0.966685261284489	1.016544033230045	0.65	-0.010582798886698505	-0.04258756843333714	0.019117464336767025	0.7625	80
Risky first	2.8	8.4	0.9951895910628176	0.9677286101902483	1.0181423884330492	0.7	-0.007881552792790457	-0.0466935648521201	0.02845641775089823	0.6875	80
Risky first	2.8	9.8	0.9937365995529219	0.9706621889706153	1.014772845993119	0.7125	-0.004734057696020787	-0.04479363265768678	0.03419381201168755	0.6125	80
Risky first	2.8	11.2	0.9921274959900407	0.9732274573418607	1.0096442099281884	0.8125	-0.003343907923341037	-0.040287237483753874	0.034060910963059216	0.5875	80
Risky first	2.8	12.6	0.9909035363251437	0.97145781816121	1.0057693117242286	0.8375	-0.005055997499604424	-0.04748527286925548	0.03359931526037148	0.6	80
Risky first	2.8	14.0	0.9903418278875499	0.9703794567121085	1.0072061735295725	0.875	-0.008120598108740136	-0.04459684971157899	0.030157406780375037	0.65	80
Risky first	2.8	15.399999999999999	0.9905457265604223	0.9711913200983763	1.0060249831722565	0.8625	-0.009870790298856505	-0.05207736351482977	0.030719932548555855	0.7	80
Risky first	2.8	16.799999999999997	0.9915145201204603	0.973533750550386	1.0063250278713725	0.85	-0.008242325775730152	-0.053079651067873115	0.03131645447481245	0.6375	80
Risky first	2.8	18.2	0.9931874115177475	0.976738362324116	1.008473342191038	0.8125	-0.00269234658251494	-0.04102363558887484	0.03767333626870242	0.55	80
Risky first	2.8	19.6	0.9954682385245028	0.9808556809699834	1.0120473786512851	0.75	0.005557284700663506	-0.034566802107868284	0.0474046014941722	0.4	80
Risky first	2.8	21.0	0.9982383068040963	0.9835006929375847	1.016433978015966	0.675	0.014665583177387203	-0.02888733120479704	0.05245414661188458	0.2625	80
Risky first	2.8	22.4	1.0013623748967335	0.9872757491939302	1.0190355200020174	0.45	0.02350378727104551	-0.01856868093626095	0.069672338298312	0.15	80
Risky first	2.8	23.799999999999997	1.0046909366082863	0.9882879926328104	1.0235080500642286	0.325	0.03193914522916926	-0.010831717205420064	0.08184814430521307	0.0875	80
Risky first	2.8	25.2	1.0080804631930043	0.9884283864385015	1.0286159239531363	0.1875	0.04031551068870404	-0.004982574132130199	0.08857079135996755	0.05	80
Risky first	2.8	26.599999999999998	1.0114548817843527	0.9891795909587301	1.0358722001458442	0.1625	0.049018615973130286	-0.010590092094862145	0.0964411307475592	0.0375	80
Risky first	2.8	28.0	1.0147502583079018	0.9905440554045114	1.0443810393104958	0.1	0.058152227317354345	-0.01616024298052428	0.11380329502081372	0.0375	80
Risky first	3.0	7.0	0.9927756841737526	0.9642219036248192	1.0144686693101614	0.775	-0.010656506960911988	-0.04099223688359571	0.01584022597230814	0.7875	80
Risky first	3.0	8.4	0.9928635705933221	0.9651834425824207	1.016163966711257	0.7625	-0.009158926559062044	-0.04366561986239474	0.026111194410980785	0.7	80
Risky first	3.0	9.8	0.9917519077618493	0.9687407535541909	1.0132793699992526	0.775	-0.005503065759250166	-0.043152677077150474	0.03275798865364697	0.6	80
Risky first	3.0	11.2	0.9905113448780423	0.9706754611377053	1.008754053821462	0.8375	-0.003478056116706106	-0.03663151454862607	0.032331628398286565	0.5625	80
Risky first	3.0	12.6	0.9896780896542371	0.9698267289600092	1.0050775625460555	0.875	-0.005060277212304011	-0.042786765587718954	0.0337219412852655	0.625	80
Risky first	3.0	14.0	0.9895222447831606	0.9688730064119455	1.0067651545907519	0.875	-0.007847406438598672	-0.04504068795195058	0.03094547426071678	0.6375	80
Risky first	3.0	15.399999999999999	0.9901387170555258	0.9703840406231852	1.0056033932349038	0.8625	-0.008045056585791167	-0.050088021528426285	0.031441299060816254	0.6625	80
Risky first	3.0	16.799999999999997	0.991518012338859	0.9730407909261497	1.0069274085231026	0.8125	-0.0036926968190291705	-0.04412871795043974	0.03331825463127507	0.55	80
Risky first	3.0	18.2	0.993590711755374	0.9776507580038656	1.0103795140032763	0.825	0.004135543597920062	-0.03633648997081996	0.04205214215691913	0.45	80
Risky first	3.0	19.6	0.9962520019089667	0.9796331506426085	1.0150237018613462	0.7	0.012964099507446359	-0.03256001413004641	0.05238756323329401	0.3	80
Risky first	3.0	21.0	0.9993737571534694	0.9828866599967993	1.0190271493891256	0.5625	0.02126202197366231	-0.02003732497411656	0.06189761229490851	0.175	80
Risky first	3.0	22.4	1.0028093786859065	0.9845785286739136	1.0221364619713873	0.4125	0.028940584582942387	-0.008531320273892782	0.07690897271557148	0.1375	80
