subject	order	stake2	stimulation_condition	slope	rnp	n_trials
5	Risky second	1	vertex	5.935794740443694	0.47323711972569954	30
6	Risky first	0	ips	3.245073876229769	0.48470088978850456	30
6	Risky first	0	vertex	1.9442972347691496	0.3646774302015252	30
6	Risky first	1	ips	2.04683812643481	0.2630426193570997	30
6	Risky first	1	vertex	2.5912865999492283	0.24543421079130034	30
6	Risky second	0	ips	4.008819796570561	0.5712498359638843	30
6	Risky second	0	vertex	3.6570881707513156	0.4916963048880468	30
6	Risky second	1	ips	3.2310490356194133	0.38270478975975436	30
6	Risky second	1	vertex	1.6823314147855482	0.4134388576647975	30
7	Risky first	0	ips	0.6605136181691592	0.9609322795442693	30
7	Risky first	0	vertex	2.372530441316825	0.637319743045713	31
7	Risky first	1	ips	2.0085140182547176	0.6947146975059421	28
7	Risky first	1	vertex	3.081927794657849	0.6716063041433409	28
7	Risky second	0	ips	0.6666707646547638	1.3085398630034628	31
7	Risky second	0	vertex	2.4145907696949096	0.744465330808032	32
7	Risky second	1	vertex	2.072853653472962	0.6186416234072565	28
9	Risky first	0	ips	3.930889409726866	0.40923358500766277	30
9	Risky first	0	vertex	2.402762085793671	0.31610419949946206	30
9	Risky first	1	ips	1.801280773815261	0.11364266621168563	30
9	Risky second	0	ips	6.0086247709689244	0.4418236668369816	30
9	Risky second	0	vertex	1.4550184152608856	0.4464027738783467	30
9	Risky second	1	ips	6.284134839352616	0.33581322261839175	30
10	Risky first	0	ips	9.219616359938916	0.7189245031274603	30
10	Risky first	0	vertex	3.2496500296274666	0.7059056339101354	30
10	Risky first	1	ips	3.261218222649008	0.5355424056400737	30
10	Risky first	1	vertex	2.808007548152811	0.5869034768077791	30
10	Risky second	0	ips	2.709301727830928	0.670669234825459	30
10	Risky second	0	vertex	3.420459324295535	0.54820473743247	30
10	Risky second	1	ips	1.756713976204892	0.6498098584982428	30
11	Risky first	0	ips	3.710438963552816	0.6441202854077571	32
11	Risky first	0	vertex	8.438469337814352	0.7541609978983377	32
11	Risky first	1	ips	2.7401661128796677	0.6372838074550028	28
11	Risky first	1	vertex	2.365316973781825	0.6797595783375805	28
11	Risky second	0	ips	7.7301616227897165	0.6495729598108398	32
11	Risky second	0	vertex	3.864141023093541	0.6635102925274373	31
11	Risky second	1	ips	3.8288754072664757	0.606512392773043	28
11	Risky second	1	vertex	5.250225018167417	0.6006675307870538	28
18	Risky first	0	ips	3.485141097148703	0.6690882859710621	30
18	Risky first	0	vertex	6.140146707735525	0.6966522704734265	30
18	Risky first	1	ips	4.0843648221106665	0.7814530736075262	29
18	Risky first	1	vertex	8.581117468344152	0.7955693969282797	30
18	Risky second	0	ips	4.686464891418714	0.7820389630586956	28
18	Risky second	0	vertex	3.4677997633225517	0.6694121475596411	30
18	Risky second	1	ips	3.865044117406102	0.8784042467417404	28
18	Risky second	1	vertex	2.548629084108816	1.0383718141171505	30
19	Risky first	0	ips	3.148690359926911	0.47804279528471677	30
19	Risky first	0	vertex	4.593303248657772	0.3811207600231907	30
19	Risky first	1	ips	5.681087059398918	0.21824411587158435	30
19	Risky first	1	vertex	3.76233682281535	0.22392239294422833	29
19	Risky second	0	ips	1.7412509338377151	0.43515729534279163	30
19	Risky second	0	vertex	2.1876858705248936	0.4358384892251623	30
19	Risky second	1	ips	1.3431248684960788	0.17955584473970304	30
19	Risky second	1	vertex	3.553438502260985	0.29545419723819893	30
21	Risky first	0	ips	1.174069066418465	0.6538133540820971	30
21	Risky first	0	vertex	2.1790231181801247	0.4651485274801765	30
21	Risky first	1	ips	2.480605158652703	0.3717024336771169	30
21	Risky first	1	vertex	2.914149761783869	0.37492134820515405	30
21	Risky second	0	ips	1.8620187531629688	0.7399026417990221	30
21	Risky second	0	vertex	2.7106871066811857	0.6056809960293699	30
21	Risky second	1	ips	1.1938594047010236	0.39104844267172584	30
21	Risky second	1	vertex	1.7706362949524355	0.3871632964848549	30
25	Risky first	0	ips	5.316739581958925	0.6089035581319799	29
