label	order	stake2	rung	stim	model	lo	hi	observed	observed_sem	frac	stake_chf
log-spl7-percmem.pathfinder	Risky first	1	4	ips	0.5337857142857142	0.46416666666666667	0.6024404761904761	0.530952380952381	0.052492242355764794	2.3930900621118014	36.619565217391305
log-spl7-percmem.pathfinder	Risky first	1	4	vertex	0.5219785714285714	0.44747619047619047	0.5929047619047618	0.5238095238095237	0.05650613988058596	2.381031746031746	36.43333333333333
log-spl7-percmem.pathfinder	Risky first	1	5	ips	0.6340785714285714	0.5780952380952381	0.6981666666666666	0.68	0.05133511583357984	2.7493098688750863	38.84782608695652
log-spl7-percmem.pathfinder	Risky first	1	5	vertex	0.6182357142857143	0.5599761904761904	0.6838571428571428	0.6323809523809524	0.04907140920414363	2.7449175824175827	38.79326923076923
log-spl7-percmem.pathfinder	Risky first	1	6	ips	0.7303702380952382	0.6680297619047619	0.7850059523809524	0.7364285714285714	0.04340906670457449	3.2327847267939434	42.63824884792627
log-spl7-percmem.pathfinder	Risky first	1	6	vertex	0.7033448129251701	0.6409719387755102	0.7584821428571428	0.7498639455782312	0.05023970655415116	3.217314022383147	42.32258064516129
log-spl7-percmem.pathfinder	Risky second	0	1	ips	0.30504107142857145	0.2453809523809524	0.3640654761904762	0.30523809523809525	0.041541950204390346	1.5253042921204358	13.849775784753364
log-spl7-percmem.pathfinder	Risky second	0	1	vertex	0.2959443027210884	0.24397108843537416	0.35036989795918366	0.27840136054421766	0.04589016222073962	1.5253968253968255	13.828888888888889
log-spl7-percmem.pathfinder	Risky second	0	2	ips	0.412	0.34373809523809523	0.4828809523809523	0.46380952380952384	0.054599320212255296	1.7618598382749326	14.254716981132075
log-spl7-percmem.pathfinder	Risky second	0	2	vertex	0.40512142857142863	0.34378571428571425	0.47047619047619044	0.31238095238095237	0.044345762127259235	1.7599730458221023	14.245283018867925
log-spl7-percmem.pathfinder	Risky second	0	3	ips	0.5488392857142856	0.4892261904761905	0.6155059523809524	0.5988095238095238	0.046907321234332056	2.0345013477088947	15.660377358490566
log-spl7-percmem.pathfinder	Risky second	0	3	vertex	0.5486744047619048	0.4797321428571429	0.6119821428571428	0.5071428571428571	0.03547257139436795	2.036530612244898	15.697619047619048
log-spl7-percmem.pathfinder	Risky second	0	4	ips	0.6832178571428571	0.6099285714285714	0.7514642857142857	0.7547619047619047	0.04414120575023637	2.341717791411043	15.5920245398773
log-spl7-percmem.pathfinder	Risky second	0	4	vertex	0.6870000000000002	0.62375	0.7548214285714285	0.6690476190476191	0.05242549672073599	2.330120481927711	15.55421686746988
log-spl7-percmem.pathfinder	Risky second	0	5	ips	0.7834166666666667	0.7166071428571429	0.8524404761904761	0.7904761904761906	0.04762955066243214	2.7293121693121694	15.87037037037037
log-spl7-percmem.pathfinder	Risky second	0	5	vertex	0.7853988095238096	0.7118452380952381	0.85	0.7833333333333333	0.04130797993547017	2.7316176470588234	15.889705882352942
log-spl7-percmem.pathfinder	Risky second	0	6	ips	0.8647242647058824	0.8088235294117647	0.9117647058823529	0.8602941176470589	0.038335430371496435	3.155555555555556	17.373015873015873
log-spl7-percmem.pathfinder	Risky second	0	6	vertex	0.8616544117647058	0.8014705882352942	0.9119485294117645	0.8897058823529411	0.030208677951052126	3.155555555555556	17.373015873015873
log-spl7-percmem.pathfinder	Risky second	1	1	ips	0.3417857142857143	0.27125	0.42142857142857143	0.35714285714285715	0.04945683361636229	1.6215437788018434	32.04032258064516
log-spl7-percmem.pathfinder	Risky second	1	1	vertex	0.33939285714285716	0.2642857142857143	0.42142857142857143	0.2785714285714286	0.056853257753332546	1.6215437788018434	32.04032258064516
log-spl7-percmem.pathfinder	Risky second	1	2	ips	0.4460416666666667	0.37375	0.5238095238095237	0.5190476190476191	0.05238095238095238	1.8010277492291882	33.65467625899281
log-spl7-percmem.pathfinder	Risky second	1	2	vertex	0.43628571428571433	0.36410714285714285	0.5142857142857142	0.42142857142857143	0.05101020306102036	1.8003061224489796	33.607142857142854
log-spl7-percmem.pathfinder	Risky second	1	3	ips	0.5555714285714285	0.4857142857142857	0.6287499999999998	0.5285714285714286	0.0604355936877744	2.065714285714286	36.8
log-spl7-percmem.pathfinder	Risky second	1	3	vertex	0.5360178571428571	0.4714285714285714	0.6071428571428571	0.5285714285714286	0.05202963418219711	2.065714285714286	36.8
log-spl7-percmem.pathfinder	Risky second	1	4	ips	0.6707559523809524	0.6047619047619048	0.738095238095238	0.6809523809523809	0.0388750713843296	2.3930900621118014	36.619565217391305
log-spl7-percmem.pathfinder	Risky second	1	4	vertex	0.6470654761904763	0.5785714285714286	0.7167261904761905	0.6642857142857143	0.05164042370092127	2.3930900621118014	36.619565217391305
log-spl7-percmem.pathfinder	Risky second	1	5	ips	0.7569571428571429	0.6990476190476191	0.8133571428571429	0.7561904761904762	0.04389469251453656	2.751127819548872	38.78947368421053
log-spl7-percmem.pathfinder	Risky second	1	5	vertex	0.723197619047619	0.6704761904761904	0.7714285714285715	0.7276190476190477	0.04373943973999714	2.743267259056733	38.770334928229666
log-spl7-percmem.pathfinder	Risky second	1	6	ips	0.8281107142857143	0.776654761904762	0.8764821428571429	0.8238095238095238	0.03446459715006139	3.2355512067840837	42.60730593607306
log-spl7-percmem.pathfinder	Risky second	1	6	vertex	0.7883541666666667	0.7368750000000001	0.8380952380952381	0.7892857142857143	0.04259959965018618	3.227987012987013	42.49545454545454
